condition,etiquette,n,axes,nul_conditionne_sur,terme,ratio_mesure,ratio_nul_moyen,nul_bas,nul_haut,part_reproduite_borne_inferieure,replicats
Persona Summary - GPT4.1-mini,Persona Summary,2058,six axes de a6,ideologie seule,inter,2.3119535590152807,2.080880944668263,2.030173025282559,2.120097681511173,0.9000530899740747,50
Persona Summary - GPT4.1-mini,Persona Summary,2058,six axes de a6,ideologie seule,intra,0.5848698877263212,0.5861738720965604,0.5832431391896747,0.5883142596167035,1.0022295289902996,50
Persona Summary - JSON Persona - GPT4.1-mini,Summary + JSON,2058,six axes de a6,ideologie seule,inter,1.8346939047511357,1.7520640253579325,1.7079622796652278,1.8061386301820153,0.9549625803087783,50
Persona Summary - JSON Persona - GPT4.1-mini,Summary + JSON,2058,six axes de a6,ideologie seule,intra,0.5812720505680358,0.5813543941251303,0.5790414243661858,0.5837423044649617,1.0001416609606708,50
Text Persona (Default Temperature) - GPT4.1-mini,Text temp. defaut,2058,six axes de a6,ideologie seule,inter,3.253855378332922,3.118088999152615,3.0473743544383485,3.179220604415437,0.9582752263409244,50
Text Persona (Default Temperature) - GPT4.1-mini,Text temp. defaut,2058,six axes de a6,ideologie seule,intra,0.6224128035942532,0.622907862328821,0.620322628107411,0.6253193475862872,1.0007953864890133,50
Text Persona (Reasoning) - GPT4.1-mini,Text raisonnement,2058,six axes de a6,ideologie seule,inter,3.0393959520741443,2.962695266037489,2.9019831898951853,3.0200101790954528,0.974764496878298,50
Text Persona (Reasoning) - GPT4.1-mini,Text raisonnement,2058,six axes de a6,ideologie seule,intra,0.6576286965880688,0.6572714423200727,0.6543602606336429,0.660124921541837,0.9994567538341171,50
Text Persona (Repeating Questions) - GPT4.1-mini,Text repetition,2058,six axes de a6,ideologie seule,inter,3.518136290717661,3.322765551167056,3.2474392706334267,3.4007314897822236,0.9444675466194768,50
Text Persona (Repeating Questions) - GPT4.1-mini,Text repetition,2058,six axes de a6,ideologie seule,intra,0.6324705684579139,0.6334596422969391,0.6306552960784502,0.635637288931829,1.0015638258732524,50
Text Persona - GPT4.1-mini,Text Persona mini,2058,six axes de a6,ideologie seule,inter,3.671666479345206,3.442250978210225,3.373191940211456,3.5099505256512216,0.9375173364940559,50
Text Persona - GPT4.1-mini,Text Persona mini,2058,six axes de a6,ideologie seule,intra,0.5577637010299955,0.5592336445705403,0.5570887738402922,0.5618216351796502,1.0026354234559012,50
Text Persona - Gemini-Flash2.5,Text Persona Gemini,2058,six axes de a6,ideologie seule,inter,3.035556837784223,3.01074892246204,2.9598377321839826,3.0562198382206116,0.9918275569696493,50
Text Persona - Gemini-Flash2.5,Text Persona Gemini,2058,six axes de a6,ideologie seule,intra,0.749949726717439,0.7491908699777445,0.7471281119106948,0.7512105815906444,0.9989881231865821,50
B0 mode,B0 mode,2058,six axes de a6,ideologie seule,inter,0.0013651736930186114,0.0007528816417574105,-0.001119021907942872,0.0026125834315902617,0.5514914663295863,50
B0 mode,B0 mode,2058,six axes de a6,ideologie seule,intra,0.01611988705176846,0.01614469978301079,0.015817283470475788,0.016441681364025955,1.001539262102932,50
B0 tirage,B0 tirage,2058,six axes de a6,ideologie seule,inter,0.011922032989104903,0.07806012716926608,0.05871433995470958,0.09559373356991636,6.547551683559531,50
B0 tirage,B0 tirage,2058,six axes de a6,ideologie seule,intra,1.0091854937149949,1.0078344519648335,1.006136043603323,1.0093961399187732,0.9986612552810405,50
B1 argmax,B1 argmax,2058,six axes de a6,ideologie seule,inter,5.127415128475805,2.486033981995387,2.444730245651105,2.539815215949425,0.4848513178090175,50
B1 argmax,B1 argmax,2058,six axes de a6,ideologie seule,intra,0.7238785091385979,0.7468454422685731,0.7446612781196864,0.7490108273745998,1.0317276073816661,50
B2 argmax,B2 argmax,2058,six axes de a6,ideologie seule,inter,0.49775011772823685,0.24029778079945419,0.226234809691383,0.25770665387339325,0.48276790349380233,50
B2 argmax,B2 argmax,2058,six axes de a6,ideologie seule,intra,0.534943449783322,0.5366114508515271,0.534336957613073,0.5387835614713146,1.003118088592132,50
PMM k=10,PMM k=10,2058,six axes de a6,ideologie seule,inter,1.025782217389556,0.6736278814318901,0.6451022800237517,0.705366786910393,0.6566967822333285,50
PMM k=10,PMM k=10,2058,six axes de a6,ideologie seule,intra,0.9001685032009116,0.9027619951923056,0.9012363417862869,0.9046193369392417,1.002881118348589,50
