variable,fenetre,mois,n,n_menages,moyenne,mediane,variance_totale,variance_intra,variance_inter,part_inter,iqr_total,iqr_intra_median,iqr_medianes,mad_total,regle,mois_choc
depense,avant,2025-01 2025-02 2025-03,3058,1307,6.351082406816864,5.0,191.20499233988437,190.51055569917938,0.69443664070498,0.003631895967813201,8.0,9.5,0.0,5.0,"secondaire, saut d'IQR",2025-04
depense,apres,2025-04 2025-05 2025-06,3282,1415,6.26093845214924,5.0,184.31131705064453,182.2368290175549,2.074488033089642,0.011255348104965361,8.0,8.5625,0.0,5.0,"secondaire, saut d'IQR",2025-04
logement,avant,2025-01 2025-02 2025-03,3056,1307,6.099116492099787,5.0,129.49138550799202,126.39285091712966,3.0985345908623687,0.02392849978944068,8.0,8.5,1.0,5.0,"secondaire, saut d'IQR",2025-04
logement,apres,2025-04 2025-05 2025-06,3281,1415,5.935214873549779,5.0,129.55055127790305,122.61220337845995,6.9383478994431025,0.053557069661243115,9.0,9.0,1.75,5.0,"secondaire, saut d'IQR",2025-04
perte_emploi,avant,2025-01 2025-02 2025-03,1846,1307,14.829360780065006,6.0,401.87059326025314,393.1829866292071,8.687606631046052,0.021617920735543642,19.0,18.5,5.0,6.0,"secondaire, saut d'IQR",2025-04
perte_emploi,apres,2025-04 2025-05 2025-06,2000,1415,15.2765,8.0,410.203736359785,403.73561450718654,6.468121852598498,0.015768071519771294,18.0,18.25,5.0,7.0,"secondaire, saut d'IQR",2025-04
chomage,avant,2025-01 2025-02 2025-03,3062,1307,42.25702155453952,40.0,815.844174446936,763.568765763293,52.275408683643,0.06407523681722764,43.0,40.0,23.125,21.0,"secondaire, saut d'IQR",2025-04
chomage,apres,2025-04 2025-05 2025-06,3287,1415,45.23395193185275,50.0,825.4595597558684,763.894465657237,61.5650940986314,0.07458281071557209,50.0,42.25,20.0,25.0,"secondaire, saut d'IQR",2025-04
infl1_var,avant,2025-01 2025-02 2025-03,3018,1307,20.672174168816063,5.017411947250366,1001.384696511373,834.4069952357142,166.97770127565875,0.16674680755295757,23.087388515472412,24.91795602440834,10.162535786628723,4.434141099452972,"secondaire, saut d'IQR",2025-04
infl1_var,apres,2025-04 2025-05 2025-06,3230,1415,19.816324943294834,5.197026491165161,888.9327718312416,734.2712730007904,154.66149883045117,0.17398559680935322,20.944862365722656,26.224467769265175,9.889421701431274,4.602092623710632,"secondaire, saut d'IQR",2025-04
infl1_point,avant,2025-01 2025-02 2025-03,3051,1307,5.86019010169194,4.0,176.2756987399428,167.7951017136754,8.480597026267432,0.04810984773788215,6.0,8.8125,1.125,3.0,"secondaire, saut d'IQR",2025-04
infl1_point,apres,2025-04 2025-05 2025-06,3276,1415,7.394942002708686,4.0,180.57091947612793,170.40824554745095,10.162673928676977,0.056280789609760594,8.0,10.5,1.0,3.0,"secondaire, saut d'IQR",2025-04
