condition_llm,definition_raretes,personnes,items,methode,regime_severe,conditionnement,exactitude,exactitude_ic_bas,exactitude_ic_haut,diversite_conservee,accord_par_paires,ratio_intra,ratio_inter,cellules_rares_stables,raretes_stables_osees,rappel_stables,rappel_stables_ic_bas,rappel_stables_ic_haut,precision_stables,precision_stables_ic_bas,precision_stables_ic_haut,f1_stables,plancher_segment,exces_segment_stables,exces_segment_ic_bas,exces_segment_ic_haut,exces_segment_p,rappel_instables,rappel_ensemble,cellules_rares_ensemble
C3 gpt-oss-20b,population,105,58,"IM m=10 mode, famille retiree",oui,"149 moins la famille, et 11 demographies",0.660755,0.641544,0.679803,0.858960,0.589516,0.833138,1.307204,65,34,0.153846,0.062500,0.236849,0.294118,0.125000,0.482759,0.202020,0.124632,0.000368,-0.052119,0.058173,0.983000,0.079545,0.111111,153
C3 gpt-oss-20b,population,105,58,B2 famille retiree (argmax),oui,149 moins la famille,0.667323,0.647126,0.687521,0.600492,0.711125,0.522677,1.983353,65,3,0.015385,0.000000,0.052632,0.333333,0.000000,1.000000,0.029412,0.124632,-0.124632,-0.195070,-0.067226,0.000250,0.011364,0.013072,153
C3 gpt-oss-20b,population,105,58,B2 famille retiree (tirage),oui,149 moins la famille,0.588342,0.570279,0.606076,0.954825,0.546226,0.965741,0.697456,65,97,0.169231,0.097222,0.246575,0.113402,0.055543,0.174419,0.135802,0.124632,0.036082,-0.061516,0.153174,0.478000,0.079545,0.117647,153
C3 gpt-oss-20b,population,105,58,humains vague 2,sans objet,la personne elle meme,0.781609,0.759109,0.803120,0.998057,0.522922,0.990204,1.153272,65,65,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.124632,0.875368,0.804930,0.932774,0.000250,0.000000,0.424837,153
C3 gpt-oss-20b,population,105,58,B3 foret,"sans objet, aucun item vu",11 demographies,0.656650,0.635961,0.677672,0.459804,0.775717,0.324685,2.895458,65,4,0.015385,0.000000,0.057143,0.250000,0.000000,1.000000,0.028986,0.124632,-0.124632,-0.195070,-0.067226,0.000250,0.000000,0.006536,153
C3 gpt-oss-20b,population,105,58,B0 mode,"sans objet, aucun item vu",rien,0.627586,0.606568,0.648116,0.047083,0.975843,0.053830,-0.003281,65,0,0.000000,0.000000,0.000000,,,,0.000000,0.124632,-0.124632,-0.195070,-0.067226,0.000250,0.000000,0.000000,153
C3 gpt-oss-20b,population,105,58,B0 tirage,"sans objet, aucun item vu",rien,0.514614,0.499339,0.529228,1.000551,0.521748,1.066081,-0.071083,65,124,0.123077,0.040816,0.208333,0.064516,0.017391,0.123080,0.084656,0.124632,0.000368,-0.076586,0.108481,0.948500,0.056818,0.084967,153
C3 gpt-oss-20b,population,105,58,B1 argmax,"sans objet, aucun item vu",11 demographies,0.648440,0.627915,0.668149,0.699779,0.671220,0.558936,2.857932,65,25,0.061538,0.000000,0.122814,0.160000,0.000000,0.360000,0.088889,0.124632,-0.071060,-0.138133,0.004614,0.067000,0.011364,0.032680,153
C3F Qwen3-4B,perimetre,60,58,C3F Qwen3-4B,voir a41,,0.557184,0.531609,0.582191,0.589760,0.711913,0.640714,0.303760,31,110,0.258065,0.102564,0.466667,0.072727,0.025641,0.124055,0.113475,0.125451,0.124549,-0.051094,0.371345,0.197000,0.301887,0.285714,84
C3F Qwen3-4B,perimetre,60,58,E1 famille retiree (argmax),oui,"149 moins la famille, et 11 demographies",0.691667,0.660345,0.720977,0.802749,0.618751,0.753654,1.614088,31,16,0.096774,0.000000,0.183687,0.187500,0.000000,0.333333,0.127660,0.125451,-0.042117,-0.144202,0.062707,0.353500,0.094340,0.095238,84
