jeu,bloc,serie,passe,fidelite_top1,fidelite_bas,fidelite_haut,baseline_top1,n_pool,n_items,baseline_bas,baseline_haut,d,descripteurs_differents,top1,top1_bas,top1_haut,fidelite_geom_paire,hasard,n_paires,ecart_type_pts,rho,rho_bas,rho_haut,rho_partiel,rho_partiel_bas,rho_partiel_haut,rho_fidelite_top1,rho_d_fidelite,verdict,top1_predit_multiplicatif,rapport_observe_predit,mae_pts,rapport_median
Park et al. (GSS),paire_hors_controle,persona <-> composite,,,,,,1052.0,20.0,,,3.0,bloc_enquete+bloc_entretien+bloc_autodesc,0.006891634980988593,0.003873574144486692,0.01036121673003802,0.021892338713678062,0.0009505703422053232,,,,,,,,,,,,,,,
Park et al. (GSS),paire,enquete <-> entretien,,,,,,1052.0,20.0,,,2.0,bloc_enquete+bloc_entretien,0.023716730038022816,0.0178701283269962,0.03037191064638783,0.06829596535483264,0.0009505703422053232,,,,,,,,,,,,,,,
Park et al. (GSS),paire,enquete <-> composite,,,,,,1052.0,20.0,,,1.0,bloc_entretien,0.07697243346007604,0.06506475760456275,0.08944926330798479,0.10877030682899877,0.0009505703422053232,,,,,,,,,,,,,,,
Park et al. (GSS),paire,entretien <-> composite,,,,,,1052.0,20.0,,,1.0,bloc_enquete,0.17319391634980988,0.15498990019011408,0.19111216730038025,0.11725219667491166,0.0009505703422053232,,,,,,,,,,,,,,,
Park et al. (GSS),dispersion_par_d,d=1,,,,,,,,,,1.0,,0.12508317490494297,0.07697243346007604,0.17319391634980988,,,2.0,4.811074144486692,,,,,,,,,,,,,
Park et al. (GSS),dispersion_par_d,d=2,,,,,,,,,,2.0,,0.023716730038022816,0.023716730038022816,0.023716730038022816,,,1.0,0.0,,,,,,,,,,,,,
Park et al. (GSS),relation,"rho de Spearman(d, top1)",,,,,,1052.0,20.0,,,,,,,,,,3.0,,-0.8660254037844387,-0.8660254037844387,-0.8660254037844387,0.0,0.0,0.0,1.0,-0.8660254037844387,SOUTENUE,,,,
Park et al. (GSS) POST HOC 177 items,controle,demographique,0.0,0.02252851711026616,0.014401140684410646,0.03165755703422051,0.022385931558935358,1052.0,177.0,0.013688212927756654,0.0313236692015209,,,,,,,,,,,,,,,,,,,,,,
Park et al. (GSS) POST HOC 177 items,controle,persona,0.0,0.019676806083650192,0.012166112167300382,0.02780774714828895,0.022290874524714833,1052.0,177.0,0.014637595057034221,0.03136882129277566,,,,,,,,,,,,,,,,,,,,,,
Park et al. (GSS) POST HOC 177 items,controle,enquete,1.0,0.20432509505703422,0.1804634030418251,0.22904111216730036,0.022528517110266162,1052.0,177.0,0.014258555133079848,0.03146506653992395,,,,,,,,,,,,,,,,,,,,,,
Park et al. (GSS) POST HOC 177 items,controle,entretien,1.0,0.44700570342205326,0.41706036121673007,0.47875594106463876,0.02229087452471483,1052.0,177.0,0.014636406844106463,0.03165518060836501,,,,,,,,,,,,,,,,,,,,,,
Park et al. (GSS) POST HOC 177 items,controle,composite,1.0,0.655893536121673,0.6281820342205324,0.685034458174905,0.022956273764258555,1052.0,177.0,0.014638783269961977,0.03189163498098859,,,,,,,,,,,,,,,,,,,,,,
Park et al. (GSS) POST HOC 177 items,paire_hors_controle,demographique <-> persona,,,,,,1052.0,177.0,,,2.0,bloc_demo+bloc_autodesc,0.00477661596958175,0.0020912547528517114,0.008151734790874521,0.0210544356972801,0.0009505703422053232,,,,,,,,,,,,,,,
Park et al. (GSS) POST HOC 177 items,paire_hors_controle,demographique <-> enquete,,,,,,1052.0,177.0,,,2.0,bloc_demo+bloc_enquete,0.013783269961977188,0.0091474572243346,0.018940114068441063,0.06784645458717173,0.0009505703422053232,,,,,,,,,,,,,,,
Park et al. (GSS) POST HOC 177 items,paire_hors_controle,demographique <-> entretien,,,,,,1052.0,177.0,,,2.0,bloc_demo+bloc_entretien,0.02915874524714829,0.02228730988593156,0.03671637357414448,0.10035126126726204,0.0009505703422053232,,,,,,,,,,,,,,,
Park et al. (GSS) POST HOC 177 items,paire_hors_controle,demographique <-> composite,,,,,,1052.0,177.0,,,3.0,bloc_demo+bloc_enquete+bloc_entretien,0.033317490494296574,0.025022576045627375,0.04239603136882128,0.12155784117460332,0.0009505703422053232,,,,,,,,,,,,,,,
Park et al. (GSS) POST HOC 177 items,paire_hors_controle,persona <-> enquete,,,,,,1052.0,177.0,,,2.0,bloc_enquete+bloc_autodesc,0.00903041825095057,0.005133079847908745,0.01354622148288973,0.06340713897867223,0.0009505703422053232,,,,,,,,,,,,,,,
Park et al. (GSS) POST HOC 177 items,paire_hors_controle,persona <-> entretien,,,,,,1052.0,177.0,,,2.0,bloc_entretien+bloc_autodesc,0.024477186311787073,0.01734731463878327,0.03224809885931559,0.09378509766760064,0.0009505703422053232,,,,,,,,,,,,,,,
Park et al. (GSS) POST HOC 177 items,paire_hors_controle,persona <-> composite,,,,,,1052.0,177.0,,,3.0,bloc_enquete+bloc_entretien+bloc_autodesc,0.025380228136882125,0.01827471482889734,0.033365613117870715,0.11360409289187504,0.0009505703422053232,,,,,,,,,,,,,,,
Park et al. (GSS) POST HOC 177 items,paire,enquete <-> entretien,,,,,,1052.0,177.0,,,2.0,bloc_enquete+bloc_entretien,0.12407319391634981,0.10864959600760458,0.1400219819391635,0.3022159539844769,0.0009505703422053232,,,,,,,,,,,,,,,
Park et al. (GSS) POST HOC 177 items,paire,enquete <-> composite,,,,,,1052.0,177.0,,,1.0,bloc_entretien,0.29895437262357416,0.27677934885931565,0.32262357414448667,0.3660812875788042,0.0009505703422053232,,,,,,,,,,,,,,,
Park et al. (GSS) POST HOC 177 items,paire,entretien <-> composite,,,,,,1052.0,177.0,,,1.0,bloc_enquete,0.9280180608365018,0.9150421815589354,0.939472433460076,0.5414685138436457,0.0009505703422053232,,,,,,,,,,,,,,,
Park et al. (GSS) POST HOC 177 items,dispersion_par_d,d=1,,,,,,,,,,1.0,,0.613486216730038,0.29895437262357416,0.9280180608365018,,,2.0,31.453184410646383,,,,,,,,,,,,,
Park et al. (GSS) POST HOC 177 items,dispersion_par_d,d=2,,,,,,,,,,2.0,,0.12407319391634981,0.12407319391634981,0.12407319391634981,,,1.0,0.0,,,,,,,,,,,,,
Park et al. (GSS) POST HOC 177 items,relation,"rho de Spearman(d, top1)",,,,,,1052.0,177.0,,,,,,,,,,3.0,,-0.8660254037844387,-0.8660254037844387,-0.8660254037844387,0.0,0.0,0.0,1.0,-0.8660254037844387,SOUTENUE,,,,
Twin-2K-500,posthoc_composition,decodage x raisonnement,,,,,,,,,,,,0.29057337220602525,,,,,,,,,,,,,,,,0.2730537127387398,1.0641619529416486,,
Twin-2K-500,posthoc_composition,decodage x gabarit,,,,,,,,,,,,0.5671039844509231,,,,,,,,,,,,,,,,0.5458997274201226,1.0388427690393072,,
Twin-2K-500,posthoc_composition,decodage x modele,,,,,,,,,,,,0.13539844509232266,,,,,,,,,,,,,,,,0.1399687098912868,0.9673479536782625,,
Twin-2K-500,posthoc_composition,raisonnement x gabarit,,,,,,,,,,,,0.3554421768707483,,,,,,,,,,,,,,,,0.22486608589013837,1.58068378992644,,
Twin-2K-500,posthoc_composition,raisonnement x modele,,,,,,,,,,,,0.28278668610301266,,,,,,,,,,,,,,,,0.05765567257029148,4.904750452060905,,
Twin-2K-500,posthoc_composition,gabarit x modele,,,,,,,,,,,,0.1682701652089407,,,,,,,,,,,,,,,,0.11526748940586924,1.4598232864814409,,
Twin-2K-500,posthoc_composition_resume,modele multiplicatif calibre sur les paires a un axe,,,,,,,,,,,,,,,,,6.0,,0.7142857142857143,,,,,,,,,,,7.5333993602242115,1.2619926197115447
