jeu,condition,axe,mesure,ratio_inter,ratio_intra
bigfive_main,agents demographiques fig.3 (v8),race,gini_simpson,3.2439,0.8416
bigfive_main,agents demographiques fig.3 (v8),race,variance_ordinale,1.7321,0.3933
bigfive_main,agents demographiques fig.3 (v8),political_ideology,entropie,36.6162,0.5033
bigfive_main,agents demographiques fig.3 (v8),political_ideology,gini_simpson,38.3026,0.6027
bigfive_main,agents demographiques fig.3 (v8),political_ideology,variance_ordinale,15.8699,0.1078
bigfive_main,agents demographiques fig.3 (v8),age,entropie,2.5390,0.7532
bigfive_main,agents demographiques fig.3 (v8),age,gini_simpson,2.7240,0.8175
bigfive_main,agents demographiques fig.3 (v8),age,variance_ordinale,0.7160,0.3799
bigfive_main,agents demographiques fig.3 (v8),education,entropie,0.8999,0.7852
bigfive_main,agents demographiques fig.3 (v8),education,gini_simpson,1.1763,0.8443
bigfive_main,agents demographiques fig.3 (v8),education,variance_ordinale,0.1224,0.4044
bigfive_main,agents demographiques fig.3 (v8),profil croise,entropie,31.1608,0.5566
bigfive_main,agents demographiques fig.3 (v8),profil croise,gini_simpson,31.1957,0.6669
bigfive_main,agents demographiques fig.3 (v8),profil croise,variance_ordinale,10.3984,0.1529
twin2k500,humains vague 4,genre,entropie,1.0000,1.0000
twin2k500,humains vague 4,genre,gini_simpson,1.0000,1.0000
twin2k500,humains vague 4,genre,variance_ordinale,1.0000,1.0000
twin2k500,humains vague 4,ethnicite,entropie,1.0000,1.0000
twin2k500,humains vague 4,ethnicite,gini_simpson,1.0000,1.0000
twin2k500,humains vague 4,ethnicite,variance_ordinale,1.0000,1.0000
twin2k500,humains vague 4,ideologie politique,entropie,1.0000,1.0000
twin2k500,humains vague 4,ideologie politique,gini_simpson,1.0000,1.0000
twin2k500,humains vague 4,ideologie politique,variance_ordinale,1.0000,1.0000
twin2k500,humains vague 4,age,entropie,1.0000,1.0000
twin2k500,humains vague 4,age,gini_simpson,1.0000,1.0000
twin2k500,humains vague 4,age,variance_ordinale,1.0000,1.0000
twin2k500,humains vague 4,education,entropie,1.0000,1.0000
twin2k500,humains vague 4,education,gini_simpson,1.0000,1.0000
twin2k500,humains vague 4,education,variance_ordinale,1.0000,1.0000
twin2k500,humains vague 4,profil croise,entropie,1.0000,1.0000
twin2k500,humains vague 4,profil croise,gini_simpson,1.0000,1.0000
twin2k500,humains vague 4,profil croise,variance_ordinale,1.0000,1.0000
twin2k500,humains vagues 1-3 (retest),genre,entropie,0.8755,1.0094
twin2k500,humains vagues 1-3 (retest),genre,gini_simpson,0.9092,1.0056
twin2k500,humains vagues 1-3 (retest),genre,variance_ordinale,0.7514,1.0357
twin2k500,humains vagues 1-3 (retest),ethnicite,entropie,1.0581,1.0088
twin2k500,humains vagues 1-3 (retest),ethnicite,gini_simpson,1.1126,1.0050
twin2k500,humains vagues 1-3 (retest),ethnicite,variance_ordinale,1.0773,1.0334
twin2k500,humains vagues 1-3 (retest),ideologie politique,entropie,0.9505,1.0101
twin2k500,humains vagues 1-3 (retest),ideologie politique,gini_simpson,0.9481,1.0062
twin2k500,humains vagues 1-3 (retest),ideologie politique,variance_ordinale,1.0096,1.0344
twin2k500,humains vagues 1-3 (retest),age,entropie,0.9959,1.0091
twin2k500,humains vagues 1-3 (retest),age,gini_simpson,1.0572,1.0053
twin2k500,humains vagues 1-3 (retest),age,variance_ordinale,0.9485,1.0340
twin2k500,humains vagues 1-3 (retest),education,entropie,1.4092,1.0084
twin2k500,humains vagues 1-3 (retest),education,gini_simpson,1.2782,1.0049
twin2k500,humains vagues 1-3 (retest),education,variance_ordinale,1.3770,1.0325
twin2k500,humains vagues 1-3 (retest),profil croise,entropie,1.0325,1.0084
twin2k500,humains vagues 1-3 (retest),profil croise,gini_simpson,1.0783,1.0040
twin2k500,humains vagues 1-3 (retest),profil croise,variance_ordinale,1.0371,1.0336
twin2k500,Demographics Only - GPT4.1-mini,genre,entropie,0.1478,0.5124
twin2k500,Demographics Only - GPT4.1-mini,genre,gini_simpson,0.1953,0.5595
twin2k500,Demographics Only - GPT4.1-mini,genre,variance_ordinale,0.0231,0.0688
twin2k500,Demographics Only - GPT4.1-mini,ethnicite,entropie,0.7049,0.5102
twin2k500,Demographics Only - GPT4.1-mini,ethnicite,gini_simpson,0.8095,0.5577
twin2k500,Demographics Only - GPT4.1-mini,ethnicite,variance_ordinale,0.1091,0.0681
twin2k500,Demographics Only - GPT4.1-mini,ideologie politique,entropie,1.8637,0.4852
twin2k500,Demographics Only - GPT4.1-mini,ideologie politique,gini_simpson,2.4343,0.5317
twin2k500,Demographics Only - GPT4.1-mini,ideologie politique,variance_ordinale,0.4267,0.0582
twin2k500,Demographics Only - GPT4.1-mini,age,entropie,2.1636,0.5055
twin2k500,Demographics Only - GPT4.1-mini,age,gini_simpson,3.7244,0.5503
twin2k500,Demographics Only - GPT4.1-mini,age,variance_ordinale,0.1195,0.0683
twin2k500,Demographics Only - GPT4.1-mini,education,entropie,1.4493,0.5095
twin2k500,Demographics Only - GPT4.1-mini,education,gini_simpson,1.2699,0.5573
twin2k500,Demographics Only - GPT4.1-mini,education,variance_ordinale,0.0206,0.0687
twin2k500,Demographics Only - GPT4.1-mini,profil croise,entropie,1.6139,0.4862
twin2k500,Demographics Only - GPT4.1-mini,profil croise,gini_simpson,2.1128,0.5314
twin2k500,Demographics Only - GPT4.1-mini,profil croise,variance_ordinale,0.3094,0.0581
twin2k500,JSON Persona (Predicted Output) - GPT4.1-mini,genre,entropie,0.4176,0.4727
twin2k500,JSON Persona (Predicted Output) - GPT4.1-mini,genre,gini_simpson,0.3922,0.5150
twin2k500,JSON Persona (Predicted Output) - GPT4.1-mini,genre,variance_ordinale,0.1039,0.0744
twin2k500,JSON Persona (Predicted Output) - GPT4.1-mini,ethnicite,entropie,0.8481,0.4706
twin2k500,JSON Persona (Predicted Output) - GPT4.1-mini,ethnicite,gini_simpson,0.8429,0.5136
twin2k500,JSON Persona (Predicted Output) - GPT4.1-mini,ethnicite,variance_ordinale,0.2210,0.0734
twin2k500,JSON Persona (Predicted Output) - GPT4.1-mini,ideologie politique,entropie,3.2927,0.4184
twin2k500,JSON Persona (Predicted Output) - GPT4.1-mini,ideologie politique,gini_simpson,4.0677,0.4638
twin2k500,JSON Persona (Predicted Output) - GPT4.1-mini,ideologie politique,variance_ordinale,1.3747,0.0375
twin2k500,JSON Persona (Predicted Output) - GPT4.1-mini,age,entropie,0.4700,0.4720
twin2k500,JSON Persona (Predicted Output) - GPT4.1-mini,age,gini_simpson,0.8020,0.5139
twin2k500,JSON Persona (Predicted Output) - GPT4.1-mini,age,variance_ordinale,0.2127,0.0741
twin2k500,JSON Persona (Predicted Output) - GPT4.1-mini,education,entropie,1.2938,0.4706
twin2k500,JSON Persona (Predicted Output) - GPT4.1-mini,education,gini_simpson,1.2846,0.5134
twin2k500,JSON Persona (Predicted Output) - GPT4.1-mini,education,variance_ordinale,0.0999,0.0745
twin2k500,JSON Persona (Predicted Output) - GPT4.1-mini,profil croise,entropie,2.6773,0.4208
twin2k500,JSON Persona (Predicted Output) - GPT4.1-mini,profil croise,gini_simpson,3.3160,0.4657
twin2k500,JSON Persona (Predicted Output) - GPT4.1-mini,profil croise,variance_ordinale,0.9408,0.0376
twin2k500,JSON Persona - GPT4.1,genre,entropie,0.5184,0.6607
twin2k500,JSON Persona - GPT4.1,genre,gini_simpson,0.5373,0.7107
twin2k500,JSON Persona - GPT4.1,genre,variance_ordinale,0.1014,0.1087
twin2k500,JSON Persona - GPT4.1,ethnicite,entropie,1.1756,0.6580
twin2k500,JSON Persona - GPT4.1,ethnicite,gini_simpson,1.2128,0.7086
twin2k500,JSON Persona - GPT4.1,ethnicite,variance_ordinale,0.1930,0.1079
twin2k500,JSON Persona - GPT4.1,ideologie politique,entropie,5.1510,0.5747
twin2k500,JSON Persona - GPT4.1,ideologie politique,gini_simpson,6.0575,0.6337
twin2k500,JSON Persona - GPT4.1,ideologie politique,variance_ordinale,1.7383,0.0621
twin2k500,JSON Persona - GPT4.1,age,entropie,1.0811,0.6586
twin2k500,JSON Persona - GPT4.1,age,gini_simpson,1.3868,0.7085
twin2k500,JSON Persona - GPT4.1,age,variance_ordinale,0.2672,0.1080
twin2k500,JSON Persona - GPT4.1,education,entropie,2.6624,0.6568
twin2k500,JSON Persona - GPT4.1,education,gini_simpson,2.2076,0.7078
twin2k500,JSON Persona - GPT4.1,education,variance_ordinale,0.1606,0.1084
twin2k500,JSON Persona - GPT4.1,profil croise,entropie,3.9592,0.5828
twin2k500,JSON Persona - GPT4.1,profil croise,gini_simpson,4.4666,0.6444
twin2k500,JSON Persona - GPT4.1,profil croise,variance_ordinale,1.1519,0.0640
twin2k500,Persona Summary - GPT4.1-mini,genre,entropie,0.9278,0.5990
twin2k500,Persona Summary - GPT4.1-mini,genre,gini_simpson,1.0795,0.6472
twin2k500,Persona Summary - GPT4.1-mini,genre,variance_ordinale,0.2488,0.1149
