variable,libelle,delai_mois,n_couples,n_menages,rho,ic_bas,ic_haut
logement,variation attendue du prix du logement,4,45565,7401,0.4699124366448547,0.4574043820816215,0.48264804306853976
logement,variation attendue du prix du logement,5,38930,6954,0.4432118729621733,0.42816214726231705,0.4556050746686535
logement,variation attendue du prix du logement,6,32651,6552,0.41424069099717015,0.40083949625880316,0.42823252046688265
logement,variation attendue du prix du logement,7,26717,6186,0.3822480399236915,0.36755041116944925,0.40200953335995787
logement,variation attendue du prix du logement,8,21090,5876,0.3682595995660432,0.3526315085654867,0.3853798733058315
logement,variation attendue du prix du logement,9,15749,5610,0.33600339258352535,0.31497226603037043,0.35325007045795126
logement,variation attendue du prix du logement,10,10694,5347,0.3161224134443139,0.2885777068772241,0.33744276127240597
logement,variation attendue du prix du logement,11,5907,4980,0.2994285356141186,0.2744712356117042,0.3274634714905733
perte_emploi,probabilite de perdre son emploi,1,40037,5873,0.7291038214262165,0.7203284320094306,0.7383534709509934
perte_emploi,probabilite de perdre son emploi,2,35146,5407,0.6925988468077906,0.6815662577385597,0.7062761198180998
perte_emploi,probabilite de perdre son emploi,3,30796,5065,0.6666491188524298,0.6534698168728067,0.6786078911478647
perte_emploi,probabilite de perdre son emploi,4,26486,4669,0.6477037579815633,0.6334049524235256,0.6586291827207634
perte_emploi,probabilite de perdre son emploi,5,22509,4367,0.6259659446403298,0.6135163872834805,0.6416286194481534
perte_emploi,probabilite de perdre son emploi,6,18825,4095,0.6080686242216653,0.5898444913799071,0.6240653645200984
perte_emploi,probabilite de perdre son emploi,7,15345,3819,0.5801211777076225,0.562118464300379,0.5960069791623617
perte_emploi,probabilite de perdre son emploi,8,12078,3620,0.56399435768438,0.5464589560835496,0.5818945952817736
perte_emploi,probabilite de perdre son emploi,9,8955,3419,0.5473682026749205,0.524709638430978,0.5692169646663808
perte_emploi,probabilite de perdre son emploi,10,6058,3199,0.5205868138039694,0.4940073672452677,0.5418876431525304
perte_emploi,probabilite de perdre son emploi,11,3321,2833,0.5133179450141426,0.4836867387416362,0.5429138679644914
