jeu,item,k,baseline,1-MAE,1-TV,spearman,KS
GSS,intsex,2,BAD camp inverse,0.34838764017490753,0.34838764017490753,-0.9999999999999999,
GSS,issp,2,BAD item permute,0.9472141319074017,0.9472141319074017,0.9999999999999999,
GSS,issp,2,BAD camp inverse,0.6256509050034196,0.6256509050034196,-0.9999999999999999,
GSS,lasers,2,BAD item permute,0.5440957352456732,0.5440957352456732,-0.9999999999999999,
GSS,lasers,2,BAD camp inverse,0.613763842079923,0.613763842079923,-0.9999999999999999,
GSS,letdie1,2,BAD item permute,0.5333973882239459,0.5333973882239459,-0.9999999999999999,
GSS,letdie1,2,BAD camp inverse,0.6479551538789519,0.6479551538789519,-0.9999999999999999,
GSS,libath,2,BAD item permute,0.8213315228161627,0.8213315228161627,0.9999999999999999,
GSS,libath,2,BAD camp inverse,0.5234053219858841,0.5234053219858841,-0.9999999999999999,
GSS,libcom,2,BAD item permute,0.5475554449299133,0.5475554449299133,-0.9999999999999999,
GSS,libcom,2,BAD camp inverse,0.6077056727759487,0.6077056727759487,-0.9999999999999999,
GSS,libhomo,2,BAD item permute,0.971254671211259,0.971254671211259,0.9999999999999999,
GSS,libhomo,2,BAD camp inverse,0.45417124962175603,0.45417124962175603,-0.9999999999999999,
GSS,libmil,2,BAD item permute,0.49468913357802247,0.49468913357802247,-0.9999999999999999,
GSS,libmil,2,BAD camp inverse,0.5834779733862303,0.5834779733862303,-0.9999999999999999,
GSS,libmslm,2,BAD item permute,0.5232382203063219,0.5232382203063219,-0.9999999999999999,
GSS,libmslm,2,BAD camp inverse,0.9877929885125885,0.9877929885125885,-0.9999999999999999,
GSS,librac,2,BAD item permute,0.7027284871550754,0.7027284871550754,0.9999999999999999,
GSS,librac,2,BAD camp inverse,0.6858650915603216,0.6858650915603216,-0.9999999999999999,
GSS,matesex,2,BAD item permute,0.9651558947360871,0.9651558947360871,0.9999999999999999,
GSS,matesex,2,BAD camp inverse,0.19059018378438564,0.19059018378438564,-0.9999999999999999,
GSS,mawrkgrw,2,BAD item permute,0.8108820540792582,0.8108820540792582,0.9999999999999999,
GSS,mawrkgrw,2,BAD camp inverse,0.6126326508736198,0.6126326508736198,-0.9999999999999999,
GSS,mawrkslf,2,BAD item permute,0.26289096721765104,0.26289096721765104,-0.9999999999999999,
GSS,mawrkslf,2,BAD camp inverse,0.22766199098944917,0.22766199098944917,-0.9999999999999999,
GSS,odds1,2,BAD item permute,0.8889253809774041,0.8889253809774041,0.9999999999999999,
GSS,odds1,2,BAD camp inverse,0.22635312664214402,0.22635312664214402,-0.9999999999999999,
GSS,odds2,2,BAD item permute,0.8856295451991459,0.8856295451991459,0.9999999999999999,
GSS,odds2,2,BAD camp inverse,0.4183517856373584,0.4183517856373584,-0.9999999999999999,
GSS,othersex,2,BAD item permute,0.17625056623309387,0.17625056623309387,-0.9999999999999999,
GSS,othersex,2,BAD camp inverse,0.12606235252354403,0.12606235252354403,-0.9999999999999999,
GSS,othlang,2,BAD item permute,0.9560650799352585,0.9560650799352585,0.9999999999999999,
GSS,othlang,2,BAD camp inverse,0.5365759518956655,0.5365759518956655,-0.9999999999999999,
GSS,paidsex,2,BAD item permute,0.2792313182569246,0.2792313182569246,-0.9999999999999999,
GSS,paidsex,2,BAD camp inverse,0.08387184049782004,0.08387184049782004,-0.9999999999999999,
GSS,partfull,2,BAD item permute,0.42687039938947235,0.42687039938947235,-0.9999999999999999,
GSS,partfull,2,BAD camp inverse,0.45674350613722936,0.45674350613722936,-0.9999999999999999,
GSS,pawrkslf,2,BAD item permute,0.7505114566284778,0.7505114566284778,0.9999999999999999,
GSS,pawrkslf,2,BAD camp inverse,0.4866764926071496,0.4866764926071496,-0.9999999999999999,
GSS,phase,2,BAD item permute,0.9930550513145195,0.9930550513145195,0.9999999999999999,
GSS,phase,2,BAD camp inverse,0.3920090195627002,0.3920090195627002,-0.9999999999999999,
GSS,pikupsex,2,BAD item permute,0.8827579597643954,0.8827579597643954,0.9999999999999999,
GSS,pikupsex,2,BAD camp inverse,0.7536096589494647,0.7536096589494647,-0.9999999999999999,
GSS,polabuse,2,BAD item permute,0.9182587378362529,0.9182587378362529,0.9999999999999999,
GSS,polabuse,2,BAD camp inverse,0.18913761269456464,0.18913761269456464,-0.9999999999999999,
GSS,polattak,2,BAD item permute,0.9160518922140394,0.9160518922140394,0.9999999999999999,
GSS,polattak,2,BAD camp inverse,0.25164475126013586,0.25164475126013586,-0.9999999999999999,
GSS,polescap,2,BAD item permute,0.7244013246301304,0.7244013246301304,-0.9999999999999999,
GSS,polescap,2,BAD camp inverse,0.560293388530041,0.560293388530041,-0.9999999999999999,
GSS,polhitok,2,BAD item permute,0.6565311397186739,0.6565311397186739,-0.9999999999999999,
GSS,polhitok,2,BAD camp inverse,0.6336984784283514,0.6336984784283514,-0.9999999999999999,
GSS,polmurdr,2,BAD item permute,0.9699669508344806,0.9699669508344806,0.9999999999999999,
GSS,polmurdr,2,BAD camp inverse,0.2851763381697926,0.2851763381697926,-0.9999999999999999,
GSS,postlife,2,BAD item permute,0.5711013406164582,0.5711013406164582,-0.9999999999999999,
GSS,postlife,2,BAD camp inverse,0.37491546297425704,0.37491546297425704,-0.9999999999999999,
GSS,prayer,2,BAD item permute,0.8452911261592015,0.8452911261592015,-0.9999999999999999,
GSS,prayer,2,BAD camp inverse,0.8435854341736695,0.8435854341736695,-0.9999999999999999,
GSS,racdif1,2,BAD item permute,0.5966480464293596,0.5966480464293596,-0.9999999999999999,
GSS,racdif1,2,BAD camp inverse,0.7501109014390754,0.7501109014390754,-0.9999999999999999,
GSS,racdif2,2,BAD item permute,0.33922671897584145,0.33922671897584145,-0.9999999999999999,
GSS,racdif2,2,BAD camp inverse,0.21130651931353273,0.21130651931353273,-0.9999999999999999,
GSS,racdif3,2,BAD item permute,0.9783537157704288,0.9783537157704288,-0.9999999999999999,
GSS,racdif3,2,BAD camp inverse,0.9427681972308325,0.9427681972308325,-0.9999999999999999,
GSS,racdif4,2,BAD item permute,0.7351877120668573,0.7351877120668573,0.9999999999999999,
GSS,racdif4,2,BAD camp inverse,0.9946896380711564,0.9946896380711564,0.9999999999999999,
GSS,raclive,2,BAD item permute,0.6298072927809496,0.6298072927809496,-0.9999999999999999,
GSS,raclive,2,BAD camp inverse,0.602595053674558,0.602595053674558,-0.9999999999999999,
GSS,racpres,2,BAD item permute,0.9761438620954633,0.9761438620954633,0.9999999999999999,
GSS,racpres,2,BAD camp inverse,0.1004677586853886,0.1004677586853886,-0.9999999999999999,
GSS,radioact,2,BAD item permute,0.8591371978513876,0.8591371978513876,0.9999999999999999,
GSS,radioact,2,BAD camp inverse,0.44088798332069756,0.44088798332069756,-0.9999999999999999,
GSS,reborn,2,BAD item permute,0.7117136074770014,0.7117136074770014,0.9999999999999999,
GSS,reborn,2,BAD camp inverse,0.7643353952054494,0.7643353952054494,-0.9999999999999999,
GSS,relatsex,2,BAD item permute,0.5174824778378228,0.5174824778378228,-0.9999999999999999,
GSS,relatsex,2,BAD camp inverse,0.1855003838424596,0.1855003838424596,-0.9999999999999999,
GSS,relexp,2,BAD item permute,0.9355105552246707,0.9355105552246707,0.9999999999999999,
GSS,relexp,2,BAD camp inverse,0.8466762127918077,0.8466762127918077,-0.9999999999999999,
GSS,relexper,2,BAD item permute,0.6498484428852782,0.6498484428852782,-0.9999999999999999,
GSS,relexper,2,BAD camp inverse,0.8468210503315551,0.8468210503315551,-0.9999999999999999,
GSS,relneg,2,BAD item permute,0.9912556274114535,0.9912556274114535,0.9999999999999999,
GSS,relneg,2,BAD camp inverse,0.7526532566673091,0.7526532566673091,-0.9999999999999999,
GSS,relsp1,2,BAD item permute,0.8975498048219092,0.8975498048219092,0.9999999999999999,
GSS,relsp1,2,BAD camp inverse,0.28924002709919105,0.28924002709919105,-0.9999999999999999,
GSS,res2006,2,BAD item permute,0.9740440841341724,0.9740440841341724,0.9999999999999999,
GSS,res2006,2,BAD camp inverse,0.031458074791398394,0.031458074791398394,-0.9999999999999999,
GSS,richwork,2,BAD item permute,0.6977567886658795,0.6977567886658795,0.9999999999999999,
GSS,richwork,2,BAD camp inverse,0.5825635774668436,0.5825635774668436,-0.9999999999999999,
GSS,rvisitor,2,BAD item permute,0.35839580618261213,0.35839580618261213,-0.9999999999999999,
GSS,rvisitor,2,BAD camp inverse,0.004912682236472343,0.004912682236472343,-0.9999999999999999,
GSS,savesoul,2,BAD item permute,0.9854607357304758,0.9854607357304758,0.9999999999999999,
GSS,savesoul,2,BAD camp inverse,0.8860707013827089,0.8860707013827089,-0.9999999999999999,
GSS,sex,2,BAD item permute,0.5513338823712843,0.5513338823712843,-0.9999999999999999,
GSS,sex,2,BAD camp inverse,0.8956232775140677,0.8956232775140677,-0.9999999999999999,
GSS,sexeduc,2,BAD item permute,0.7228450627386798,0.7228450627386798,0.9999999999999999,
GSS,sexeduc,2,BAD camp inverse,0.19558302444440812,0.19558302444440812,-0.9999999999999999,
GSS,spaneng,2,BAD item permute,0.8389487870619946,0.8389487870619946,0.9999999999999999,
GSS,spaneng,2,BAD camp inverse,0.07575383094414234,0.07575383094414234,-0.9999999999999999,
GSS,spevwork,2,BAD item permute,0.16376365791919,0.16376365791919,-0.9999999999999999,
GSS,spevwork,2,BAD camp inverse,0.21799833814396918,0.21799833814396918,-0.9999999999999999,
GSS,spkath,2,BAD item permute,0.8621144238912961,0.8621144238912961,0.9999999999999999,
GSS,spkath,2,BAD camp inverse,0.4818352254481574,0.4818352254481574,-0.9999999999999999,
GSS,spkcom,2,BAD item permute,0.38455508393560467,0.38455508393560467,-0.9999999999999999,
GSS,spkcom,2,BAD camp inverse,0.6764459715431038,0.6764459715431038,-0.9999999999999999,
GSS,spkhomo,2,BAD item permute,0.8177558363316877,0.8177558363316877,0.9999999999999999,
GSS,spkhomo,2,BAD camp inverse,0.3037419817254292,0.3037419817254292,-0.9999999999999999,
GSS,spkmil,2,BAD item permute,0.9341955077249195,0.9341955077249195,0.9999999999999999,
GSS,spkmil,2,BAD camp inverse,0.6520518868777354,0.6520518868777354,-0.9999999999999999,
GSS,spkmslm,2,BAD item permute,0.5224512487170715,0.5224512487170715,-0.9999999999999999,
GSS,spkmslm,2,BAD camp inverse,0.844679350312643,0.844679350312643,-0.9999999999999999,
GSS,spkrac,2,BAD item permute,0.8778576154241664,0.8778576154241664,-0.9999999999999999,
