generateur,n,n_pool,n_rep,exactitude,exactitude_bas,exactitude_haut,top1,top1_bas,top1_haut,top10,top10_bas,top10_haut,rang_median,top1_hasard,auc_ouvert,tpr_fpr_0_1pct,tpr_fpr_1pct,jeu,table,eps,candidat,passe,baseline_top1,llm,llm_top1,llm_top1_bas,llm_top1_haut,llm_tpr_1pct,llm_exactitude,meilleur_classique,meilleur_classique_top1,meilleur_classique_top1_bas,meilleur_classique_top1_haut,meilleur_classique_ouvert,meilleur_classique_tpr_1pct,seuil_non_specifique_top1,verdict_monde_ferme,verdict_monde_ouvert,eps_etoile_fuite,eps_etoile_exactitude,lecture_memorisation
G0 marginales independantes,1052.0,1052.0,5.0,0.49464136108783907,0.49260268307877375,0.49648138600674535,0.0012927756653992397,0.0004562737642585552,0.002319391634980989,0.011520912547528517,0.008669201520912549,0.014638783269961977,515.1999999999999,0.0009505703422053232,0.000704072633694285,0.0,0.0,Stanford,generateurs,,,,,,,,,,,,,,,,,,,,,,
G1 marginales par segment,1052.0,1052.0,5.0,0.5461128654593885,0.5435939346093531,0.5486457057850529,0.022661596958174903,0.018440114068441066,0.027110266159695817,0.1281749049429658,0.11581653992395438,0.14034410646387835,173.92,0.0009505703422053232,0.012389491679798753,0.0,0.0005475285171102662,Stanford,generateurs,,,,,,,,,,,,,,,,,,,,,,
G2 Chow-Liu global,1052.0,1052.0,5.0,0.4464544263281133,0.44431763012609826,0.4486949796996842,0.0013307984790874524,0.0004562737642585552,0.002319391634980989,0.009429657794676806,0.006806083650190115,0.012206273764258552,517.28,0.0009505703422053232,0.0006816637511023724,0.0,0.0,Stanford,generateurs,,,,,,,,,,,,,,,,,,,,,,
G3 Chow-Liu par segment,1052.0,1052.0,5.0,0.23414964232776955,0.23204332345169812,0.23636661940667225,0.004562737642585552,0.0027756653992395443,0.00650190114068441,0.027832699619771865,0.023422053231939164,0.032358365019011404,417.5,0.0009505703422053232,0.002595273894374647,9.885931558935366e-06,0.00019011406844106463,Stanford,generateurs,,,,,,,,,,,,,,,,,,,,,,
LLM : agent composite (Park et al.),1052.0,1052.0,1.0,0.712159781744753,0.7082819112371377,0.7158229683572855,0.6555133079847909,0.6266159695817491,0.6830798479087452,0.9020912547528517,0.885161596958175,0.9193916349809886,1.0,0.0009505703422053232,0.5529016792204601,0.08473764258555133,0.20391001267427122,Stanford,generateurs,,,,,,,,,,,,,,,,,,,,,,
Plafond humain (retest),1052.0,1052.0,1.0,0.8124906017056561,0.8076614895490967,0.8173190425554768,0.9674904942965779,0.9566539923954372,0.9773764258555133,0.9840304182509504,0.9764258555133078,0.9912547528517109,1.0,0.0009505703422053232,0.9588982239153379,0.6353384030418251,0.9068821292775665,Stanford,generateurs,,,,,,,,,,,,,,,,,,,,,,
G4 copie perturbee eps=0.00,1052.0,1052.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0009505703422053232,0.9999945784961471,0.9972965779467681,1.0,Stanford,echelle_memorisation,0.0,,,,,,,,,,,,,,,,,,,,,
G4 copie perturbee eps=0.05,1052.0,1052.0,2.0,0.9751347983931602,0.9746621984490129,0.9756531814568968,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0009505703422053232,0.9997390901270801,1.0,1.0,Stanford,echelle_memorisation,0.05,,,,,,,,,,,,,,,,,,,,,
G4 copie perturbee eps=0.10,1052.0,1052.0,2.0,0.9489753173938261,0.9482395652080514,0.9497030138987347,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0009505703422053232,0.9999408152496061,1.0,1.0,Stanford,echelle_memorisation,0.1,,,,,,,,,,,,,,,,,,,,,
G4 copie perturbee eps=0.15,1052.0,1052.0,2.0,0.9240510407939679,0.9231943862645271,0.9249291100083779,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0009505703422053232,0.9997140156717605,1.0,1.0,Stanford,echelle_memorisation,0.15,,,,,,,,,,,,,,,,,,,,,
