perimetre,axe,condition,n_items,ratio_moyen,ratio_median,ecart_type,iqr,coefficient_variation,q10,q90,h6_difference_llm_moins_stat,h6_p_permutation,h6cv_difference,h6cv_p,h6cv_difference_sans_b0mode,h6cv_p_sans_b0mode
1052,political_ideology,humains vague 2,143,1.006900,1.000784,0.049349,0.031265,0.049011,0.968867,1.040350,,,,,,
1052,profil croise,B0 mode,143,0.034004,0.000000,0.142190,0.000000,4.181505,0.000000,0.000000,,,,,,
1052,profil croise,B0 tirage,143,1.062430,1.040329,0.089610,0.067311,0.084344,0.995082,1.128375,,,,,,
1052,profil croise,B1 argmax,143,0.581222,0.596580,0.216029,0.305991,0.371681,0.288556,0.840622,,,,,,
1052,profil croise,B2 argmax,143,0.500372,0.584592,0.276128,0.457157,0.551846,0.063792,0.827944,,,,,,
1052,profil croise,B3 foret,143,0.342569,0.352041,0.254299,0.492796,0.742329,0.001635,0.682931,,,,,,
1052,profil croise,agents composite,143,0.862280,0.879052,0.274457,0.185729,0.318292,0.629081,1.034955,,,,,,
1052,profil croise,agents demographiques (v6),143,0.608098,0.647648,0.341177,0.568061,0.561057,0.077769,1.000892,,,,,,
1052,profil croise,agents enquete,143,0.799511,0.825819,0.297772,0.226815,0.372443,0.469626,1.021844,,,,,,
1052,profil croise,agents entretien (v3),143,0.743831,0.799105,0.262196,0.276642,0.352494,0.351307,0.991390,,,,,,
1052,profil croise,agents v7,143,0.607729,0.620997,0.291456,0.426854,0.479583,0.183655,0.973481,,,,,,
1052,profil croise,agents v8,143,0.489801,0.471977,0.241541,0.269925,0.493142,0.243388,0.770779,,,,,,
1052,profil croise,humains vague 2,143,1.006081,1.000093,0.048407,0.033123,0.048114,0.966653,1.040357,,,,,,
1052,race,B0 mode,143,0.031518,0.000000,0.131517,0.000000,4.172728,0.000000,0.000000,,,,,,
1052,race,B0 tirage,143,1.004726,1.006200,0.036322,0.020610,0.036151,0.974636,1.036995,,,,,,
1052,race,B1 argmax,143,0.671669,0.772618,0.258998,0.410690,0.385604,0.313199,0.941882,,,,,,
1052,race,B2 argmax,143,0.548941,0.629396,0.313435,0.545157,0.570981,0.060577,0.892369,,,,,,
1052,race,B3 foret,143,0.442285,0.489211,0.330760,0.675227,0.747843,0.001579,0.853501,,,,,,
1052,race,agents composite,143,0.927276,0.950168,0.323324,0.176870,0.348681,0.646607,1.112798,,,,,,
1052,race,agents demographiques (v6),143,0.594476,0.647585,0.333806,0.557905,0.561513,0.074407,0.986687,,,,,,
1052,race,agents enquete,143,0.876382,0.902966,0.334935,0.263085,0.382180,0.497776,1.147621,,,,,,
1052,race,agents entretien (v3),143,0.848006,0.940556,0.314310,0.217011,0.370646,0.359438,1.097211,,,,,,
1052,race,agents v7,143,0.588337,0.597540,0.284991,0.417530,0.484401,0.179763,0.936591,,,,,,
1052,race,agents v8,143,0.830470,0.903556,0.431955,0.404350,0.520134,0.254827,1.182265,,,,,,
1052,race,humains vague 2,143,1.006326,1.001925,0.046545,0.027592,0.046252,0.965581,1.036667,,,,,,
150,age,B0 mode,146,0.032452,0.000000,0.137072,0.000000,4.223886,0.000000,0.000000,,,,,,
150,age,B0 tirage,146,1.010874,1.021142,0.187045,0.122888,0.185033,0.892940,1.143852,,,,,,
150,age,B1 argmax,146,0.620614,0.682841,0.269799,0.397578,0.434729,0.188804,0.912958,,,,,,
150,age,B2 argmax,146,0.532685,0.615762,0.318936,0.548301,0.598732,0.014795,0.901426,,,,,,
150,age,B3 foret,146,0.419850,0.433204,0.326194,0.649488,0.776931,0.000000,0.844708,,,,,,
150,age,C2,146,0.704201,0.724060,0.792300,0.650278,1.125106,0.000000,1.093948,,,,,,
150,age,C3,146,0.712780,0.765256,0.505621,0.547857,0.709366,0.064394,1.128020,,,,,,
150,age,agents composite,146,0.911604,0.937872,0.330887,0.204794,0.362973,0.649274,1.095807,,,,,,
150,age,agents demographiques (v6),146,0.589970,0.656187,0.347895,0.523047,0.589683,0.024978,1.001433,,,,,,
150,age,agents enquete,146,0.921868,0.894598,0.778356,0.245632,0.844325,0.475788,1.169918,,,,,,
150,age,agents entretien (v3),146,0.831202,0.923227,0.331689,0.280949,0.399048,0.333250,1.091679,,,,,,
150,age,agents v7,146,0.601922,0.600487,0.308096,0.436639,0.511853,0.185576,0.984127,,,,,,
150,age,agents v8,146,0.765216,0.865741,0.422942,0.537997,0.552709,0.131563,1.138001,,,,,,
150,age,humains vague 2,146,1.005839,0.994166,0.099455,0.068144,0.098878,0.915253,1.076121,,,,,,
150,education,B0 mode,146,0.031826,0.000000,0.134518,0.000000,4.226644,0.000000,0.000000,,,,,,
150,education,B0 tirage,146,0.990625,1.004901,0.174242,0.084719,0.175891,0.871392,1.112779,,,,,,
150,education,B1 argmax,146,0.637278,0.709599,0.276297,0.407301,0.433557,0.191179,0.935214,,,,,,
150,education,B2 argmax,146,0.541944,0.622570,0.326589,0.589529,0.602624,0.014214,0.911494,,,,,,
150,education,B3 foret,146,0.423855,0.464652,0.328981,0.671733,0.776163,0.000000,0.840298,,,,,,
150,education,C2,146,0.700488,0.733141,0.736762,0.651054,1.051784,0.000000,1.077942,,,,,,
150,education,C3,146,0.706316,0.765662,0.501119,0.545303,0.709482,0.063384,1.095159,,,,,,
150,education,agents composite,146,0.913867,0.947691,0.337073,0.204846,0.368842,0.653273,1.106262,,,,,,
150,education,agents demographiques (v6),146,0.572907,0.629377,0.348426,0.542616,0.608172,0.011353,0.989992,,,,,,
150,education,agents enquete,146,0.918121,0.890176,0.774712,0.238872,0.843801,0.471404,1.179896,,,,,,
150,education,agents entretien (v3),146,0.829379,0.920784,0.331695,0.265350,0.399932,0.315021,1.090372,,,,,,
150,education,agents v7,146,0.600432,0.585342,0.306461,0.439837,0.510401,0.179665,0.975486,,,,,,
150,education,agents v8,146,0.811755,0.899117,0.406415,0.401881,0.500662,0.251978,1.156547,,,,,,
150,education,humains vague 2,146,1.006351,0.999523,0.104718,0.056585,0.104057,0.911163,1.074025,,,,,,
150,gender,B0 mode,146,0.031566,0.000000,0.133492,0.000000,4.229034,0.000000,0.000000,,,,,,
150,gender,B0 tirage,146,0.990182,1.006611,0.177129,0.084112,0.178885,0.875730,1.106701,,,,,,
150,gender,B1 argmax,146,0.650689,0.736839,0.282769,0.399425,0.434568,0.193605,0.940220,,,,,,
150,gender,B2 argmax,146,0.543391,0.620346,0.326479,0.572923,0.600819,0.014335,0.909677,,,,,,
150,gender,B3 foret,146,0.434745,0.451087,0.338560,0.706539,0.778756,0.000000,0.859223,,,,,,
150,gender,C2,146,0.731406,0.746584,0.848666,0.670324,1.160323,0.000000,1.126529,,,,,,
150,gender,C3,146,0.707232,0.768648,0.499834,0.539570,0.706747,0.063849,1.104715,,,,,,
150,gender,agents composite,146,0.914141,0.945106,0.328574,0.191339,0.359435,0.659259,1.102505,,,,,,
150,gender,agents demographiques (v6),146,0.593722,0.664590,0.353080,0.543288,0.594688,0.024596,0.997455,,,,,,
150,gender,agents enquete,146,0.920477,0.892347,0.760665,0.256396,0.826381,0.483257,1.153829,,,,,,
150,gender,agents entretien (v3),146,0.834781,0.940271,0.333288,0.257413,0.399253,0.315873,1.092070,,,,,,
150,gender,agents v7,146,0.592685,0.576372,0.299488,0.439724,0.505307,0.181656,0.961347,,,,,,
150,gender,agents v8,146,0.818686,0.889346,0.412059,0.426420,0.503318,0.246833,1.165758,,,,,,
150,gender,humains vague 2,146,1.007656,1.001812,0.101073,0.047306,0.100305,0.917753,1.065039,,,,,,
150,political_ideology,B0 mode,146,0.034353,0.000000,0.145448,0.000000,4.233922,0.000000,0.000000,,,,,,
150,political_ideology,B0 tirage,146,1.037131,1.034223,0.197092,0.106230,0.190036,0.906266,1.211274,,,,,,
150,political_ideology,B1 argmax,146,0.567199,0.632005,0.249660,0.331682,0.440163,0.195676,0.875498,,,,,,
150,political_ideology,B2 argmax,146,0.491089,0.554542,0.290853,0.496420,0.592261,0.014988,0.826366,,,,,,
150,political_ideology,B3 foret,146,0.346904,0.323746,0.279229,0.508233,0.804915,0.000000,0.756549,,,,,,
150,political_ideology,C2,146,0.397591,0.270881,0.702333,0.385615,1.766471,0.000000,0.811412,,,,,,
150,political_ideology,C3,146,0.702363,0.749290,0.468213,0.556617,0.666624,0.065808,1.136727,,,,,,
150,political_ideology,agents composite,146,0.858985,0.890221,0.290279,0.196911,0.337933,0.600831,1.049646,,,,,,
150,political_ideology,agents demographiques (v6),146,0.617097,0.686392,0.367398,0.597132,0.595365,0.024027,1.010877,,,,,,
150,political_ideology,agents enquete,146,0.850565,0.830360,0.765013,0.262713,0.899417,0.397561,1.044702,,,,,,
150,political_ideology,agents entretien (v3),146,0.745319,0.793617,0.284158,0.292445,0.381256,0.312037,1.028484,,,,,,
150,political_ideology,agents v7,146,0.610884,0.597819,0.306676,0.454122,0.502020,0.177303,0.986570,,,,,,
150,political_ideology,agents v8,146,0.458455,0.453213,0.263839,0.282617,0.575498,0.157779,0.816077,,,,,,
150,political_ideology,humains vague 2,146,1.007925,1.005450,0.108144,0.081890,0.107294,0.898100,1.101140,,,,,,
150,profil croise,B0 mode,146,0.033725,0.000000,0.142843,0.000000,4.235583,0.000000,0.000000,0.190331,0.037798,-0.592178,0.451077,0.154278,0.484576
150,profil croise,B0 tirage,146,1.046409,1.037952,0.213713,0.125032,0.204235,0.890113,1.241573,0.190331,0.037798,-0.592178,0.451077,0.154278,0.484576
150,profil croise,B1 argmax,146,0.556935,0.604375,0.244501,0.331047,0.439012,0.190122,0.844484,0.190331,0.037798,-0.592178,0.451077,0.154278,0.484576
150,profil croise,B2 argmax,146,0.500689,0.568117,0.297050,0.502511,0.593283,0.014257,0.867426,0.190331,0.037798,-0.592178,0.451077,0.154278,0.484576
150,profil croise,B3 foret,146,0.337348,0.329667,0.262013,0.503340,0.776683,0.000000,0.703352,0.190331,0.037798,-0.592178,0.451077,0.154278,0.484576
150,profil croise,C2,146,0.470198,0.408110,0.665617,0.388468,1.415609,0.000000,0.808404,0.190331,0.037798,-0.592178,0.451077,0.154278,0.484576
150,profil croise,C3,146,0.713477,0.744796,0.465514,0.545027,0.652458,0.065569,1.153992,0.190331,0.037798,-0.592178,0.451077,0.154278,0.484576
150,profil croise,agents composite,146,0.872277,0.902893,0.286921,0.224575,0.328933,0.627039,1.085071,0.190331,0.037798,-0.592178,0.451077,0.154278,0.484576
150,profil croise,agents demographiques (v6),146,0.597950,0.660171,0.357034,0.552835,0.597098,0.025158,1.000540,0.190331,0.037798,-0.592178,0.451077,0.154278,0.484576
150,profil croise,agents enquete,146,0.859841,0.852622,0.741323,0.279282,0.862163,0.417610,1.068624,0.190331,0.037798,-0.592178,0.451077,0.154278,0.484576
150,profil croise,agents entretien (v3),146,0.767054,0.816975,0.301908,0.313934,0.393595,0.316251,1.044806,0.190331,0.037798,-0.592178,0.451077,0.154278,0.484576
150,profil croise,agents v7,146,0.604658,0.584817,0.307845,0.454505,0.509122,0.179810,0.969983,0.190331,0.037798,-0.592178,0.451077,0.154278,0.484576
150,profil croise,agents v8,146,0.503672,0.490755,0.252678,0.292533,0.501672,0.210860,0.794030,0.190331,0.037798,-0.592178,0.451077,0.154278,0.484576
150,profil croise,humains vague 2,146,1.009880,1.001305,0.107784,0.108712,0.106730,0.897883,1.099796,0.190331,0.037798,-0.592178,0.451077,0.154278,0.484576
150,race,B0 mode,145,0.031450,0.000000,0.132635,0.000000,4.217375,0.000000,0.000000,,,,,,
150,race,B0 tirage,145,0.990619,1.006213,0.184474,0.101098,0.186221,0.875292,1.095935,,,,,,
150,race,B1 argmax,145,0.648610,0.732383,0.278687,0.405384,0.429668,0.197521,0.930864,,,,,,
150,race,B2 argmax,145,0.548839,0.602252,0.326735,0.575152,0.595319,0.028948,0.915075,,,,,,
150,race,B3 foret,145,0.434094,0.471903,0.336082,0.706966,0.774216,0.000000,0.846213,,,,,,
150,race,C2,145,0.715082,0.741004,0.820467,0.642629,1.147374,0.000000,1.093666,,,,,,
150,race,C3,145,0.712851,0.770027,0.500570,0.566138,0.702208,0.062164,1.110085,,,,,,
150,race,agents composite,145,0.918974,0.943826,0.324340,0.185446,0.352936,0.655171,1.096004,,,,,,
150,race,agents demographiques (v6),145,0.588977,0.650064,0.350057,0.507865,0.594347,0.023632,0.989662,,,,,,
150,race,agents enquete,145,0.927475,0.895546,0.768551,0.277708,0.828649,0.508227,1.151112,,,,,,
150,race,agents entretien (v3),145,0.838553,0.931936,0.332577,0.254681,0.396608,0.325306,1.081862,,,,,,
150,race,agents v7,145,0.595061,0.582316,0.296391,0.437921,0.498085,0.192706,0.956688,,,,,,
150,race,agents v8,145,0.797229,0.878465,0.398617,0.415431,0.500003,0.254684,1.139085,,,,,,
150,race,humains vague 2,145,1.002074,0.994827,0.093883,0.060653,0.093689,0.919432,1.064300,,,,,,
