perimetre,condition,item,correlation,glass_delta,rapport_ecarts_types,sd_pred,sd_humain,n
150,agents entretien (v3),parsol,0.455138,0.054433,0.899499,0.275414,0.306186,150
150,agents entretien (v3),spanking,0.503727,0.313099,0.797052,0.277197,0.347778,150
150,agents entretien (v3),divlaw,0.261274,0.437984,0.983099,0.329208,0.334868,150
150,agents entretien (v3),pillok,0.578262,0.095160,1.188002,0.388397,0.326933,150
150,agents entretien (v3),xmarsex,0.140370,0.561317,0.704809,0.206482,0.292962,150
150,agents entretien (v3),homosex,0.607292,0.049557,1.128280,0.458399,0.406281,149
150,agents entretien (v3),marhomo,0.620793,0.226901,1.187486,0.427403,0.359922,150
150,agents entretien (v3),discaff,0.420330,0.059788,1.221885,0.408741,0.334517,150
150,agents entretien (v3),pornlaw,0.348013,0.094782,0.527910,0.150534,0.285151,148
150,agents entretien (v3),fair,0.121405,0.095814,0.639852,0.246507,0.385256,149
150,agents entretien (v3),helpful,0.163803,0.236964,0.933625,0.367728,0.393871,150
150,agents entretien (v3),trust,0.257340,0.053710,0.731665,0.272449,0.372368,150
150,agents entretien (v3),tax,0.126115,0.323957,1.068725,0.296908,0.277815,150
150,agents entretien (v3),news,0.450616,0.129481,0.734707,0.283711,0.386156,150
150,agents entretien (v3),attend,0.766455,0.024200,1.068022,0.367777,0.344354,150
150,agents entretien (v3),pray,0.757569,0.342245,0.867128,0.351332,0.405168,150
150,agents entretien (v3),bible,0.728043,0.339458,0.795698,0.302969,0.380759,147
150,agents entretien (v3),granborn,0.297804,0.246635,0.928284,0.382653,0.412216,150
150,agents entretien (v3),income,0.101920,0.130049,0.902191,0.238154,0.263973,143
150,agents entretien (v3),health,0.655136,0.263304,1.019670,0.266779,0.261632,150
150,agents entretien (v3),life,0.394432,0.485444,0.728182,0.201347,0.276506,149
150,agents enquete,natspac/y,0.087771,0.605203,0.997069,0.345974,0.346991,150
150,agents enquete,natenvir/y,0.449849,0.030240,1.016889,0.336268,0.330683,150
150,agents enquete,natheal/y,0.385120,0.069685,1.022559,0.293479,0.287004,150
150,agents enquete,natcity/y,0.393530,0.606479,1.122243,0.376253,0.335268,150
150,agents enquete,natdrug/y,0.205618,0.342026,0.900738,0.298467,0.331359,150
150,agents enquete,nateduc/y,0.334348,0.133416,0.905159,0.271379,0.299814,150
150,agents enquete,natrace/y,0.560805,0.295853,1.140843,0.411319,0.360540,150
150,agents enquete,natarms/y,0.364870,0.034724,0.838576,0.321994,0.383977,150
150,agents enquete,nataid/y,0.279742,0.737099,1.444434,0.431116,0.298467,150
150,agents enquete,natfare/y,0.406181,0.241770,1.291591,0.391764,0.303319,150
150,agents enquete,natroad,0.184365,0.317591,0.853541,0.250838,0.293879,150
150,agents enquete,natsoc,0.296891,0.510447,1.159477,0.318009,0.274269,150
150,agents enquete,natmass,0.385227,0.556723,0.927364,0.283179,0.305359,150
150,agents enquete,natpark,0.172104,0.291128,1.070868,0.306529,0.286243,150
150,agents enquete,natchld,0.513156,0.300944,0.956615,0.307276,0.321211,150
150,agents enquete,natsci,0.292489,0.611742,1.047404,0.325312,0.310589,150
150,agents enquete,natenrgy,0.478223,0.561080,0.832440,0.301673,0.362396,150
150,agents enquete,courts,0.377174,0.300438,1.135962,0.441119,0.388322,150
150,agents enquete,discaffw,0.334288,0.229995,0.494864,0.153005,0.309185,150
150,agents enquete,discaffm,0.459492,0.461327,0.831758,0.252416,0.303472,150
150,agents enquete,fehire,0.437055,0.211244,1.052832,0.317769,0.301823,149
150,agents enquete,fechld,0.332571,0.060475,1.089957,0.282241,0.258947,149
150,agents enquete,fepresch,0.375872,0.217420,0.966200,0.268425,0.277815,149
150,agents enquete,fefam,0.446628,0.109681,1.204828,0.368620,0.305953,149
150,agents enquete,mobile16,0.131555,0.855745,0.843073,0.340519,0.403902,149
150,agents enquete,incom16,0.365037,0.127762,0.949082,0.199423,0.210122,149
150,agents enquete,conarmy,0.253996,0.065247,0.871780,0.267225,0.306529,150
150,agents enquete,conbus,0.479774,0.115282,0.730110,0.232220,0.318062,150
150,agents enquete,conclerg,0.601379,0.239759,1.085468,0.377277,0.347571,150
150,agents enquete,coneduc,0.190302,0.139109,0.365085,0.122474,0.335469,150
150,agents enquete,confed,0.172296,0.156301,0.861479,0.293955,0.341221,150
150,agents enquete,confinan,0.399678,0.414612,0.881924,0.276524,0.313546,150
150,agents enquete,conjudge,0.225995,0.126198,0.428914,0.158608,0.369790,150
150,agents enquete,conlabor,0.191245,0.451327,0.732744,0.238118,0.324968,150
150,agents enquete,conlegis,0.489979,0.457746,0.701561,0.229896,0.327693,150
150,agents enquete,conmedic,0.333639,0.031056,0.774778,0.249474,0.321994,150
150,agents enquete,conpress,0.316680,0.346141,0.764400,0.250279,0.327420,150
150,agents enquete,consci,0.384687,0.330851,0.785003,0.254784,0.324564,149
150,agents enquete,contv,0.427170,0.324563,0.857281,0.257043,0.299835,149
150,agents enquete,happy,0.462235,0.265864,0.703675,0.229385,0.325982,150
150,agents enquete,class,0.451373,0.259812,0.815324,0.209209,0.256596,150
150,agents enquete,satfin,0.603811,0.116073,0.771513,0.291921,0.378375,148
150,agents enquete,finalter,0.483480,0.136615,0.826577,0.322688,0.390391,150
150,agents enquete,finrela,0.486573,0.074090,0.804769,0.199138,0.247448,150
150,agents enquete,wlthwhts,-0.015946,0.500690,0.606149,0.085313,0.140745,149
150,agents enquete,wlthblks,-0.021958,1.583454,0.619949,0.075532,0.121836,146
150,agents enquete,wlthhsps,0.216536,0.322841,0.865906,0.116226,0.134225,150
150,agents enquete,letin1a,0.472527,0.205529,0.935611,0.288307,0.308148,150
150,agents enquete,getahead,0.150001,0.264862,0.771615,0.233062,0.302044,150
150,agents enquete,aged,-0.053017,0.023696,0.900976,0.253477,0.281336,150
150,agents enquete,parsol,0.482150,0.097980,0.837969,0.256575,0.306186,150
150,agents enquete,spanking,0.387703,0.204473,0.798417,0.277672,0.347778,150
150,agents enquete,divlaw,0.221205,0.209038,1.037165,0.347313,0.334868,150
150,agents enquete,pillok,0.593826,0.081566,1.197594,0.391534,0.326933,150
150,agents enquete,xmarsex,0.257837,0.280659,0.850537,0.249175,0.292962,150
150,agents enquete,homosex,0.558990,0.108698,1.130370,0.462187,0.408881,150
150,agents enquete,marhomo,0.577194,0.310252,1.193036,0.429400,0.359922,150
150,agents enquete,discaff,0.498607,0.129540,1.210089,0.404795,0.334517,150
150,agents enquete,pornlaw,0.352009,0.035022,0.714009,0.203877,0.285539,150
150,agents enquete,fair,0.497969,0.060368,0.890408,0.344159,0.386518,150
150,agents enquete,helpful,0.452599,0.186186,1.070080,0.421473,0.393871,150
150,agents enquete,trust,0.435407,0.411779,1.121672,0.417674,0.372368,150
150,agents enquete,tax,0.131390,0.239968,0.992727,0.275795,0.277815,150
150,agents enquete,news,0.079274,0.492029,0.593769,0.229287,0.386156,150
150,agents enquete,attend,0.689540,0.130680,0.820626,0.282586,0.344354,150
150,agents enquete,pray,0.666268,0.500204,0.746399,0.302417,0.405168,150
150,agents enquete,bible,0.705975,0.406205,0.809544,0.307636,0.380011,149
150,agents enquete,granborn,0.105379,0.299196,1.110064,0.457586,0.412216,150
150,agents enquete,income,0.264290,0.176787,0.687136,0.182682,0.265861,147
150,agents enquete,health,0.484804,0.059456,0.555183,0.145254,0.261632,150
150,agents enquete,life,0.417184,0.350788,1.125061,0.316360,0.281194,147
150,agents demographiques (v6),natspac/y,0.010628,0.720480,0.996510,0.345780,0.346991,150
150,agents demographiques (v6),natenvir/y,0.095999,0.221763,0.990957,0.327693,0.330683,150
150,agents demographiques (v6),natheal/y,0.117621,0.441341,0.568024,0.163025,0.287004,150
150,agents demographiques (v6),natcity/y,0.073567,0.407634,1.160603,0.389114,0.335268,150
150,agents demographiques (v6),natdrug/y,0.031030,0.687760,0.378354,0.125532,0.331784,149
150,agents demographiques (v6),nateduc/y,-0.038628,0.603219,0.269934,0.081089,0.300402,149
150,agents demographiques (v6),natrace/y,0.220811,0.652377,0.732616,0.263791,0.360067,149
150,agents demographiques (v6),natarms/y,0.180907,0.601197,0.609213,0.234631,0.385138,149
150,agents demographiques (v6),nataid/y,0.141709,0.580745,0.333166,0.099439,0.298467,150
150,agents demographiques (v6),natfare/y,0.064057,0.274739,0.854098,0.259064,0.303319,150
150,agents demographiques (v6),natroad,-0.124934,0.442359,0.862523,0.253477,0.293879,150
150,agents demographiques (v6),natsoc,0.024227,0.060767,0.920643,0.252504,0.274269,150
150,agents demographiques (v6),natmass,-0.026356,0.775045,0.600803,0.183460,0.305359,150
150,agents demographiques (v6),natpark,0.135978,0.477450,0.943742,0.270140,0.286243,150
150,agents demographiques (v6),natchld,0.042183,0.456605,0.688778,0.221243,0.321211,150
150,agents demographiques (v6),natsci,0.081698,0.772726,0.854433,0.265377,0.310589,150
150,agents demographiques (v6),natenrgy,0.148570,0.542684,0.669585,0.242655,0.362396,150
150,agents demographiques (v6),courts,0.070392,0.214598,0.796662,0.309362,0.388322,150
150,agents demographiques (v6),discaffw,0.133613,0.373743,0.311764,0.096393,0.309185,150
150,agents demographiques (v6),discaffm,0.021614,0.036613,0.374634,0.113691,0.303472,150
150,agents demographiques (v6),fehire,0.155407,0.360078,0.656811,0.197609,0.300861,150
150,agents demographiques (v6),fechld,0.277192,0.034439,0.718830,0.185532,0.258103,150
150,agents demographiques (v6),fepresch,0.316070,0.135986,0.655433,0.182083,0.277806,150
150,agents demographiques (v6),fefam,0.119041,0.123489,0.883552,0.270296,0.305920,150
150,agents demographiques (v6),mobile16,0.087806,1.146533,0.610198,0.246461,0.403902,149
150,agents demographiques (v6),incom16,0.181784,0.031828,0.724053,0.151659,0.209459,150
150,agents demographiques (v6),conarmy,0.144561,0.467602,0.518813,0.159031,0.306529,150
150,agents demographiques (v6),conbus,0.094003,0.031440,0.524605,0.166857,0.318062,150
150,agents demographiques (v6),conclerg,0.482962,0.047952,0.977762,0.339841,0.347571,150
150,agents demographiques (v6),coneduc,-0.014940,0.171079,0.122840,0.040962,0.333454,149
150,agents demographiques (v6),confed,0.056471,0.068936,0.624157,0.212683,0.340752,149
150,agents demographiques (v6),confinan,0.085254,0.181355,0.682705,0.214752,0.314560,149
150,agents demographiques (v6),conjudge,-0.029966,0.091125,0.267819,0.098626,0.368254,149
150,agents demographiques (v6),conlabor,0.005733,0.082059,0.277115,0.090053,0.324968,150
150,agents demographiques (v6),conlegis,-0.125648,0.518779,0.671519,0.220052,0.327693,150
150,agents demographiques (v6),conmedic,0.135029,0.579721,0.218124,0.070235,0.321994,150
150,agents demographiques (v6),conpress,0.054742,0.111987,0.648052,0.212185,0.327420,150
150,agents demographiques (v6),consci,0.161977,0.051451,0.754194,0.244309,0.323933,150
150,agents demographiques (v6),contv,-0.105344,0.312004,0.593296,0.177479,0.299141,150
150,agents demographiques (v6),happy,-0.087941,0.071579,0.215455,0.070235,0.325982,150
150,agents demographiques (v6),class,0.323374,0.000000,0.941256,0.241509,0.256582,149
150,agents demographiques (v6),satfin,0.209068,0.124163,0.520770,0.195732,0.375851,150
150,agents demographiques (v6),finalter,0.142566,0.017077,0.599755,0.234139,0.390391,150
150,agents demographiques (v6),finrela,0.222189,0.510037,0.920127,0.227018,0.246725,149
150,agents demographiques (v6),wlthwhts,0.025148,0.770904,0.505722,0.071178,0.140745,149
150,agents demographiques (v6),wlthblks,0.178145,1.665414,0.314112,0.038540,0.122695,146
150,agents demographiques (v6),wlthhsps,0.094257,0.374651,0.923221,0.124038,0.134353,149
150,agents demographiques (v6),letin1a,0.218428,0.222577,0.410085,0.126745,0.309070,149
150,agents demographiques (v6),getahead,0.173987,0.566513,0.415537,0.125532,0.302095,149
150,agents demographiques (v6),aged,0.027452,0.095147,0.653627,0.184419,0.282148,149
150,agents demographiques (v6),parsol,0.183813,0.364702,0.662087,0.202722,0.306186,150
150,agents demographiques (v6),spanking,0.195057,0.038339,0.525756,0.182846,0.347778,150
150,agents demographiques (v6),divlaw,0.045182,0.319660,0.720408,0.242004,0.335927,149
150,agents demographiques (v6),pillok,0.332993,0.176726,0.667658,0.218280,0.326933,150
150,agents demographiques (v6),xmarsex,-0.058206,0.591659,0.565251,0.165597,0.292962,150
150,agents demographiques (v6),homosex,0.316551,0.027174,1.121059,0.458380,0.408881,150
150,agents demographiques (v6),marhomo,0.279906,0.268576,1.066195,0.383748,0.359922,150
150,agents demographiques (v6),discaff,0.179341,0.149469,0.860583,0.287880,0.334517,150
150,agents demographiques (v6),pornlaw,0.144886,0.011674,0.670406,0.191427,0.285539,150
150,agents demographiques (v6),fair,0.041895,0.284592,0.450367,0.174075,0.386518,150
150,agents demographiques (v6),helpful,0.011929,0.076167,0.906630,0.357095,0.393871,150
150,agents demographiques (v6),trust,0.004203,0.214841,0.921403,0.343101,0.372368,150
150,agents demographiques (v6),tax,-0.138434,0.203973,0.816585,0.226860,0.277815,150
150,agents demographiques (v6),news,0.150765,0.215802,0.581386,0.224505,0.386156,150
150,agents demographiques (v6),attend,0.423998,0.021780,0.966643,0.332867,0.344354,150
150,agents demographiques (v6),pray,0.584994,0.437679,0.778254,0.315324,0.405168,150
150,agents demographiques (v6),bible,0.601793,0.572048,0.660793,0.250279,0.378756,150
150,agents demographiques (v6),granborn,0.175022,0.065505,1.053240,0.431643,0.409823,149
150,agents demographiques (v6),income,1.000000,0.000000,1.000000,0.265116,0.265116,148
150,agents demographiques (v6),health,0.002985,0.289865,0.269695,0.070770,0.262407,149
150,agents demographiques (v6),life,-0.038109,0.451736,0.145595,0.040825,0.280400,150
150,agents v7,natspac/y,0.025240,0.403469,1.148408,0.398487,0.346991,150
150,agents v7,natenvir/y,0.042237,0.372965,0.707179,0.233852,0.330683,150
150,agents v7,natheal/y,0.062848,0.406498,0.700062,0.200921,0.287004,150
150,agents v7,natcity/y,0.076868,0.228672,1.134063,0.380215,0.335268,150
150,agents v7,natdrug/y,0.156054,0.583456,0.646286,0.214153,0.331359,150
150,agents v7,nateduc/y,0.161507,0.455839,0.627180,0.188037,0.299814,150
150,agents v7,natrace/y,0.191551,0.906049,0.636565,0.229507,0.360540,150
150,agents v7,natarms/y,0.194489,0.651080,0.606967,0.233062,0.383977,150
150,agents v7,nataid/y,0.010709,0.697331,1.439031,0.429345,0.298357,149
150,agents v7,natfare/y,0.083710,0.067839,0.980899,0.291126,0.296795,149
150,agents v7,natroad,-0.051750,0.148288,0.903665,0.265846,0.294186,149
150,agents v7,natsoc,0.075630,0.134742,1.024621,0.280697,0.273952,149
150,agents v7,natmass,0.147099,0.665884,0.854661,0.260978,0.305359,150
150,agents v7,natpark,0.177496,0.908319,0.880661,0.252083,0.286243,150
150,agents v7,natchld,0.193529,0.415095,0.820118,0.263431,0.321211,150
150,agents v7,natsci,0.163400,0.804923,0.904085,0.280799,0.310589,150
150,agents v7,natenrgy,0.180761,0.597872,0.700177,0.253742,0.362396,150
150,agents v7,courts,0.197410,0.515036,0.827043,0.321159,0.388322,150
150,agents v7,discaffw,0.184538,0.388117,0.260112,0.080423,0.309185,150
150,agents v7,discaffm,0.145566,0.029291,0.383816,0.116477,0.303472,150
150,agents v7,fehire,0.218446,0.537347,0.642353,0.193259,0.300861,150
150,agents v7,fechld,0.272131,0.421882,0.814468,0.210216,0.258103,150
150,agents v7,fepresch,0.207291,0.359963,0.712868,0.198039,0.277806,150
150,agents v7,fefam,0.183331,0.450372,0.769298,0.235343,0.305920,150
150,agents v7,mobile16,0.241627,0.471958,0.934607,0.376253,0.402578,150
150,agents v7,incom16,0.111632,0.342151,0.469342,0.098308,0.209459,150
150,agents v7,conarmy,0.136792,0.532849,0.600496,0.184069,0.306529,150
150,agents v7,conbus,0.078121,0.000000,0.486891,0.154862,0.318062,150
150,agents v7,conclerg,0.282044,0.421977,0.669715,0.232773,0.347571,150
150,agents v7,coneduc,0.053043,0.188791,0.344782,0.115664,0.335469,150
150,agents v7,confed,0.066037,0.166070,0.677940,0.231327,0.341221,150
150,agents v7,confinan,0.116865,0.106311,0.631862,0.198118,0.313546,150
150,agents v7,conjudge,0.154746,0.000000,0.436101,0.161266,0.369790,150
150,agents v7,conlabor,0.181935,0.030772,0.436644,0.141895,0.324968,150
150,agents v7,conlegis,0.170369,0.467918,0.697017,0.228408,0.327693,150
150,agents v7,conmedic,-0.034127,0.393382,0.597492,0.192389,0.321994,150
150,agents v7,conpress,-0.063235,0.152709,0.620413,0.203135,0.327420,150
150,agents v7,consci,0.089862,0.195513,0.811389,0.262836,0.323933,150
150,agents v7,contv,0.127445,0.122573,0.735612,0.220052,0.299141,150
150,agents v7,happy,0.295698,0.265864,0.644327,0.210039,0.325982,150
150,agents v7,class,0.268136,0.744794,0.582904,0.149571,0.256596,150
150,agents v7,satfin,0.348451,0.212850,0.509705,0.191573,0.375851,150
150,agents v7,finalter,0.119807,0.187846,0.603415,0.235568,0.390391,150
150,agents v7,finrela,0.271481,0.397390,0.540682,0.133790,0.247448,150
150,agents v7,wlthwhts,-0.037745,0.739114,0.574480,0.080855,0.140745,149
150,agents v7,wlthblks,-0.065964,1.657053,0.413922,0.050634,0.122327,148
150,agents v7,wlthhsps,-0.012826,0.016620,0.894381,0.120389,0.134606,149
150,agents v7,letin1a,0.255889,0.575444,0.627283,0.193874,0.309070,149
150,agents v7,getahead,0.138817,0.532330,0.554820,0.167879,0.302583,149
150,agents v7,aged,0.033194,0.011967,0.868685,0.243592,0.280415,149
150,agents v7,parsol,0.221867,0.666271,0.521164,0.158804,0.304711,149
150,agents v7,spanking,0.436010,0.320716,0.658169,0.229551,0.348772,149
150,agents v7,divlaw,0.216015,0.080320,0.799584,0.267249,0.334235,149
150,agents v7,pillok,0.268680,0.170505,0.640709,0.210163,0.328016,149
150,agents v7,xmarsex,0.113836,0.485464,0.711354,0.208399,0.292962,150
150,agents v7,homosex,0.281228,0.331528,0.899612,0.367834,0.408881,150
150,agents v7,marhomo,0.338505,0.148180,0.852931,0.306989,0.359922,150
150,agents v7,discaff,0.114275,0.438443,0.776762,0.259840,0.334517,150
