condition,etiquette,n,segmentation,exactitude_vraie,chute,chute_relative,part_du_plancher_humain,rapport_de_reassignation,lecture,p_holm_contre_B0_tirage,i3b_A_deficit_patrons,i3b_B_exces_correlation,i3b_tau_etoile_holm39_2058,masque_douteux
JSON Persona (Predicted Output) - GPT4.1-mini,JSON PredOut mini,2058,S_fin,0.4624762830302189,0.12704119666574115,0.2746977549493929,0.6082355360602522,1.1073747570831949,porteur de personne,,-0.205798883143446,0.0176177736529037,0.04215,True
JSON Persona (Predicted Output) - GPT4.1-mini,JSON PredOut mini,2058,S_gra,0.4624762830302189,0.13354602104447227,0.2887629613554608,0.6328878524080486,1.1039407336380265,porteur de personne,0.08,-0.205798883143446,0.0176177736529037,0.04215,True
JSON Persona (Predicted Output) - GPT4.1-mini,JSON PredOut mini,2058,S_parti,0.4624762830302189,0.1305778697533435,0.282345007829972,0.6113139051442403,1.210908859742551,porteur de personne,,-0.205798883143446,0.0176177736529037,0.04215,True
JSON Persona - GPT4.1,JSON Persona 4.1,2058,S_ideo,0.5738199361377204,0.17738916655097414,0.3091373362608294,0.6766236862754886,1.078826059932915,porteur de personne,,-0.2425770028850766,0.0357717578721308,0.0725,False
JSON Persona - GPT4.1,JSON Persona 4.1,2058,S_fin,0.5738199361377204,0.17774550534499511,0.309758330359465,0.6858666324012279,1.0355010952666364,porteur de personne,,-0.2425770028850766,0.0357717578721308,0.0725,False
JSON Persona - GPT4.1,JSON Persona 4.1,2058,S_gra,0.5738199361377204,0.18528117190753857,0.3228907889722917,0.7076865295873568,1.0332679076031863,porteur de personne,0.08,-0.2425770028850766,0.0357717578721308,0.0725,False
JSON Persona - GPT4.1,JSON Persona 4.1,2058,S_parti,0.5738199361377204,0.18197672266185388,0.31713210225268007,0.6866325187213338,1.0858030279719297,porteur de personne,,-0.2425770028850766,0.0357717578721308,0.0725,False
JSON Persona - GPT4.1-mini,JSON Persona mini,1000,S_ideo,0.5438595238095238,0.1602425446428572,0.2946395854584299,0.6474648380871235,1.0961823218318871,porteur de personne,,-0.1991946288631242,0.0704482600700101,0.0877,False
JSON Persona - GPT4.1-mini,JSON Persona mini,1000,S_fin,0.5438595238095238,0.15750026190476185,0.2895973224878622,0.6516567590787439,1.0417799758760797,porteur de personne,,-0.1991946288631242,0.0704482600700101,0.0877,False
JSON Persona - GPT4.1-mini,JSON Persona mini,1000,S_gra,0.5438595238095238,0.1638797380952381,0.3013273297989239,0.6754925865815253,1.0452323362743867,porteur de personne,0.08,-0.1991946288631242,0.0704482600700101,0.0877,False
JSON Persona - GPT4.1-mini,JSON Persona mini,1000,S_parti,0.5438595238095238,0.16379301190476192,0.30116786547646673,0.6553073913311644,1.1080995591634115,porteur de personne,,-0.1991946288631242,0.0704482600700101,0.0877,False
LLM Finetuning (500 training samples) - GPT4.1-mini,Finetuning 500,1558,S_ideo,0.4619284491717097,0.08814801867473554,0.19082613082782618,0.4172062868867455,1.7565290111937684,porteur de personne,,-0.7926087671663921,0.2458990077230698,0.0043,False
LLM Finetuning (500 training samples) - GPT4.1-mini,Finetuning 500,1558,S_fin,0.4619284491717097,0.08831301577113504,0.19118332271911445,0.4235001203652312,1.5967968889314594,porteur de personne,,-0.7926087671663921,0.2458990077230698,0.0043,False
LLM Finetuning (500 training samples) - GPT4.1-mini,Finetuning 500,1558,S_gra,0.4619284491717097,0.08805212917965638,0.1906185456590601,0.4195704928233682,1.5966499173222681,porteur de personne,0.08,-0.7926087671663921,0.2458990077230698,0.0043,False
LLM Finetuning (500 training samples) - GPT4.1-mini,Finetuning 500,1558,S_parti,0.4619284491717097,0.08966252521547774,0.19410479128586441,0.41951207084995806,1.774156887228346,porteur de personne,,-0.7926087671663921,0.2458990077230698,0.0043,False
Persona Summary - GPT4.1-mini,Persona Summary,2058,S_ideo,0.5209010134666111,0.1437898734323661,0.2760406866468552,0.6041834649290742,1.215482465211447,porteur de personne,,-0.1903448540044625,0.0389485198487103,0.0305,False
Persona Summary - GPT4.1-mini,Persona Summary,2058,S_fin,0.5209010134666111,0.14221021333703548,0.27300813333155655,0.6044943773068687,1.120591857424967,porteur de personne,,-0.1903448540044625,0.0389485198487103,0.0305,False
Persona Summary - GPT4.1-mini,Persona Summary,2058,S_gra,0.5209010134666111,0.14725581933453652,0.28269443815158823,0.6195873425373954,1.11970802841669,porteur de personne,0.08,-0.1903448540044625,0.0389485198487103,0.0305,False
Persona Summary - GPT4.1-mini,Persona Summary,2058,S_parti,0.5209010134666111,0.14558020240409086,0.27947767165060877,0.6051057469386472,1.2292092590495651,porteur de personne,,-0.1903448540044625,0.0389485198487103,0.0305,False
Persona Summary - JSON Persona - GPT4.1-mini,Summary + JSON,2058,S_ideo,0.4741727983710491,0.11005402696792999,0.2320968797577685,0.5080015512013031,1.4297681139412572,porteur de personne,,-0.2264784328152304,0.0580541261445431,0.0198,False
Persona Summary - JSON Persona - GPT4.1-mini,Summary + JSON,2058,S_fin,0.4741727983710491,0.10893677113702627,0.22974065891435047,0.5086915721438965,1.2884752604161473,porteur de personne,,-0.2264784328152304,0.0580541261445431,0.0198,False
Persona Summary - JSON Persona - GPT4.1-mini,Summary + JSON,2058,S_gra,0.4741727983710491,0.1153507089060114,0.24326724203134764,0.533173928012624,1.2545795465746277,porteur de personne,0.08,-0.2264784328152304,0.0580541261445431,0.0198,False
Persona Summary - JSON Persona - GPT4.1-mini,Summary + JSON,2058,S_parti,0.4741727983710491,0.1126965645101578,0.2376698218398657,0.5145862788243745,1.4412131445612286,porteur de personne,,-0.2264784328152304,0.0580541261445431,0.0198,False
Text Persona (Default Temperature) - GPT4.1-mini,Text temp. defaut,2058,S_ideo,0.5477558540422972,0.14493447174788276,0.2645968467124608,0.579135784648154,1.1512964699579076,porteur de personne,,-0.0919060867131963,0.0185944806310008,0.10245,False
Text Persona (Default Temperature) - GPT4.1-mini,Text temp. defaut,2058,S_fin,0.5477558540422972,0.14481497148179,0.26437868333691517,0.5853870564466643,1.0647028297951178,porteur de personne,,-0.0919060867131963,0.0185944806310008,0.10245,False
Text Persona (Default Temperature) - GPT4.1-mini,Text temp. defaut,2058,S_gra,0.5477558540422972,0.15333425308899074,0.2799317468858131,0.6135322940164373,1.0628233356967296,porteur de personne,0.08,-0.0919060867131963,0.0185944806310008,0.10245,False
Text Persona (Default Temperature) - GPT4.1-mini,Text temp. defaut,2058,S_parti,0.5477558540422972,0.14913171161321676,0.27225945740727936,0.5894773681294325,1.1633838665864638,porteur de personne,,-0.0919060867131963,0.0185944806310008,0.10245,False
Text Persona (Reasoning) - GPT4.1-mini,Text raisonnement,2058,S_ideo,0.5435061779813966,0.1540533400435003,0.28344358589567553,0.6203865448916854,1.1590334216510232,porteur de personne,,-0.0918125678746178,0.021458141999976,0.0936,False
Text Persona (Reasoning) - GPT4.1-mini,Text raisonnement,2058,S_fin,0.5435061779813966,0.15403373594335684,0.28340751620422094,0.6275206820446564,1.0754352917141725,porteur de personne,,-0.0918125678746178,0.021458141999976,0.0936,False
Text Persona (Reasoning) - GPT4.1-mini,Text raisonnement,2058,S_gra,0.5435061779813966,0.16253305914202404,0.29904546760752243,0.6554242375063742,1.075251830654557,porteur de personne,0.08,-0.0918125678746178,0.021458141999976,0.0936,False
Text Persona (Reasoning) - GPT4.1-mini,Text raisonnement,2058,S_parti,0.5435061779813966,0.15846500445416256,0.29156063145907163,0.6312669367644664,1.170633069824941,porteur de personne,,-0.0918125678746178,0.021458141999976,0.0936,False
Text Persona (Repeating Questions) - GPT4.1-mini,Text repetition,2058,S_ideo,0.5488601392938127,0.1515359861631727,0.2760921686864444,0.6042961461335677,1.135268953142252,porteur de personne,,-0.1283872804648198,0.0246392825794488,0.12885,False
Text Persona (Repeating Questions) - GPT4.1-mini,Text repetition,2058,S_fin,0.5488601392938127,0.15104262691471143,0.2751932889662008,0.6093327470600464,1.0579850493130474,porteur de personne,,-0.1283872804648198,0.0246392825794488,0.12885,False
Text Persona (Repeating Questions) - GPT4.1-mini,Text repetition,2058,S_gra,0.5488601392938127,0.15940546329075844,0.2904300237504156,0.6365415881019224,1.0568269358670987,porteur de personne,0.08,-0.1283872804648198,0.0246392825794488,0.12885,False
Text Persona (Repeating Questions) - GPT4.1-mini,Text repetition,2058,S_parti,0.5488601392938127,0.15565431359618664,0.2835955873867216,0.6140215736042066,1.145007450775594,porteur de personne,,-0.1283872804648198,0.0246392825794488,0.12885,False
Text Persona - GPT4.1-mini,Text Persona mini,2058,S_ideo,0.5529706950807534,0.14897445653431446,0.2694075072324744,0.589665107614582,1.11988656032732,porteur de personne,,-0.1563232670867045,0.0249836328236306,0.06125,False
Text Persona - GPT4.1-mini,Text Persona mini,2058,S_fin,0.5529706950807534,0.148739532717849,0.26898266769114726,0.5955811946995425,1.0472039317384687,porteur de personne,,-0.1563232670867045,0.0249836328236306,0.06125,False
Text Persona - GPT4.1-mini,Text Persona mini,2058,S_gra,0.5529706950807534,0.15730583321764074,0.2844740862708258,0.6234878347298128,1.0495317065958711,porteur de personne,0.08,-0.1563232670867045,0.0249836328236306,0.06125,False
Text Persona - GPT4.1-mini,Text Persona mini,2058,S_parti,0.5529706950807534,0.15312665440325784,0.27691640039061366,0.5995602593519702,1.1296649040162758,porteur de personne,,-0.1563232670867045,0.0249836328236306,0.06125,False
Text Persona - Gemini-Flash2.5,Text Persona Gemini,2058,S_ideo,0.550473182470267,0.16498955874866955,0.2997231545563643,0.6560184161221352,1.1051290973745769,porteur de personne,,-0.0841728542378558,0.018597010327622,0.08435,False
Text Persona - Gemini-Flash2.5,Text Persona Gemini,2058,S_fin,0.550473182470267,0.16362967542459156,0.29725276477647444,0.6581768196923173,1.048741489870648,porteur de personne,,-0.0841728542378558,0.018597010327622,0.08435,False
Text Persona - Gemini-Flash2.5,Text Persona Gemini,2058,S_gra,0.550473182470267,0.17522030027997593,0.31830851322069664,0.6976434594998515,1.0435952986686428,porteur de personne,0.08,-0.0841728542378558,0.018597010327622,0.08435,False
Text Persona - Gemini-Flash2.5,Text Persona Gemini,2058,S_parti,0.550473182470267,0.16984241953584156,0.30853895329408776,0.6680272262540179,1.1166547510581528,porteur de personne,,-0.0841728542378558,0.018597010327622,0.08435,False
B0 mode,B0 mode,2058,S_ideo,0.5215569901429961,-0.00026510799898182835,-0.0005083011137654263,-0.0011125429800679764,-16.923946781299044,temoin ou reference,,,,,False
B0 mode,B0 mode,2058,S_fin,0.5215569901429961,-0.00026847465176538243,-0.0005147561183903879,-0.0011397725608174438,-16.525734323748445,temoin ou reference,,,,,False
B0 mode,B0 mode,2058,S_gra,0.5215569901429961,-0.0002506782474893665,-0.00048063443157120317,-0.0010534165869562947,-17.424925674385815,temoin ou reference,,,,,False
B0 mode,B0 mode,2058,S_parti,0.5215569901429961,-0.00026927726873060553,-0.000516295004802404,-0.0011178462761498055,-16.581980859497307,temoin ou reference,,,,,False
B0 tirage,B0 tirage,2058,S_ideo,0.44304485399602017,-0.00043136251099085143,-0.0009736316923674873,-0.002131034292824777,-329.84798948641276,temoin ou reference,,,,,False
B0 tirage,B0 tirage,2058,S_fin,0.44304485399602017,-0.00041096302466570034,-0.0009275878524692039,-0.002053864236325937,-280.610691965507,temoin ou reference,,,,,False
B0 tirage,B0 tirage,2058,S_gra,0.44304485399602017,-0.00028272652598460013,-0.0006381442498080337,-0.0013986341665557034,-405.44941834708294,temoin ou reference,,,,,False
B0 tirage,B0 tirage,2058,S_parti,0.44304485399602017,-0.0002208454810495586,-0.0004984720600130081,-0.001079257267390221,-669.2878621195568,temoin ou reference,,,,,False
B1 argmax,B1 argmax,2058,S_ideo,0.5183115252903883,0.019692055393585983,0.037992702135175076,0.0831564458735555,7.311899547765198,gabarit de groupe,,,,,False
B1 argmax,B1 argmax,2058,S_fin,0.5183115252903883,0.01624761817992504,0.03134720604721683,0.06940895704674649,7.374133480515804,gabarit de groupe,,,,,False
B1 argmax,B1 argmax,2058,S_gra,0.5183115252903883,0.023989440163820597,0.04628382544721597,0.10144123315198697,5.112841678919348,gabarit de groupe,0.08,,,,False
B1 argmax,B1 argmax,2058,S_parti,0.5183115252903883,0.02675168332639183,0.051613136156684884,0.1117491967121477,5.77105455435552,gabarit de groupe,,,,,False
B2 argmax,B2 argmax,2058,S_ideo,0.530454035355639,0.028235143632282966,0.0532282568335123,0.11650323376766789,4.636726262087316,gabarit de groupe,,,,,False
B2 argmax,B2 argmax,2058,S_fin,0.530454035355639,0.027419197440881282,0.05169005345109362,0.11445207251730578,3.96992950333557,gabarit de groupe,,,,,False
B2 argmax,B2 argmax,2058,S_gra,0.530454035355639,0.028171935015502858,0.053109097372810436,0.11640032510344073,3.824825663661442,gabarit de groupe,0.08,,,,False
B2 argmax,B2 argmax,2058,S_parti,0.530454035355639,0.029711378939330957,0.05601122238501058,0.12127162917186367,4.5681858735690195,gabarit de groupe,,,,,False
PMM k=10,PMM k=10,2058,S_ideo,0.4909913114905826,0.027305637986487108,0.055613281431785254,0.12172345127701323,5.716886949944342,gabarit de groupe,,,,,False
PMM k=10,PMM k=10,2058,S_fin,0.4909913114905826,0.025656783631820057,0.05225506649787664,0.1157031239263514,4.969211376040106,gabarit de groupe,,,,,False
PMM k=10,PMM k=10,2058,S_gra,0.4909913114905826,0.030537707089638544,0.06219602338161592,0.13631633185066475,4.205815430482439,gabarit de groupe,0.08,,,,False
PMM k=10,PMM k=10,2058,S_parti,0.4909913114905826,0.03062827265259843,0.06238047789402867,0.13506190117987468,5.303972934050074,gabarit de groupe,,,,,False
