condition,axe_transport,lambda,jeu_items,mesure,inter_brut,inter_nulA,inter_nulB,ratio_intra_brut,ratio_intra_corrige,ratio_total
agents enquete,profil croise,0.3,70 items ordinaux,gini_simpson,0.1614,0.1608,0.3701,0.9123,0.9027,0.8791
agents enquete,profil croise,0.3,70 items ordinaux,variance_ordinale,0.2340,0.2316,0.3288,0.9532,0.9432,0.8849
agents enquete,profil croise,0.2,149 items,entropie,0.0163,-0.0591,0.1858,0.9107,0.8978,0.8608
agents enquete,profil croise,0.2,149 items,gini_simpson,0.0331,0.0347,0.2133,0.9316,0.9212,0.8829
agents enquete,profil croise,0.2,70 items ordinaux,entropie,0.0121,-0.0684,0.2083,0.9044,0.8915,0.8597
agents enquete,profil croise,0.2,70 items ordinaux,gini_simpson,0.0208,0.0230,0.2414,0.9191,0.9089,0.8794
agents enquete,profil croise,0.2,70 items ordinaux,variance_ordinale,0.1157,0.1151,0.2160,0.9664,0.9558,0.8856
agents enquete,profil croise,0.1,149 items,entropie,-0.0448,-0.1260,0.1302,0.9147,0.9014,0.8613
agents enquete,profil croise,0.1,149 items,gini_simpson,-0.0354,-0.0355,0.1507,0.9364,0.9257,0.8837
agents enquete,profil croise,0.1,70 items ordinaux,entropie,-0.0578,-0.1463,0.1432,0.9083,0.8949,0.8599
agents enquete,profil croise,0.1,70 items ordinaux,gini_simpson,-0.0630,-0.0612,0.1647,0.9235,0.9130,0.8799
agents enquete,profil croise,0.1,70 items ordinaux,variance_ordinale,0.0449,0.0443,0.1485,0.9747,0.9637,0.8863
agents enquete,profil croise,0.0,149 items,entropie,-0.0676,-0.1470,0.1099,0.9165,0.9029,0.8616
agents enquete,profil croise,0.0,149 items,gini_simpson,-0.0593,-0.0576,0.1290,0.9382,0.9274,0.8842
agents enquete,profil croise,0.0,70 items ordinaux,entropie,-0.0855,-0.1717,0.1183,0.9099,0.8962,0.8600
agents enquete,profil croise,0.0,70 items ordinaux,gini_simpson,-0.0927,-0.0903,0.1376,0.9250,0.9143,0.8800
agents enquete,profil croise,0.0,70 items ordinaux,variance_ordinale,0.0210,0.0222,0.1257,0.9773,0.9661,0.8864
agents entretien (v3),political_ideology,1.0,149 items,entropie,2.7840,2.7881,2.7881,0.7714,0.7720,0.8649
agents entretien (v3),political_ideology,1.0,149 items,gini_simpson,2.8263,2.8215,2.8215,0.7641,0.7642,0.8669
agents entretien (v3),political_ideology,1.0,70 items ordinaux,entropie,3.1560,3.1641,3.1641,0.7849,0.7854,0.8898
agents entretien (v3),political_ideology,1.0,70 items ordinaux,gini_simpson,3.3583,3.3542,3.3542,0.7883,0.7883,0.9004
agents entretien (v3),political_ideology,1.0,70 items ordinaux,variance_ordinale,3.2189,3.2180,3.2180,0.7307,0.7307,0.9513
agents entretien (v3),political_ideology,0.9,149 items,entropie,2.1616,2.1599,2.1788,0.8016,0.8013,0.8647
agents entretien (v3),political_ideology,0.9,149 items,gini_simpson,2.2699,2.2657,2.2823,0.7933,0.7925,0.8669
agents entretien (v3),political_ideology,0.9,70 items ordinaux,entropie,2.4486,2.4515,2.4719,0.8175,0.8169,0.8896
agents entretien (v3),political_ideology,0.9,70 items ordinaux,gini_simpson,2.6968,2.6937,2.7130,0.8184,0.8175,0.9003
agents entretien (v3),political_ideology,0.9,70 items ordinaux,variance_ordinale,2.5971,2.5965,2.6064,0.7906,0.7896,0.9508
