perimetre,axe,condition,mesure_x,rho_spearman,ic_items_bas,ic_items_haut,n_items,p_permutation,ratio_intra_median,ratio_intra_moyen,p_holm,p_bh
1052,race,B0 tirage,part expliquee Gini Simpson,0.315231,0.146720,0.466917,143,0.000100,1.006200,1.004726,,
1052,race,B0 tirage,information mutuelle normalisee,0.294630,0.128206,0.453348,143,0.000300,1.006200,1.004726,,
1052,race,B1 argmax,part expliquee Gini Simpson,-0.000620,-0.174778,0.170185,143,0.993601,0.772618,0.671669,,
1052,race,B1 argmax,information mutuelle normalisee,0.007169,-0.180433,0.185944,143,0.929707,0.772618,0.671669,,
1052,race,B2 argmax,part expliquee Gini Simpson,-0.073436,-0.247947,0.103164,143,0.381562,0.629396,0.548941,,
1052,race,B2 argmax,information mutuelle normalisee,-0.091647,-0.275822,0.090059,143,0.282072,0.629396,0.548941,,
1052,race,B3 foret,part expliquee Gini Simpson,0.028234,-0.139179,0.208297,143,0.735126,0.489211,0.442285,,
1052,race,B3 foret,information mutuelle normalisee,0.029429,-0.145753,0.204931,143,0.729027,0.489211,0.442285,,
1052,race,agents composite,part expliquee Gini Simpson,-0.041942,-0.206318,0.122790,143,0.616038,0.950168,0.927276,,
1052,race,agents composite,information mutuelle normalisee,-0.048791,-0.223540,0.124160,143,0.563844,0.950168,0.927276,,
1052,race,agents demographiques (v6),part expliquee Gini Simpson,0.158774,-0.004765,0.324062,143,0.060594,0.647585,0.594476,,
1052,race,agents demographiques (v6),information mutuelle normalisee,0.177554,0.011273,0.339918,143,0.036096,0.647585,0.594476,,
1052,race,agents enquete,part expliquee Gini Simpson,-0.020671,-0.194394,0.149119,143,0.809719,0.902966,0.876382,,
1052,race,agents enquete,information mutuelle normalisee,-0.042611,-0.218826,0.135066,143,0.607339,0.902966,0.876382,,
1052,race,agents entretien (v3),part expliquee Gini Simpson,0.004999,-0.171248,0.180430,143,0.953305,0.940556,0.848006,,
1052,race,agents entretien (v3),information mutuelle normalisee,0.004079,-0.174021,0.184503,143,0.962604,0.940556,0.848006,,
1052,race,agents v7,part expliquee Gini Simpson,0.105689,-0.055844,0.264440,143,0.205279,0.597540,0.588337,,
1052,race,agents v7,information mutuelle normalisee,0.120010,-0.037109,0.292223,143,0.149885,0.597540,0.588337,,
