bloc,mecanisme,epsilon,rho_zcdp,sigma_bruit,reference,stat,replicat,graine,n,grandeur,erreur_distribution,erreur_groupes,erreur_correlations,moyenne_trois,valeur,bas,haut
risque,gaussien zCDP (delta=1e-6),"eps=infini (temoin, aucun bruit)",inf,0.0,pool des 2058 humains vague 4,valeur,0,"[20260913, crc32(eps=infini (temoin, aucun bruit)), 0]",2058,"top-1 monde ferme du jeu synthetique DP, en pourcent",,,,,0.004859086491739553,0.0,0.014577259475218662
risque,gaussien zCDP (delta=1e-6),"eps=infini (temoin, aucun bruit)",inf,0.0,pool des 2058 humains vague 4,valeur,1,"[20260913, crc32(eps=infini (temoin, aucun bruit)), 1]",2058,"top-1 monde ferme du jeu synthetique DP, en pourcent",,,,,0.048590864917395525,0.0,0.1457725947521866
risque,gaussien zCDP (delta=1e-6),"eps=infini (temoin, aucun bruit)",inf,0.0,pool des 2058 humains vague 4,valeur,2,"[20260913, crc32(eps=infini (temoin, aucun bruit)), 2]",2058,"top-1 monde ferme du jeu synthetique DP, en pourcent",,,,,0.0,0.0,0.0
risque,gaussien zCDP (delta=1e-6),"eps=infini (temoin, aucun bruit)",inf,0.0,pool des 2058 humains vague 4,valeur,3,"[20260913, crc32(eps=infini (temoin, aucun bruit)), 3]",2058,"top-1 monde ferme du jeu synthetique DP, en pourcent",,,,,0.048590864917395525,0.0,0.1457725947521866
risque,gaussien zCDP (delta=1e-6),"eps=infini (temoin, aucun bruit)",inf,0.0,pool des 2058 humains vague 4,valeur,4,"[20260913, crc32(eps=infini (temoin, aucun bruit)), 4]",2058,"top-1 monde ferme du jeu synthetique DP, en pourcent",,,,,0.11175898931000972,0.0,0.27210884353741494
risque,gaussien zCDP (delta=1e-6),"eps=infini (temoin, aucun bruit)",inf,0.0,pool des 2058 humains vague 4,valeur,5,"[20260913, crc32(eps=infini (temoin, aucun bruit)), 5]",2058,"top-1 monde ferme du jeu synthetique DP, en pourcent",,,,,0.017006802721088433,0.0,0.04622206025267216
risque,gaussien zCDP (delta=1e-6),"eps=infini (temoin, aucun bruit)",inf,0.0,pool des 2058 humains vague 4,valeur,6,"[20260913, crc32(eps=infini (temoin, aucun bruit)), 6]",2058,"top-1 monde ferme du jeu synthetique DP, en pourcent",,,,,0.09718172983479105,0.0,0.24295432458697766
risque,gaussien zCDP (delta=1e-6),"eps=infini (temoin, aucun bruit)",inf,0.0,pool des 2058 humains vague 4,valeur,7,"[20260913, crc32(eps=infini (temoin, aucun bruit)), 7]",2058,"top-1 monde ferme du jeu synthetique DP, en pourcent",,,,,0.09718172983479105,0.0,0.24295432458697766
risque,gaussien zCDP (delta=1e-6),"eps=infini (temoin, aucun bruit)",inf,0.0,pool des 2058 humains vague 4,valeur,8,"[20260913, crc32(eps=infini (temoin, aucun bruit)), 8]",2058,"top-1 monde ferme du jeu synthetique DP, en pourcent",,,,,0.0,0.0,0.0
risque,gaussien zCDP (delta=1e-6),"eps=infini (temoin, aucun bruit)",inf,0.0,pool des 2058 humains vague 4,valeur,9,"[20260913, crc32(eps=infini (temoin, aucun bruit)), 9]",2058,"top-1 monde ferme du jeu synthetique DP, en pourcent",,,,,0.09961127308066084,0.012147716229348881,0.22351797862001943
risque,gaussien zCDP (delta=1e-6),"eps=infini (temoin, aucun bruit)",inf,0.0,pool des 2058 humains vague 4,moyenne sur replicats ; bornes = min du bas et max du haut,10 replicats,"[20260913, crc32(eps=infini (temoin, aucun bruit)), 0..9]",2058,"top-1 monde ferme du jeu synthetique DP, en pourcent",,,,,0.05247813411078717,0.0,0.27210884353741494
risque_temoin_ajuste_humains,gaussien zCDP (delta=1e-6),eps=3,0.147263890080213,20.184941308109998,"ajuste sur les humains v4 (F3 NON corrige), attaque contre eux",moyenne sur replicats ; bornes = min du bas et max du haut,10 replicats,"[20260913, 77, crc32(eps=3), 0..9]",2058,"TEMOIN, NE PAS PUBLIER : top-1 monde ferme du generateur ajuste sur les humains, pour situer le 0,09 % du §8 de l'audit",,,,,0.03279883381924198,0.0,0.24295432458697766
risque_temoin_ajuste_humains,gaussien zCDP (delta=1e-6),"eps=infini (temoin, aucun bruit)",inf,0.0,"ajuste sur les humains v4 (F3 NON corrige), attaque contre eux",moyenne sur replicats ; bornes = min du bas et max du haut,10 replicats,"[20260913, 77, crc32(eps=infini (temoin, aucun bruit)), 0..9]",2058,"TEMOIN, NE PAS PUBLIER : top-1 monde ferme du generateur ajuste sur les humains, pour situer le 0,09 % du §8 de l'audit",,,,,0.06219630709426627,0.0,0.3401360544217687
