perimetre,hypothese,condition,metrique,moyenne_groupe,moyenne_temoin,n_groupe,n_temoin,difference,ic_items_bas,ic_items_haut,p_permutation,p_holm_famille_complete,p_bh_famille_complete,p_holm_sous_famille,p_bh_sous_famille
1052,descriptif investiguer,B0 tirage,distance,0.011373,0.011331,13,65,0.000041,-0.004351,0.004955,0.986300,,,,
1052,H1 distance,B1 argmax,distance,0.092578,0.093277,12,65,-0.000698,-0.030073,0.031092,0.963441,1.000000,0.819932,1.000000,0.686079
1052,H2 dispersion,B1 argmax,ratio_entropie,0.706760,0.702588,12,65,0.004172,-0.167637,0.138334,0.955701,1.000000,0.954352,1.000000,0.929261
1052,H4 desirabilite,B1 argmax,ecart_desirabilite,0.026517,0.024681,10,46,0.001836,-0.053848,0.051889,0.946621,1.000000,0.954352,1.000000,0.951061
1052,descriptif investiguer,B1 argmax,distance,0.072912,0.093277,13,65,-0.020364,-0.041493,0.002006,0.149717,,,,
1052,H1 distance,B2 argmax,distance,0.140678,0.137237,12,65,0.003441,-0.036925,0.046967,0.873283,1.000000,0.838541,1.000000,0.686079
1052,H2 dispersion,B2 argmax,ratio_entropie,0.562757,0.563048,12,65,-0.000291,-0.179904,0.171825,0.997420,1.000000,0.954352,1.000000,0.929261
1052,H4 desirabilite,B2 argmax,ecart_desirabilite,0.061922,0.037178,10,46,0.024744,-0.058690,0.106197,0.541289,1.000000,0.810844,1.000000,0.921347
1052,descriptif investiguer,B2 argmax,distance,0.127692,0.137237,13,65,-0.009545,-0.038763,0.019698,0.625127,,,,
1052,H1 distance,B3 foret,distance,0.157092,0.153210,12,65,0.003882,-0.042252,0.051858,0.871443,1.000000,0.954352,1.000000,0.913922
1052,H2 dispersion,B3 foret,ratio_entropie,0.487366,0.463321,12,65,0.024045,-0.167404,0.208794,0.806064,1.000000,0.852596,1.000000,0.829149
1052,H4 desirabilite,B3 foret,ecart_desirabilite,0.042479,0.034058,10,46,0.008421,-0.082848,0.092469,0.847423,1.000000,0.954352,1.000000,0.951061
1052,descriptif investiguer,B3 foret,distance,0.140326,0.153210,13,65,-0.012884,-0.044126,0.020783,0.558229,,,,
1052,H1 distance,agents composite,distance,0.133397,0.074647,12,65,0.058750,-0.000712,0.139935,0.011280,0.528269,0.097411,0.134877,0.072192
1052,H2 dispersion,agents composite,ratio_entropie,0.937015,0.922584,12,65,0.014431,-0.211037,0.312846,0.838423,1.000000,0.954352,1.000000,0.929261
1052,H4 desirabilite,agents composite,ecart_desirabilite,-0.041315,-0.024152,10,46,-0.017164,-0.074129,0.048457,0.513730,1.000000,0.794358,1.000000,0.921347
1052,descriptif investiguer,agents composite,distance,0.054808,0.074647,13,65,-0.019840,-0.045590,0.007272,0.184276,,,,
1052,H1 distance,agents demographiques (v6),distance,0.189120,0.156803,12,65,0.032317,-0.031635,0.098734,0.330013,1.000000,0.449908,1.000000,0.413478
1052,H2 dispersion,agents demographiques (v6),ratio_entropie,0.427288,0.607787,12,65,-0.180498,-0.369322,0.010472,0.064199,1.000000,0.449908,1.000000,0.334873
1052,H4 desirabilite,agents demographiques (v6),ecart_desirabilite,0.021293,0.029714,10,46,-0.008421,-0.101522,0.083730,0.867043,1.000000,0.858243,1.000000,0.951061
1052,descriptif investiguer,agents demographiques (v6),distance,0.141730,0.156803,13,65,-0.015073,-0.057715,0.026444,0.611908,,,,
1052,H1 distance,agents enquete,distance,0.124551,0.085365,12,65,0.039186,-0.004804,0.090738,0.042319,0.766345,0.123758,0.183256,0.072192
1052,H2 dispersion,agents enquete,ratio_entropie,0.687360,0.893953,12,65,-0.206593,-0.373477,-0.072056,0.007060,0.203996,0.055379,0.048959,0.026519
1052,H4 desirabilite,agents enquete,ecart_desirabilite,0.004350,0.004888,10,46,-0.000538,-0.052392,0.050233,0.986400,1.000000,0.922943,1.000000,0.951061
1052,descriptif investiguer,agents enquete,distance,0.104225,0.085365,13,65,0.018860,-0.023471,0.065510,0.308134,,,,
1052,H1 distance,agents entretien (v3),distance,0.155124,0.085630,12,65,0.069494,0.008699,0.141193,0.004220,0.143817,0.055379,0.036659,0.036659
1052,H2 dispersion,agents entretien (v3),ratio_entropie,0.597762,0.902401,12,65,-0.304639,-0.521464,-0.092252,0.000620,0.054079,0.054079,0.013520,0.013520
1052,H4 desirabilite,agents entretien (v3),ecart_desirabilite,-0.040998,-0.046031,10,46,0.005033,-0.067530,0.078126,0.871023,1.000000,0.954352,1.000000,0.951061
1052,descriptif investiguer,agents entretien (v3),distance,0.063826,0.085630,13,65,-0.021804,-0.048212,0.005260,0.215696,,,,
1052,H1 distance,agents v7,distance,0.187347,0.171596,12,65,0.015750,-0.047384,0.086808,0.605588,1.000000,0.472547,1.000000,0.413478
1052,H2 dispersion,agents v7,ratio_entropie,0.472315,0.611112,12,65,-0.138797,-0.306025,0.019807,0.078358,1.000000,0.389732,0.809444,0.233839
1052,H4 desirabilite,agents v7,ecart_desirabilite,0.033732,0.097919,10,46,-0.064187,-0.154749,0.037779,0.172997,1.000000,0.449908,1.000000,0.507835
1052,descriptif investiguer,agents v7,distance,0.193099,0.171596,13,65,0.021503,-0.022640,0.066166,0.429551,,,,
1052,H1 distance,agents v8,distance,0.163173,0.124910,12,65,0.038263,-0.027254,0.113420,0.194776,1.000000,0.315451,0.517190,0.168087
1052,H2 dispersion,agents v8,ratio_entropie,0.566992,0.844081,12,65,-0.277089,-0.502067,-0.058051,0.009960,0.523190,0.097411,0.119898,0.047232
1052,H4 desirabilite,agents v8,ecart_desirabilite,-0.028887,0.009968,10,46,-0.038855,-0.110462,0.040987,0.325413,1.000000,0.449908,1.000000,0.507835
1052,descriptif investiguer,agents v8,distance,0.093355,0.124910,13,65,-0.031555,-0.084374,0.029856,0.250655,,,,
1052,H1 distance,humains vague 2,distance,0.013945,0.013591,12,65,0.000354,-0.004824,0.006286,0.919162,,,,
1052,H2 dispersion,humains vague 2,ratio_entropie,0.987626,1.009192,12,65,-0.021566,-0.046226,-0.001699,0.157797,,,,
1052,H4 desirabilite,humains vague 2,ecart_desirabilite,0.001850,-0.004830,10,46,0.006680,-0.000044,0.013352,0.188656,,,,
1052,descriptif investiguer,humains vague 2,distance,0.010807,0.013591,13,65,-0.002783,-0.007829,0.002600,0.407192,,,,
