condition,perimetre,item,n_observes,taux_accord
agents composite,1052,racdif1,1052,0.7975285171102662
agents composite,1052,racdif2,1052,0.9192015209125475
agents composite,1052,racdif3,1052,0.7091254752851711
agents composite,1052,racdif4,1052,0.7690114068441065
agents composite,1052,wlthwhts,1052,0.5152091254752852
agents composite,1052,wlthblks,1052,0.3108365019011407
agents composite,1052,wlthhsps,1052,0.37927756653992395
agents composite,1052,racwork,1052,0.6302281368821293
agents composite,1052,letin1a,1052,0.47338403041825095
agents composite,1052,getahead,1052,0.6074144486692015
agents composite,1052,aged,1052,0.4695817490494297
agents composite,1052,parsol,1052,0.35076045627376423
agents composite,1052,kidssol,1052,0.4467680608365019
agents composite,1052,spanking,1052,0.4211026615969582
agents composite,1052,divlaw,1052,0.5532319391634981
agents composite,1052,sexeduc,1052,0.8507604562737643
agents composite,1052,pillok,1052,0.4695817490494297
agents composite,1052,xmarsex,1052,0.5370722433460076
agents composite,1052,homosex,1052,0.7538022813688213
agents composite,1052,marhomo,1052,0.5456273764258555
agents composite,1052,discaff,1052,0.6093155893536122
agents composite,1052,abdefect,1052,0.8754752851711026
agents composite,1052,abnomore,1052,0.8992395437262357
agents composite,1052,abhlth,1052,0.9306083650190115
agents composite,1052,abpoor,1052,0.8849809885931559
agents composite,1052,abrape,1052,0.9039923954372624
agents composite,1052,absingle,1052,0.8859315589353612
agents composite,1052,abany,1052,0.8593155893536122
agents composite,1052,letdie1,1052,0.8517110266159695
agents composite,1052,suicide1,1052,0.8925855513307985
agents composite,1052,suicide2,1052,0.8079847908745247
agents composite,1052,suicide3,1052,0.8231939163498099
agents composite,1052,suicide4,1052,0.6463878326996197
agents composite,1052,pornlaw,1052,0.7186311787072244
agents composite,1052,fair,1052,0.5579847908745247
agents composite,1052,helpful,1052,0.5836501901140685
agents composite,1052,trust,1052,0.5750950570342205
agents composite,1052,tax,1052,0.5950570342205324
agents composite,1052,vote16,1052,0.8697718631178707
agents composite,1052,pres16,1052,0.8488593155893536
agents composite,1052,if16who,1052,0.8650190114068441
agents composite,1052,news,1052,0.34790874524714827
agents composite,1052,jew,1052,0.7262357414448669
agents composite,1052,relig16*,1052,0.6501901140684411
agents composite,1052,jew16*,1052,0.7604562737642585
agents composite,1052,attend,1052,0.5484790874524715
agents composite,1052,pray,1052,0.5389733840304183
agents composite,1052,postlife,1052,0.8060836501901141
agents composite,1052,bible,1052,0.6739543726235742
agents composite,1052,reborn,1052,0.6891634980988594
agents composite,1052,savesoul,1052,0.8393536121673004
agents composite,1052,granborn,1052,0.6159695817490495
agents composite,1052,uscitzn*,1052,0.997148288973384
agents composite,1052,fucitzn,1052,0.9914448669201521
agents composite,1052,mnthsusa,1052,0.8802281368821293
agents composite,1052,income,1052,0.4220532319391635
agents composite,1052,othlang,1052,0.8593155893536122
agents composite,1052,health,1052,0.6245247148288974
agents composite,1052,compuse*,1052,0.970532319391635
agents composite,1052,webmob,1052,0.9781368821292775
agents composite,1052,xmovie,1052,0.6834600760456274
agents composite,1052,usewww*,1052,0.9847908745247148
agents composite,1052,life,1052,0.6330798479087453
agents composite,1052,richwork,1052,0.6872623574144486
agents entretien (v3),1052,natspac/y,1052,0.3279467680608365
agents entretien (v3),1052,natenvir/y,1052,0.5988593155893536
agents entretien (v3),1052,natheal/y,1052,0.7024714828897338
agents entretien (v3),1052,natcity/y,1052,0.4828897338403042
agents entretien (v3),1052,natdrug/y,1052,0.5627376425855514
agents entretien (v3),1052,nateduc/y,1052,0.6806083650190115
agents entretien (v3),1052,natrace/y,1052,0.6416349809885932
agents entretien (v3),1052,natarms/y,1052,0.5636882129277566
