analyse,rotation,configuration,role,exa_A,chute_A,res_A,perte_B,c_diag,c_exa,delta_r,delta,statut,R1,R2,R3,R4_ferme,affaibli_sans,ic_bas,ic_haut,perte_B_PMM,perte_B_c_diag
principal,2,S6 B1 argmax,hors selection,0.5569489440453913,0.031575103205324306,,0.36442788755713923,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.023189840310021748,0.02661329732122164,,,,,,,,,,
principal,2,S6 B2 argmax,hors selection,0.5676609699064757,0.02893262951371489,,0.3501883645874575,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.023189840310021748,0.02661329732122164,,,,,,,,,,
principal,2,S6 PMM k=10,hors selection,0.526820999360164,0.0374970042871266,,0.3842577595412063,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.023189840310021748,0.02661329732122164,,,,,,,,,,
principal,2,Persona Summary - GPT4.1-mini,hors selection,0.5629413348542708,0.1674644881360119,,0.3473329014145341,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.023189840310021748,0.02661329732122164,,,,,,,,,,
principal,2,Persona Summary - JSON Persona - GPT4.1-mini,hors selection,0.5204850465272409,0.13753745002990075,,0.4059754766103972,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.023189840310021748,0.02661329732122164,,,,,,,,,,
principal,3,Demographics Only - GPT4.1-mini,candidate,0.4481526946618246,0.0976854977580005,0.0004456827193501378,0.3837622005323869,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.025378359303233566,0.02661329732122164,,,,,,,,,,
principal,3,JSON Persona - GPT4.1,candidate,0.5184048556766064,0.15623842770190782,0.0011595985522365737,0.3000395925565994,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.025378359303233566,0.02661329732122164,,,,,,,,,,
principal,3,Text Persona (Default Temperature) - GPT4.1-mini,candidate,0.4916116822668917,0.12646509982439091,-0.006554753308906314,0.32474346996677667,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.025378359303233566,0.02661329732122164,,,,,,,,,,
principal,3,Text Persona (Reasoning) - GPT4.1-mini,candidate,0.4895572263993316,0.13439235844713815,0.00306395081811911,0.33358841581260984,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.025378359303233566,0.02661329732122164,,,,,,,,,,
principal,3,Text Persona (Repeating Questions) - GPT4.1-mini,candidate,0.49764717917242085,0.13366119380082864,-0.004327719154165299,0.33477384512581204,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.025378359303233566,0.02661329732122164,,,,,,,,,,
principal,3,Text Persona - GPT4.1-mini,candidate,0.496845856136941,0.13059830699196973,-0.0067308720318949855,0.31961443422549607,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.025378359303233566,0.02661329732122164,,,,,,,,,,
principal,3,Text Persona - Gemini-Flash2.5,candidate,0.4959337118305969,0.14952231769900953,0.01294411240526,0.32541795185983297,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.025378359303233566,0.02661329732122164,,,,,,,,,,
principal,3,B0 mode,hors selection,0.475065214055547,-0.0003670315243892164,,0.37305108378755225,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.025378359303233566,0.02661329732122164,,,,,,,,,,
principal,3,B0 tirage,hors selection,0.395222750754437,-2.557413943116149e-06,,0.4482425130162486,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.025378359303233566,0.02661329732122164,,,,,,,,,,
principal,3,B1 argmax,hors selection,0.47443438528293524,0.029126898879852703,,0.38210494687868246,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.025378359303233566,0.02661329732122164,,,,,,,,,,
principal,3,B2 argmax,hors selection,0.4871532572928921,0.03281929313078619,,0.3716105719950736,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.025378359303233566,0.02661329732122164,,,,,,,,,,
principal,3,PMM k=10,hors selection,0.45019862581624126,0.03684756107956971,,0.41642762465004407,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.025378359303233566,0.02661329732122164,,,,,,,,,,
principal,3,S6 B0 mode,hors selection,0.47451963241436923,-0.0002534823453190782,,0.37305108378755225,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.025378359303233566,0.02661329732122164,,,,,,,,,,
principal,3,S6 B0 tirage,hors selection,0.39179581607078917,-0.0021256798458731962,,0.4473481594155951,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.025378359303233566,0.02661329732122164,,,,,,,,,,
principal,3,S6 B1 argmax,hors selection,0.4734455185583005,0.03208041361908176,,0.3828302887752755,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.025378359303233566,0.02661329732122164,,,,,,,,,,
principal,3,S6 B2 argmax,hors selection,0.4870935843008883,0.03264615620684369,,0.37019744635834545,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.025378359303233566,0.02661329732122164,,,,,,,,,,
principal,3,S6 PMM k=10,hors selection,0.44909893782074234,0.039249015395632025,,0.41763105057988226,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.025378359303233566,0.02661329732122164,,,,,,,,,,
principal,3,Persona Summary - GPT4.1-mini,hors selection,0.46899561829744424,0.11965074250251473,,0.36120774511783094,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.025378359303233566,0.02661329732122164,,,,,,,,,,
principal,3,Persona Summary - JSON Persona - GPT4.1-mini,hors selection,0.4230047908887866,0.09202649480844971,,0.40987137896336356,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.025378359303233566,0.02661329732122164,,,,,,,,,,
principal,,,decision,,,,,,,,0.02661329732122164,ferme,faux,faux,faux,faux,,0.002610425311470005,0.041220789103449784,0.3723820514600398;0.38204177614608453;0.41642762465004407,0.3300346499143876;0.3240698748635257;0.32541795185983297
S1,1,Demographics Only - GPT4.1-mini,candidate,0.5129272195236405,0.1345908683950967,0.0018122938286541102,0.36356417309596245,JSON Persona - GPT4.1-mini,JSON Persona - GPT4.1,0.01589632398217905,0.020779064144457866,,,,,,,,,,
S1,1,JSON Persona - GPT4.1,candidate,0.5852330581565549,0.1839706628848014,0.006000264476239914,0.3023220178631798,JSON Persona - GPT4.1-mini,JSON Persona - GPT4.1,0.01589632398217905,0.020779064144457866,,,,,,,,,,
S1,1,JSON Persona - GPT4.1-mini,candidate,0.5574015375341215,0.16861938053896552,0.008043942219488287,0.31821834184535885,JSON Persona - GPT4.1-mini,JSON Persona - GPT4.1,0.01589632398217905,0.020779064144457866,,,,,,,,,,
S1,1,Text Persona (Default Temperature) - GPT4.1-mini,candidate,0.5606251336388188,0.15231897677945672,-0.010271239185311642,0.3244230355331788,JSON Persona - GPT4.1-mini,JSON Persona - GPT4.1,0.01589632398217905,0.020779064144457866,,,,,,,,,,
S1,1,Text Persona (Reasoning) - GPT4.1-mini,candidate,0.5504644327911039,0.15825384821792426,0.0020141650939903832,0.3255510960289288,JSON Persona - GPT4.1-mini,JSON Persona - GPT4.1,0.01589632398217905,0.020779064144457866,,,,,,,,,,
S1,1,Text Persona (Repeating Questions) - GPT4.1-mini,candidate,0.5578730856100278,0.15658779523845417,-0.004282365028549839,0.31756645510359316,JSON Persona - GPT4.1-mini,JSON Persona - GPT4.1,0.01589632398217905,0.020779064144457866,,,,,,,,,,
S1,1,Text Persona - GPT4.1-mini,candidate,0.565847694612021,0.15577424085076108,-0.010080124454752759,0.31892357861247944,JSON Persona - GPT4.1-mini,JSON Persona - GPT4.1,0.01589632398217905,0.020779064144457866,,,,,,,,,,
S1,1,Text Persona - Gemini-Flash2.5,candidate,0.564475921367622,0.17176005727778415,0.006763063050240048,0.3323114642193084,JSON Persona - GPT4.1-mini,JSON Persona - GPT4.1,0.01589632398217905,0.020779064144457866,,,,,,,,,,
S1,1,B0 mode,hors selection,0.5308270516641234,-0.00022041902473701747,,0.35733045992103735,JSON Persona - GPT4.1-mini,JSON Persona - GPT4.1,0.01589632398217905,0.020779064144457866,,,,,,,,,,
S1,1,B0 tirage,hors selection,0.45817144373650376,-0.0013517110891134165,,0.41307630191731864,JSON Persona - GPT4.1-mini,JSON Persona - GPT4.1,0.01589632398217905,0.020779064144457866,,,,,,,,,,
S1,1,B1 argmax,hors selection,0.5219001181385289,0.0120218274399162,,0.3488430407249107,JSON Persona - GPT4.1-mini,JSON Persona - GPT4.1,0.01589632398217905,0.020779064144457866,,,,,,,,,,
S1,1,B2 argmax,hors selection,0.5401313791093578,0.025340741587484006,,0.3482265717968222,JSON Persona - GPT4.1-mini,JSON Persona - GPT4.1,0.01589632398217905,0.020779064144457866,,,,,,,,,,
S1,1,PMM k=10,hors selection,0.49633784753473803,0.020035621252938396,,0.3703249545421617,JSON Persona - GPT4.1-mini,JSON Persona - GPT4.1,0.01589632398217905,0.020779064144457866,,,,,,,,,,
S1,2,Demographics Only - GPT4.1-mini,candidate,0.539468956645088,0.14434865254352486,7.602730819733505e-06,0.3629840608465609,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.02463644179894181,0.020779064144457866,,,,,,,,,,
S1,2,JSON Persona - GPT4.1,candidate,0.6085529075643848,0.20171721757461847,0.0027521506281694696,0.30317960758377427,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.02463644179894181,0.020779064144457866,,,,,,,,,,
S1,2,JSON Persona - GPT4.1-mini,candidate,0.5849096581294785,0.1881365521337861,0.0078659756593486,0.3209303130511464,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.02463644179894181,0.020779064144457866,,,,,,,,,,
S1,2,Text Persona (Default Temperature) - GPT4.1-mini,candidate,0.5849580773371258,0.1700552257699155,-0.010253635307428122,0.32261033950617285,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.02463644179894181,0.020779064144457866,,,,,,,,,,
S1,2,Text Persona (Reasoning) - GPT4.1-mini,candidate,0.5792558096360427,0.17846393150697576,0.0026637987878151415,0.34037167107583777,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.02463644179894181,0.020779064144457866,,,,,,,,,,
S1,2,Text Persona (Repeating Questions) - GPT4.1-mini,candidate,0.5831510423002876,0.17454969150910754,-0.004330364303047396,0.31938018077601404,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.02463644179894181,0.020779064144457866,,,,,,,,,,
S1,2,Text Persona - GPT4.1-mini,candidate,0.5920012537212792,0.17606797146942155,-0.009809861595835856,0.31762458112874775,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.02463644179894181,0.020779064144457866,,,,,,,,,,
S1,2,Text Persona - Gemini-Flash2.5,candidate,0.5860610105679186,0.19228527320048144,0.011104333400156596,0.3278160493827161,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.02463644179894181,0.020779064144457866,,,,,,,,,,
