condition,etiquette,n,segmentation,n_cellules,exactitude_vraie,exactitude_ic_bas,exactitude_ic_haut,exactitude_permutee,permutee_bas,permutee_haut,chute,chute_ic_bas,chute_ic_haut,chute_ecart_type,chute_relative,exactitude_reassignation_optimale,gain_hongrois_absolu,part_recuperee_par_reassignation,permutations,masque_douteux,plancher_humain_chute_relative,plancher_humain_chute_absolue,part_du_plancher_humain
JSON Persona (Predicted Output) - GPT4.1-mini,JSON PredOut mini,2058,S_parti,4,0.4624762830302189,0.4572771400226758,0.46772729244759126,0.3318984132768754,0.3296189232495719,0.3343070884816512,0.1305778697533435,0.12831652079766148,0.13326131617613035,0.0012575482896345766,0.282345007829972,0.49001631264750795,0.15811789937063253,1.210908859742551,200,True,0.4618658359543651,0.3287795073811839,0.6113139051442403
JSON Persona - GPT4.1,JSON Persona 4.1,2058,S_ideo,5,0.5738199361377204,0.5702822825558794,0.5774241924661022,0.3964307695867463,0.3939327797445509,0.3989554916354297,0.17738916655097414,0.17430712338223273,0.1800518984180972,0.0014676072280633593,0.3091373362608294,0.5878028252117173,0.19137205562497106,1.078826059932915,200,False,0.45688222645957377,0.3252319215951688,0.6766236862754886
JSON Persona - GPT4.1,JSON Persona 4.1,2058,S_fin,24,0.5738199361377204,0.5702822825558794,0.5774241924661022,0.3960744307927253,0.39294143933083436,0.3985607559350271,0.17774550534499511,0.17485910326715723,0.18064441552131041,0.0014163518958306733,0.309758330359465,0.5801300962561895,0.1840556654634642,1.0355010952666364,200,False,0.45163055866269086,0.3214935183256977,0.6858666324012279
JSON Persona - GPT4.1,JSON Persona 4.1,2058,S_gra,40,0.5738199361377204,0.5702822825558794,0.5774241924661022,0.38853876423018185,0.38556365403304177,0.39146637396455175,0.18528117190753857,0.1823698868719823,0.18834105050750471,0.0015916181744478205,0.3228907889722917,0.5799838530453505,0.19144508881516864,1.0332679076031863,200,False,0.45626244879998673,0.32479073244944245,0.7076865295873568
JSON Persona - GPT4.1,JSON Persona 4.1,2058,S_parti,4,0.5738199361377204,0.5702822825558794,0.5774241924661022,0.39184321347586654,0.3890178354505067,0.3942104056758758,0.18197672266185388,0.17939257041819,0.18467384837721937,0.0014380133402282047,0.31713210225268007,0.5894340899625156,0.19759087648664903,1.0858030279719297,200,False,0.4618658359543651,0.3287795073811839,0.6866325187213338
JSON Persona - GPT4.1-mini,JSON Persona mini,1000,S_ideo,5,0.5438595238095238,0.5386589732142857,0.5489974702380952,0.38361697916666665,0.37953244047619045,0.3869760863095238,0.1602425446428572,0.1565211742063493,0.1643992873015875,0.001975731370223271,0.2946395854584299,0.5592720238095237,0.17565504464285703,1.0961823218318871,200,False,0.4550665428085886,0.3213376547619046,0.6474648380871235
JSON Persona - GPT4.1-mini,JSON Persona mini,1000,S_fin,24,0.5438595238095238,0.5386589732142857,0.5489974702380952,0.386359261904762,0.3823720238095238,0.3893534821428571,0.15750026190476185,0.1531682755952381,0.1614696942460318,0.0020831818274863567,0.2895973224878622,0.550439880952381,0.16408061904761906,1.0417799758760797,200,False,0.4444016247100236,0.3138068005952379,0.6516567590787439
JSON Persona - GPT4.1-mini,JSON Persona mini,1000,S_gra,39,0.5438595238095238,0.5386589732142857,0.5489974702380952,0.37997978571428576,0.37571391369047613,0.38394666666666666,0.1638797380952381,0.16002088551587296,0.16764752738095237,0.002017787677154228,0.3013273297989239,0.5512721872316061,0.17129240151732034,1.0452323362743867,200,False,0.4460853246722592,0.31499571726190456,0.6754925865815253
JSON Persona - GPT4.1-mini,JSON Persona mini,1000,S_parti,4,0.5438595238095238,0.5386589732142857,0.5489974702380952,0.38006651190476193,0.3761350446428572,0.38390950892857145,0.16379301190476192,0.15981655912698414,0.16777234186507928,0.0020795022377441733,0.30116786547646673,0.561565476190476,0.1814989642857141,1.1080995591634115,200,False,0.45958258591389717,0.3245265833333332,0.6553073913311644
LLM Finetuning (500 training samples) - GPT4.1-mini,Finetuning 500,1558,S_ideo,5,0.4619284491717097,0.45692732211626624,0.46659330299834956,0.3737804304969742,0.3692816931811236,0.3777114948193655,0.08814801867473554,0.08361887747824838,0.09264295953297862,0.002367847866861569,0.19082613082782618,0.5286149825783972,0.15483455208142305,1.7565290111937684,200,False,0.457390352987724,0.3268332129867351,0.4172062868867455
LLM Finetuning (500 training samples) - GPT4.1-mini,Finetuning 500,1558,S_fin,24,0.4619284491717097,0.45692732211626624,0.46659330299834956,0.3736154334005747,0.36973098714774744,0.37804658368482175,0.08831301577113504,0.08365890577561771,0.09307660398455485,0.0023445679391416183,0.19118332271911445,0.514633382236078,0.14101794883550334,1.5967968889314594,200,False,0.45143628897728727,0.32257867229048226,0.4235001203652312
LLM Finetuning (500 training samples) - GPT4.1-mini,Finetuning 500,1558,S_gra,40,0.4619284491717097,0.45692732211626624,0.46659330299834956,0.37387631999205334,0.3695516325111559,0.3782345822635858,0.08805212917965638,0.08374401998390285,0.09272617493938093,0.002416983924980433,0.1906185456590601,0.5144647447668014,0.14058842477474803,1.5966499173222681,200,False,0.4543182824329526,0.3246380318173482,0.4195704928233682
LLM Finetuning (500 training samples) - GPT4.1-mini,Finetuning 500,1558,S_parti,4,0.4619284491717097,0.45692732211626624,0.46659330299834956,0.372265923956232,0.36761796832019067,0.3763057319365487,0.08966252521547774,0.08512011074434057,0.09418677129816422,0.002389941026397295,0.19410479128586441,0.531341310593557,0.15907538663732507,1.774156887228346,200,False,0.46269179070961125,0.3306214125252155,0.41951207084995806
Persona Summary - GPT4.1-mini,Persona Summary,2058,S_ideo,5,0.5209010134666111,0.5174892044402796,0.5246484682308297,0.377111140034245,0.3745931093525846,0.37960412183580916,0.1437898734323661,0.14135437684143945,0.14644218844000167,0.0013348965900660296,0.2760406866468552,0.5518852098662593,0.17477406983201432,1.215482465211447,200,False,0.45688222645957377,0.3252319215951688,0.6041834649290742
Persona Summary - GPT4.1-mini,Persona Summary,2058,S_fin,24,0.5209010134666111,0.5174892044402796,0.5246484682308297,0.3786908001295756,0.37536499548799107,0.38145865871858947,0.14221021333703548,0.13964829681305627,0.14476144604100152,0.0012793207701766924,0.27300813333155655,0.538050407237725,0.1593596071081494,1.120591857424967,200,False,0.45163055866269086,0.3214935183256977,0.6044943773068687
Persona Summary - GPT4.1-mini,Persona Summary,2058,S_gra,40,0.5209010134666111,0.5174892044402796,0.5246484682308297,0.3736451941320746,0.37084655843629966,0.37604127620435923,0.14725581933453652,0.14422945734416215,0.15020002178876088,0.0015119336191241083,0.28269443815158823,0.5385287172720328,0.1648835231399582,1.11970802841669,200,False,0.45626244879998673,0.32479073244944245,0.6195873425373954
Persona Summary - GPT4.1-mini,Persona Summary,2058,S_parti,4,0.5209010134666111,0.5174892044402796,0.5246484682308297,0.37532081106252024,0.37232438596186773,0.37838839574945626,0.14558020240409086,0.143012623983834,0.14813617879124433,0.0013796198531165628,0.27947767165060877,0.5542693437919385,0.17894853272941824,1.2292092590495651,200,False,0.4618658359543651,0.3287795073811839,0.6051057469386472
Persona Summary - JSON Persona - GPT4.1-mini,Summary + JSON,2058,S_ideo,5,0.4741727983710491,0.4706437277291869,0.4779009686357536,0.3641187714031191,0.3611512781132861,0.36693223888194726,0.11005402696792999,0.10716982285544598,0.1130088680256683,0.0014721257887151367,0.2320968797577685,0.5214705099726966,0.15735173856957752,1.4297681139412572,200,False,0.45688222645957377,0.3252319215951688,0.5080015512013031
Persona Summary - JSON Persona - GPT4.1-mini,Summary + JSON,2058,S_fin,24,0.4741727983710491,0.4706437277291869,0.4779009686357536,0.3652360272340228,0.3620825090240178,0.36791073742422137,0.10893677113702627,0.10634201808274339,0.11178429618446022,0.0014774787374083576,0.22974065891435047,0.505598361793697,0.14036233455967417,1.2884752604161473,200,False,0.45163055866269086,0.3214935183256977,0.5086915721438965
Persona Summary - JSON Persona - GPT4.1-mini,Summary + JSON,2058,S_gra,40,0.4741727983710491,0.4706437277291869,0.4779009686357536,0.3588220894650377,0.3563027413346291,0.3615219208431672,0.1153507089060114,0.11247069652691011,0.11843525122634083,0.0015949192866211055,0.24326724203134764,0.5035387295414033,0.14471664007636564,1.2545795465746277,200,False,0.45626244879998673,0.32479073244944245,0.533173928012624
Persona Summary - JSON Persona - GPT4.1-mini,Summary + JSON,2058,S_parti,4,0.4741727983710491,0.4706437277291869,0.4779009686357536,0.3614762338608913,0.35839454914618907,0.3640039378846777,0.1126965645101578,0.10989147471346815,0.11599279437965655,0.0015023182431905832,0.2376698218398657,0.5238960039798232,0.16241977011893188,1.4412131445612286,200,False,0.4618658359543651,0.3287795073811839,0.5145862788243745
Text Persona (Default Temperature) - GPT4.1-mini,Text temp. defaut,2058,S_ideo,5,0.5477558540422972,0.5443326709935675,0.5511362525452358,0.40282138229441444,0.4003624285598593,0.4053406711323985,0.14493447174788276,0.14283671194101233,0.147138600525244,0.0011564159068075236,0.2645968467124608,0.569683927992966,0.16686254569855152,1.1512964699579076,200,False,0.45688222645957377,0.3252319215951688,0.579135784648154
Text Persona (Default Temperature) - GPT4.1-mini,Text temp. defaut,2058,S_fin,24,0.5477558540422972,0.5443326709935675,0.5511362525452358,0.4029408825605072,0.4007062233907169,0.4054617144476838,0.14481497148179,0.14283418569808873,0.14749774939454244,0.001135425188309811,0.26437868333691517,0.5571257924938683,0.1541849099333611,1.0647028297951178,200,False,0.45163055866269086,0.3214935183256977,0.5853870564466643
Text Persona (Default Temperature) - GPT4.1-mini,Text temp. defaut,2058,S_gra,40,0.5477558540422972,0.5443326709935675,0.5511362525452358,0.3944216009533065,0.39168019546253874,0.3974710045582858,0.15333425308899074,0.15107067734123122,0.15609820300569202,0.0013575427785674124,0.2799317468858131,0.5573888232979142,0.1629672223446077,1.0628233356967296,200,False,0.45626244879998673,0.32479073244944245,0.6135322940164373
Text Persona (Default Temperature) - GPT4.1-mini,Text temp. defaut,2058,S_parti,4,0.5477558540422972,0.5443326709935675,0.5511362525452358,0.39862414242908045,0.39638716796242307,0.4010476465245963,0.14913171161321676,0.14676495181405894,0.1513723872769062,0.0012640328299216824,0.27225945740727936,0.572121569716322,0.17349742728724155,1.1633838665864638,200,False,0.4618658359543651,0.3287795073811839,0.5894773681294325
Text Persona (Reasoning) - GPT4.1-mini,Text raisonnement,2058,S_ideo,5,0.5435061779813966,0.5402906991878385,0.5469873808366883,0.38945283793789626,0.3869627961728909,0.39218011737007735,0.1540533400435003,0.15132703117528185,0.15675790054684005,0.0014954571155811418,0.28344358589567553,0.568005807765283,0.17855296982738672,1.1590334216510232,200,False,0.45688222645957377,0.3252319215951688,0.6203865448916854
Text Persona (Reasoning) - GPT4.1-mini,Text raisonnement,2058,S_fin,24,0.5435061779813966,0.5402906991878385,0.5469873808366883,0.3894724420380397,0.38661200917441807,0.39209664520570137,0.15403373594335684,0.15126239028491212,0.15713600727706042,0.0014620153202931005,0.28340751620422094,0.5551257577861075,0.1656533157480678,1.0754352917141725,200,False,0.45163055866269086,0.3214935183256977,0.6275206820446564
Text Persona (Reasoning) - GPT4.1-mini,Text raisonnement,2058,S_gra,40,0.5435061779813966,0.5402906991878385,0.5469873808366883,0.3809731188393725,0.3780662209611736,0.3839404371442454,0.16253305914202404,0.15968387689542934,0.16547115736884305,0.0016173494073013727,0.29904546760752243,0.5557370882237193,0.17476396938434674,1.075251830654557,200,False,0.45626244879998673,0.32479073244944245,0.6554242375063742
Text Persona (Reasoning) - GPT4.1-mini,Text raisonnement,2058,S_parti,4,0.5435061779813966,0.5402906991878385,0.5469873808366883,0.385041173527234,0.38241432244666573,0.38810742919616825,0.15846500445416256,0.1557160131002513,0.16124841857944988,0.001462564980492712,0.29156063145907163,0.5705455481512333,0.18550437462399927,1.170633069824941,200,False,0.4618658359543651,0.3287795073811839,0.6312669367644664
Text Persona (Repeating Questions) - GPT4.1-mini,Text repetition,2058,S_ideo,5,0.5488601392938127,0.5455667271160165,0.552336671062983,0.39732415313064,0.394648641769633,0.39991588429589525,0.1515359861631727,0.14902519764141475,0.15363188206688566,0.0011513109576209955,0.2760921686864444,0.5693582535054839,0.17203410037484385,1.135268953142252,200,False,0.45688222645957377,0.3252319215951688,0.6042961461335677
Text Persona (Repeating Questions) - GPT4.1-mini,Text repetition,2058,S_fin,24,0.5488601392938127,0.5455667271160165,0.552336671062983,0.3978175123791013,0.3952488980285992,0.40050197545004396,0.15104262691471143,0.14883533876702607,0.15334652671726293,0.001158023245155466,0.2751932889662008,0.5576183534638345,0.1598008410847332,1.0579850493130474,200,False,0.45163055866269086,0.3214935183256977,0.6093327470600464
Text Persona (Repeating Questions) - GPT4.1-mini,Text repetition,2058,S_gra,40,0.5488601392938127,0.5455667271160165,0.552336671062983,0.3894546760030543,0.38674786113424964,0.39260588036234906,0.15940546329075844,0.15683024771700055,0.16191636731223097,0.0013537260804215635,0.2904300237504156,0.5579186633331018,0.16846398733004753,1.0568269358670987,200,False,0.45626244879998673,0.32479073244944245,0.6365415881019224
Text Persona (Repeating Questions) - GPT4.1-mini,Text repetition,2058,S_parti,4,0.5488601392938127,0.5455667271160165,0.552336671062983,0.3932058256976261,0.3906696283955759,0.39589206898745893,0.15565431359618664,0.1532808823869683,0.15793863253351215,0.0012576149720218595,0.2835955873867216,0.5714311745106206,0.17822534881299457,1.145007450775594,200,False,0.4618658359543651,0.3287795073811839,0.6140215736042066
Text Persona - GPT4.1-mini,Text Persona mini,2058,S_ideo,5,0.5529706950807534,0.5494264325628211,0.5565122171317507,0.4039962385464389,0.40133949540700636,0.4062318435027072,0.14897445653431446,0.14674167013744285,0.15103561883937244,0.0011489206132111755,0.2694075072324744,0.5708307302512842,0.16683449170484527,1.11988656032732,200,False,0.45688222645957377,0.3252319215951688,0.589665107614582
Text Persona - GPT4.1-mini,Text Persona mini,2058,S_fin,24,0.5529706950807534,0.5494264325628211,0.5565122171317507,0.40423116236290435,0.4016383003031145,0.40652792239344715,0.148739532717849,0.146746857501504,0.1509156707467566,0.0011426717187102134,0.26898266769114726,0.5599917858299784,0.1557606234670741,1.0472039317384687,200,False,0.45163055866269086,0.3214935183256977,0.5955811946995425
Text Persona - GPT4.1-mini,Text Persona mini,2058,S_gra,40,0.5529706950807534,0.5494264325628211,0.5565122171317507,0.3956648618631126,0.39318575304271364,0.39798938665602296,0.15730583321764074,0.15494224242985163,0.15974947552717222,0.0013420451981051114,0.2844740862708258,0.5607623214575086,0.16509745959439598,1.0495317065958711,200,False,0.45626244879998673,0.32479073244944245,0.6234878347298128
Text Persona - GPT4.1-mini,Text Persona mini,2058,S_parti,4,0.5529706950807534,0.5494264325628211,0.5565122171317507,0.3998440406774955,0.39702553045027533,0.4023002351450785,0.15312665440325784,0.1508615841007605,0.15532360947213342,0.0012039538363421722,0.27691640039061366,0.5728258480262852,0.1729818073487897,1.1296649040162758,200,False,0.4618658359543651,0.3287795073811839,0.5995602593519702
Text Persona - Gemini-Flash2.5,Text Persona Gemini,2058,S_ideo,5,0.550473182470267,0.5472554115183488,0.553856740825582,0.38548362372159745,0.38271084241519737,0.38795008734786435,0.16498955874866955,0.16253868083514592,0.16751076760069117,0.001272052594376203,0.2997231545563643,0.5678183858577444,0.1823347621361469,1.1051290973745769,200,False,0.45688222645957377,0.3252319215951688,0.6560184161221352
Text Persona - Gemini-Flash2.5,Text Persona Gemini,2058,S_fin,24,0.550473182470267,0.5472554115183488,0.553856740825582,0.38684350704567544,0.38458075917441803,0.389296220614096,0.16362967542459156,0.1610380502144168,0.1660274441012231,0.0012937857995967742,0.29725276477647444,0.5584487366375122,0.17160522959183672,1.048741489870648,200,False,0.45163055866269086,0.3214935183256977,0.6581768196923173
Text Persona - Gemini-Flash2.5,Text Persona Gemini,2058,S_gra,40,0.550473182470267,0.5472554115183488,0.553856740825582,0.37525288219029107,0.37282452479291034,0.378350072597066,0.17522030027997593,0.17250892336526455,0.17813679736066748,0.0014774136491273076,0.31830851322069664,0.5581119637937818,0.18285908160349074,1.0435952986686428,200,False,0.45626244879998673,0.32479073244944245,0.6976434594998515
Text Persona - Gemini-Flash2.5,Text Persona Gemini,2058,S_parti,4,0.550473182470267,0.5472554115183488,0.553856740825582,0.38063076293442544,0.3784805737771299,0.3827907642648896,0.16984241953584156,0.16712442375476255,0.17223875883119677,0.00136164797277464,0.30853895329408776,0.5702861076403349,0.1896553447059095,1.1166547510581528,200,False,0.4618658359543651,0.3287795073811839,0.6680272262540179
B0 mode,B0 mode,2058,S_ideo,5,0.5215569901429961,0.5170800433268545,0.526149983803045,0.5218220981419779,0.5215930283678096,0.5220225296751353,-0.00026510799898182835,-0.00046101711092604307,-7.397303592626136e-05,0.00010345722848812037,-0.0005083011137654263,0.526308771808043,0.004486673666065144,-16.923946781299044,200,False,0.45688222645957377,0.3252319215951688,-0.0011125429800679764
B0 mode,B0 mode,2058,S_fin,24,0.5215569901429961,0.5170800433268545,0.526149983803045,0.5218254647947614,0.521625935663381,0.5220456031051878,-0.00026847465176538243,-0.0004752767943912384,-7.18535486756766e-05,0.00010588660171013935,-0.0005147561183903879,0.526262205562497,0.004436740767735592,-16.525734323748445,200,False,0.45163055866269086,0.3214935183256977,-0.0011397725608174438
B0 mode,B0 mode,2058,S_gra,40,0.5215569901429961,0.5170800433268545,0.526149983803045,0.5218076683904854,0.5216058630084688,0.5220178007427462,-0.0002506782474893665,-0.0004677456923811268,-6.415951301139088e-05,0.00010531823209532298,-0.00048063443157120317,0.5261757182211729,0.004368049830687504,-17.424925674385815,200,False,0.45626244879998673,0.32479073244944245,-0.0010534165869562947
B0 mode,B0 mode,2058,S_parti,4,0.5215569901429961,0.5170800433268545,0.526149983803045,0.5218262674117267,0.521652313561479,0.5220041779466889,-0.00026927726873060553,-0.0004728825373686651,-8.059903666691125e-05,0.00010624362489664958,-0.000516295004802404,0.5262914179277153,0.004465150515988614,-16.581980859497307,200,False,0.4618658359543651,0.3287795073811839,-0.0011178462761498055
B0 tirage,B0 tirage,2058,S_ideo,5,0.44304485399602017,0.4405880000809848,0.44552240241334634,0.443476216507011,0.4414267420403536,0.4454685330764959,-0.00043136251099085143,-0.002666937676431198,0.0019225273612845564,0.0012320444720713946,-0.0009736316923674873,0.585760273497154,0.14228405699014296,-329.84798948641276,200,False,0.45688222645957377,0.3252319215951688,-0.002131034292824777
B0 tirage,B0 tirage,2058,S_fin,24,0.44304485399602017,0.4405880000809848,0.44552240241334634,0.44345581702068587,0.44142674927113706,0.4455594746401963,-0.00041096302466570034,-0.0024667047487929826,0.0017024309894024896,0.001191427035438224,-0.0009275878524692039,0.5587764357443658,0.11532061872367988,-280.610691965507,200,False,0.45163055866269086,0.3214935183256977,-0.002053864236325937
B0 tirage,B0 tirage,2058,S_gra,40,0.44304485399602017,0.4405880000809848,0.44552240241334634,0.44332758052200477,0.44107568027210886,0.4452594332801148,-0.00028272652598460013,-0.002367012394527056,0.001974037148873183,0.0011967993896694013,-0.0006381442498080337,0.5579588860337523,0.11463130551174755,-405.44941834708294,200,False,0.45626244879998673,0.32479073244944245,-0.0013986341665557034
B0 tirage,B0 tirage,2058,S_parti,4,0.44304485399602017,0.4405880000809848,0.44552240241334634,0.44326569947706973,0.4412321761187468,0.44527039514785505,-0.0002208454810495586,-0.0025394296550819936,0.0018498227011893298,0.0011979948708725006,-0.0004984720600130081,0.5910748993474939,0.14780919987042418,-669.2878621195568,200,False,0.4618658359543651,0.3287795073811839,-0.001079257267390221
B1 argmax,B1 argmax,2058,S_ideo,5,0.5183115252903883,0.5147159748253042,0.5219549218496923,0.4986194698968023,0.49620780114766994,0.5011489208778749,0.019692055393585983,0.016770052312308055,0.022205758113903157,0.0014239136956518518,0.037992702135175076,0.6426058008237309,0.14398633092692859,7.311899547765198,200,False,0.45688222645957377,0.3252319215951688,0.0831564458735555
B1 argmax,B1 argmax,2058,S_fin,24,0.5183115252903883,0.5147159748253042,0.5219549218496923,0.5020639071104632,0.4995613806747188,0.5044877062219446,0.01624761817992504,0.013314435921761006,0.018973879999845622,0.0014651679868414055,0.03134720604721683,0.6218760123096857,0.11981210519922247,7.374133480515804,200,False,0.45163055866269086,0.3214935183256977,0.06940895704674649
B1 argmax,B1 argmax,2058,S_gra,40,0.5183115252903883,0.5147159748253042,0.5219549218496923,0.49432208512656767,0.4916617352723402,0.49713702190059694,0.023989440163820597,0.02124646617150261,0.026299049392999804,0.0014132036707413316,0.04628382544721597,0.6169762946500914,0.12265420952352374,5.112841678919348,200,False,0.45626244879998673,0.32479073244944245,0.10144123315198697
B1 argmax,B1 argmax,2058,S_parti,4,0.5183115252903883,0.5147159748253042,0.5219549218496923,0.49155984196399644,0.4888367983247721,0.49412127180804294,0.02675168332639183,0.0238412174903976,0.02924011474771312,0.0013803078668496657,0.051613136156684884,0.6459452658614466,0.1543854238974502,5.77105455435552,200,False,0.4618658359543651,0.3287795073811839,0.1117491967121477
B2 argmax,B2 argmax,2058,S_ideo,5,0.530454035355639,0.5267079978249805,0.5341512289439585,0.502218891723356,0.5000276143620713,0.5042002898098015,0.028235143632282966,0.02560512045521165,0.031144707066500216,0.0013134412469503103,0.0532282568335123,0.6331375237169699,0.13091863199361387,4.636726262087316,200,False,0.45688222645957377,0.3252319215951688,0.11650323376766789
B2 argmax,B2 argmax,2058,S_fin,24,0.530454035355639,0.5267079978249805,0.5341512289439585,0.5030348379147577,0.5007709316719885,0.5054733632398537,0.027419197440881282,0.02463985000462775,0.03031295110447814,0.001324404813143102,0.05169005345109362,0.6118871187930954,0.10885228087833776,3.96992950333557,200,False,0.45163055866269086,0.3214935183256977,0.11445207251730578
