item,famille,retenu,retenu_strict,niveau_orientation,derive_agregee,position_moyenne,position_gauche,position_droite,gs_gauche,gs_droite,ratio_droite_gauche,log_ratio,gs_temoin_gauche,gs_temoin_droite,ratio_temoin_position,residu_log,derive_vague2,ratio_vague2
abnomore,avortement (ab*),True,True,[CONFIRME],-0.150190,0.349810,0.127098,0.665663,0.222422,0.446456,2.007249,0.696765,0.222422,0.446457,2.007249,-0.000000,-0.115019,1.870099
abhlth,avortement (ab*),True,True,[CONFIRME],-0.428707,0.071293,0.035971,0.117470,0.069521,0.207968,2.991426,1.095750,0.069521,0.207968,2.991426,0.000000,-0.428707,3.267931
abpoor,avortement (ab*),True,True,[CONFIRME],-0.167300,0.332700,0.105516,0.653614,0.189218,0.454173,2.400266,0.875580,0.189218,0.454173,2.400266,0.000000,-0.137833,2.075810
abrape,avortement (ab*),True,True,[CONFIRME],-0.384030,0.115970,0.033573,0.240964,0.065048,0.366906,5.640539,1.729980,0.065048,0.366906,5.640541,-0.000000,-0.378327,5.084831
absingle,avortement (ab*),True,True,[CONFIRME],-0.134981,0.365019,0.127098,0.677711,0.222422,0.438157,1.969937,0.678002,0.222422,0.438157,1.969937,-0.000000,-0.107414,1.878868
abany,avortement (ab*),True,True,[CONFIRME],-0.113118,0.386882,0.139089,0.713855,0.240062,0.409766,1.706918,0.534690,0.240062,0.409766,1.706919,-0.000000,-0.096958,1.497617
letdie1,fin de vie (suicide/letdie),True,True,[PROBABLE],-0.258555,0.241445,0.139089,0.379518,0.240062,0.472391,1.967789,0.676911,0.240062,0.472391,1.967789,-0.000000,-0.254753,1.855886
suicide1,fin de vie (suicide/letdie),True,False,[HYPOTHESE],-0.266160,0.233840,0.146283,0.355422,0.250369,0.459579,1.835605,0.607374,0.250369,0.459578,1.835605,-0.000000,-0.267110,1.899558
suicide2,fin de vie (suicide/letdie),True,False,[HYPOTHESE],0.245247,0.745247,0.649880,0.867470,0.456166,0.230626,0.505576,-0.682057,0.456166,0.230626,0.505576,-0.000000,0.270913,0.556025
suicide3,fin de vie (suicide/letdie),True,False,[HYPOTHESE],0.247148,0.747148,0.671463,0.855422,0.442262,0.248098,0.560976,-0.578077,0.442262,0.248098,0.560976,0.000000,0.276616,0.612151
suicide4,fin de vie (suicide/letdie),True,False,[HYPOTHESE],0.124525,0.624525,0.503597,0.774096,0.501176,0.350799,0.699952,-0.356744,0.501176,0.350799,0.699952,0.000000,0.152091,0.694642
pornlaw,residu : social,True,True,[PROBABLE],0.085551,0.585551,0.513189,0.647590,0.397021,0.500928,1.261718,0.232474,0.667920,0.624245,0.934610,0.300100,0.101711,1.599789
fair,residu : social,False,False,,,,,,0.649407,0.662924,1.020813,0.020599,,,,,,1.018860
helpful,residu : social,False,False,,,,,,0.658781,0.663033,1.006454,0.006434,,,,,,1.012443
trust,residu : social,False,False,,,,,,0.636783,0.572835,0.899577,-0.105831,,,,,,0.946775
tax,residu : economique,True,True,[PROBABLE],0.284221,0.784221,0.714628,0.852410,0.532328,0.412532,0.774959,-0.254945,0.572485,0.390643,0.682364,0.127246,0.282795,0.766905
vote16,residu : social,False,False,,,,,,0.457653,0.353802,0.773079,-0.257374,,,,,,0.700445
pres16,residu : social,False,False,,,,,,0.531221,0.488698,0.919952,-0.083434,,,,,,0.882241
if16who,residu : social,False,False,,,,,,0.295956,0.312944,1.057401,0.055814,,,,,,1.019816
news,residu : hors axe,False,False,,,,,,0.765299,0.754650,0.986085,-0.014013,,,,,,0.965423
jew,residu : hors axe,False,False,,,,,,0.355297,0.533851,1.502552,0.407165,,,,,,1.516477
relig16*,residu : hors axe,False,False,,,,,,0.762117,0.731336,0.959611,-0.041227,,,,,,0.949136
jew16*,residu : hors axe,False,False,,,,,,0.338602,0.476522,1.407322,0.341689,,,,,,1.276064
attend,residu : social,False,False,,,,,,0.667912,0.814964,1.220167,0.198988,,,,,,1.208308
pray,residu : social,False,False,,,,,,0.730527,0.773214,1.058433,0.056789,,,,,,1.035525
postlife,residu : social,False,False,,,,,,0.489762,0.281294,0.574349,-0.554518,,,,,,0.520373
bible,residu : social,False,False,,,,,,0.566431,0.632712,1.117014,0.110659,,,,,,1.117425
reborn,residu : social,False,False,,,,,,0.626626,0.624377,0.996411,-0.003596,,,,,,0.981252
savesoul,residu : social,False,False,,,,,,0.319614,0.501219,1.568205,0.449931,,,,,,1.381510
granborn,residu : hors axe,False,False,,,,,,0.647055,0.590198,0.912128,-0.091974,,,,,,0.875499
uscitzn*,residu : hors axe,False,False,,,,,,0.014319,0.012012,0.838851,-0.175722,,,,,,0.943128
fucitzn,residu : hors axe,False,False,,,,,,0.028569,0.023969,0.838973,-0.175577,,,,,,0.630372
mnthsusa,residu : hors axe,False,False,,,,,,0.033089,0.035599,1.075846,0.073107,,,,,,0.840717
income,residu : economique,False,False,,,,,,0.708714,0.695155,0.980869,-0.019316,,,,,,0.933884
othlang,residu : hors axe,False,False,,,,,,0.360427,0.344101,0.954705,-0.046353,,,,,,0.945262
health,residu : hors axe,False,False,,,,,,0.602022,0.615896,1.023045,0.022783,,,,,,0.974524
compuse*,residu : hors axe,False,False,,,,,,0.037724,0.029756,0.788802,-0.237240,,,,,,1.005319
webmob,residu : hors axe,False,False,,,,,,0.023750,0.058603,2.467469,0.903193,,,,,,1.402476
xmovie,residu : hors axe,False,False,,,,,,0.493106,0.433790,0.879709,-0.128164,,,,,,0.927757
usewww*,residu : hors axe,False,False,,,,,,0.028431,0.012012,0.422487,-0.861598,,,,,,0.943128
life,residu : hors axe,False,False,,,,,,0.524972,0.542915,1.034178,0.033607,,,,,,0.959395
richwork,residu : economique,False,False,,,,,,0.463083,0.494940,1.068793,0.066530,,,,,,1.019226
