A,B,C,C5,patrons,q5,polarisation,se_nul_A,se_nul_B,se_nul_C,se_nul_polarisation,source,taux,tirage,taille,taux_realise
-0.06843485767408919,0.04468239956316325,0.014285714285714285,0.043488824101068996,1683.45,0.07043492113841877,0.19741265802396366,0.0006332005431609759,6.084299583740775e-05,0.0,0.0,Demographics Only - GPT4.1-mini,0.1,5,2058,0.1000971817298348
-0.047759143178795815,0.03724478990285456,0.01549429657794677,0.045769961977186316,933.25,0.07316783595499751,0.2106537343382083,0.0003958960598236756,8.728379158439035e-05,0.0,0.0,Demographics Only - GPT4.1-mini,0.1,6,1052,0.08935361216730038
-0.06900674127453266,0.045106038193795106,0.013921282798833817,0.044800777453838675,1682.1,0.070849072370526,0.19942395259606235,0.00046991346990227955,6.828157726325152e-05,0.0,0.0,Demographics Only - GPT4.1-mini,0.1,6,2058,0.1000971817298348
-0.04752653428495457,0.03623998203890709,0.015209125475285171,0.04586501901140684,931.5,0.07216701457995375,0.21294637615067444,0.0006846312246820495,0.00012769548090157344,0.0,0.0,Demographics Only - GPT4.1-mini,0.1,7,1052,0.0903041825095057
-0.0691247212341265,0.04486304835662314,0.01345966958211856,0.04365889212827988,1683.55,0.0706629676147619,0.19291974059915173,0.0008028905886602728,5.4861171428820706e-05,0.0,0.0,Demographics Only - GPT4.1-mini,0.1,7,2058,0.1000971817298348
-0.057414751819445664,0.04258023803241874,0.0185361216730038,0.048859315589353615,922.15,0.07864477812902228,0.19530838799649425,0.0005359511962180102,9.754648396716934e-05,0.0,0.0,Demographics Only - GPT4.1-mini,0.1,8,1052,0.10171102661596958
-0.07104701445492645,0.04580019368180059,0.015330417881438288,0.043464528668610294,1679.9,0.0715987967755422,0.19943287863259473,0.0005040628425760955,7.965944685154672e-05,0.0,0.0,Demographics Only - GPT4.1-mini,0.1,8,2058,0.1000971817298348
-0.055492533937427035,0.04389305486844332,0.01749049429657795,0.05038022813688213,918.65,0.08003826109346478,0.19912796188175555,0.0003866508941772872,8.941886705526507e-05,0.0,0.0,Demographics Only - GPT4.1-mini,0.1,9,1052,0.1150190114068441
-0.06800182956293355,0.04521937568044512,0.014212827988338195,0.04361030126336248,1684.45,0.07099358164570607,0.20482405919029456,0.0006627646645428234,8.205280785454344e-05,0.0,0.0,Demographics Only - GPT4.1-mini,0.1,9,2058,0.1000971817298348
-0.04607076502174412,0.039905404447812744,0.015826996197718633,0.04653041825095057,934.45,0.07598759481355645,0.19508669222571043,0.000682186690014218,9.782369006596315e-05,0.0,0.0,Demographics Only - GPT4.1-mini,0.1,10,1052,0.10551330798479087
-0.06693222393774012,0.045175640796926916,0.013556851311953352,0.04212827988338193,1688.1,0.07094322505275764,0.19884604811625925,0.0006603987135790713,7.014949362103642e-05,0.0,0.0,Demographics Only - GPT4.1-mini,0.1,10,2058,0.1000971817298348
-0.051024266932854334,0.038746675905106255,0.015684410646387835,0.047528517110266164,928.5,0.07497679178656184,0.2104197239477969,0.0003699500144984328,0.00011639002147453025,0.0,0.0,Demographics Only - GPT4.1-mini,0.1,11,1052,0.09695817490494296
-0.06951428413549199,0.044593138841741896,0.014965986394557823,0.04487366375121477,1683.9,0.07039606971142702,0.1975563742987029,0.0005770278386473929,5.629142232374256e-05,0.0,0.0,Demographics Only - GPT4.1-mini,0.1,11,2058,0.1000971817298348
-0.10013594993721397,0.07081712591996209,0.029990494296577946,0.08008555133079849,867.1,0.10687370965018261,0.16627607081941684,0.00062847578302683,9.80947040011085e-05,0.0,0.0,Demographics Only - GPT4.1-mini,0.25,0,1052,0.24714828897338403
-0.11991319526348065,0.07993051415299639,0.02888726919339164,0.07779397473275025,1554.6,0.10569161914713888,0.17285851661081444,0.0007200878004052372,5.187136574020162e-05,0.0,0.0,Demographics Only - GPT4.1-mini,0.25,0,2058,0.24975704567541301
