perimetre,condition,item,sd_pred,sd_humain,ratio,n
1052,B0 mode,granborn,0.000000,0.413156,0.000000,1052
1052,B0 mode,income,0.000000,0.303977,0.000000,1052
1052,B0 mode,health,0.000000,0.247506,0.000000,1052
1052,B0 mode,life,0.000000,0.291455,0.000000,1052
1052,B0 tirage,natspac/y,0.349817,0.339938,1.029061,1052
1052,B0 tirage,natenvir/y,0.334579,0.345116,0.969468,1052
1052,B0 tirage,natheal/y,0.293262,0.293896,0.997842,1052
1052,B0 tirage,natcity/y,0.361305,0.359880,1.003960,1052
1052,B0 tirage,natdrug/y,0.327467,0.325348,1.006511,1052
1052,B0 tirage,nateduc/y,0.321047,0.315379,1.017971,1052
1052,B0 tirage,natrace/y,0.377486,0.385579,0.979011,1052
1052,B0 tirage,natarms/y,0.383733,0.377870,1.015518,1052
1052,B0 tirage,nataid/y,0.286025,0.288357,0.991914,1052
1052,B0 tirage,natfare/y,0.306849,0.318558,0.963243,1052
1052,B0 tirage,natroad,0.313991,0.317993,0.987416,1052
1052,B0 tirage,natsoc,0.271827,0.272502,0.997523,1052
1052,B0 tirage,natmass,0.313037,0.318037,0.984277,1052
1052,B0 tirage,natpark,0.270877,0.275028,0.984908,1052
1052,B0 tirage,natchld,0.331762,0.322694,1.028102,1052
1052,B0 tirage,natsci,0.306056,0.307142,0.996464,1052
1052,B0 tirage,natenrgy,0.354036,0.353109,1.002626,1052
1052,B0 tirage,courts,0.383509,0.385332,0.995270,1052
1052,B0 tirage,discaffw,0.317419,0.308573,1.028666,1052
1052,B0 tirage,discaffm,0.297591,0.300905,0.988987,1052
1052,B0 tirage,fehire,0.290547,0.289927,1.002140,1052
1052,B0 tirage,fechld,0.251656,0.258830,0.972284,1052
1052,B0 tirage,fepresch,0.274065,0.266904,1.026830,1052
1052,B0 tirage,fefam,0.308338,0.303904,1.014591,1052
1052,B0 tirage,mobile16,0.411435,0.410631,1.001956,1052
1052,B0 tirage,incom16,0.215866,0.212392,1.016357,1052
1052,B0 tirage,conarmy,0.328248,0.333390,0.984578,1052
1052,B0 tirage,conbus,0.308658,0.314966,0.979971,1052
1052,B0 tirage,conclerg,0.352229,0.347467,1.013705,1052
1052,B0 tirage,coneduc,0.316295,0.319801,0.989036,1052
1052,B0 tirage,confed,0.335430,0.335384,1.000137,1052
1052,B0 tirage,confinan,0.328662,0.328174,1.001486,1052
1052,B0 tirage,conjudge,0.368438,0.359087,1.026041,1052
1052,B0 tirage,conlabor,0.332937,0.332552,1.001158,1052
1052,B0 tirage,conlegis,0.307435,0.305105,1.007637,1052
1052,B0 tirage,conmedic,0.328097,0.330626,0.992350,1052
1052,B0 tirage,conpress,0.316142,0.318801,0.991658,1052
1052,B0 tirage,consci,0.336749,0.342139,0.984245,1052
1052,B0 tirage,contv,0.310943,0.312837,0.993946,1052
1052,B0 tirage,happy,0.333125,0.325906,1.022150,1052
1052,B0 tirage,class,0.263923,0.261780,1.008184,1052
1052,B0 tirage,satfin,0.383107,0.384606,0.996104,1052
