perimetre,segmentation,condition,quantite,reel,nul_moyenne,nul_bas,nul_haut,nul_ecart_type,replicats,d,z,part_reproduite,d_ic_bas,d_ic_haut,p
1052,S_fin,humains vague 2,"Q1b ratio inter, axe ideologie",1.0192567145957614,0.8901513842043299,0.8618398356764374,0.9220331445907272,0.01602285997205555,200,0.12910533039143146,8.057570909100862,0.873333843630714,0.0218324583626478,0.20603937684509296,0.018
1052,S_fin,humains vague 2,"Q2b ratio intra, axe ideologie",1.0025379128760048,1.008283544063366,1.0044882355446476,1.0116128160493678,0.0019165568123558807,200,-0.005745631187361155,-2.9978924445753727,1.0057310861899262,,,
1052,S_fin,humains vague 2,Q3 patrons distincts,727.5,785.6215,777.8225,793.0525,3.9501685925473757,200,-58.12149999999997,-14.713675793396632,1.0798920962199312,,,
1052,S_fin,humains vague 2,Q4 correlation inter items,0.09465706392350873,0.05144525057764481,0.05042768353252742,0.05265959285366925,0.000620709089771403,200,0.043211813345863916,69.61685281873046,0.5434908758549402,0.03707115935809523,0.04515225042962497,0.001
1052,S_fin,humains vague 2,Q5 correlation residualisee,0.06966594950345988,0.02526160169160679,0.024943991359923534,0.025657616042623656,0.0001830633017904257,200,0.04440434781185308,242.56280410962984,0.36261045563374117,0.03680530283922925,0.04264101232154934,0.001
1052,S_fin,humains vague 2,Q6 rapport groupe sur personne,0.5611882448502689,29.564977246844144,12.783743746369733,57.941103844817235,14.2537997493339,18,-29.003789001993876,-2.0348110336929115,52.68281636001196,,,
1052,S_fin,humains vague 2,Q7 rappel des cellules rares,0.5482571378525136,0.11142757050271503,0.10517603783499736,0.11881678052198283,0.0040472585837063,50,0.4368295673497986,107.93221098064099,0.20323961661341855,,,
1052,S_ideo,humains vague 2,"Q1 ratio inter, axe du nul",1.0192567145957614,1.1283080155951986,1.0867049774920576,1.169033175905671,0.021107546216122576,200,-0.10905130099943716,-5.1664603683842945,1.106991005737634,-0.21361287975804236,0.009140683908760126,0.088
1052,S_ideo,humains vague 2,"Q2 ratio intra, axe du nul",1.0025379128760048,0.9960292862759181,0.992165775442156,0.9997859947565,0.001959050447085308,200,0.006508626600086664,3.3223374159508015,0.9935078499112167,-0.003974126611310125,0.01737847238158628,0.204
1052,S_ideo,humains vague 2,"Q1b ratio inter, axe ideologie",1.0192567145957614,1.1283080155951986,1.0867049774920576,1.169033175905671,0.021107546216122576,200,-0.10905130099943716,-5.1664603683842945,1.106991005737634,-0.21361287975804236,0.009140683908760126,0.088
1052,S_ideo,humains vague 2,"Q2b ratio intra, axe ideologie",1.0025379128760048,0.9960292862759181,0.992165775442156,0.9997859947565,0.001959050447085308,200,0.006508626600086664,3.3223374159508015,0.9935078499112167,,,
1052,S_ideo,humains vague 2,Q3 patrons distincts,727.5,787.3227499999999,780.9825,794.655,3.6374614177096958,200,-59.82274999999993,-16.44629128126036,1.0822305841924398,,,
1052,S_ideo,humains vague 2,Q4 correlation inter items,0.09465706392350873,0.05115283943932386,0.04963611429861181,0.052532067059841585,0.0008178149087491307,200,0.04350422448418487,53.19568525685808,0.540401712445464,0.03714565070186149,0.044988659372173924,0.001
1052,S_ideo,humains vague 2,Q5 correlation residualisee,0.06920327993129805,0.024778685776960154,0.024481904545293885,0.025050914928656326,0.00015352374835640262,200,0.04442459415433789,289.3662682805724,0.3580565227769455,0.0370760532378763,0.04245140589244633,0.001
1052,S_ideo,humains vague 2,Q6 rapport groupe sur personne,0.5611882448502689,85.49131483045834,10.071334357634802,432.92141404820325,140.89871671249693,26,-84.93012658560806,-0.6027743088597998,152.3398175477969,,,
1052,S_ideo,humains vague 2,Q7 rappel des cellules rares,0.5482571378525136,0.08865300402872657,0.08102557365563146,0.09587055526361885,0.004018944790226108,50,0.45960413382378706,114.35940472273309,0.16169968051118208,,,
1052,S_fin,agents composite,"Q1 ratio inter, axe du nul",1.7526730282427623,2.145059181063083,2.109135845630651,2.183782404105328,0.020918763711199967,200,-0.39238615282032074,-18.75761676156015,1.223878696423901,-0.3580525667757392,-0.1418750920383319,0.001
1052,S_fin,agents composite,"Q2 ratio intra, axe du nul",0.8469621448588697,0.8175663288220304,0.8134233810832403,0.8215883297156086,0.0021598833381890397,200,0.029395816036839273,13.609909163652459,0.9652926447595394,0.017325098744892416,0.04137162564411249,0.001
1052,S_fin,agents composite,"Q1b ratio inter, axe ideologie",2.1563345653257056,1.8521465655236318,1.8079271369008136,1.9024199968314546,0.02418484693867849,200,0.3041879998020738,12.577627659722342,0.8589328369106176,0.09420352614464958,0.4292129174725028,0.001
1052,S_fin,agents composite,"Q2b ratio intra, axe ideologie",0.8432429594433889,0.8585109122426945,0.8548091633882052,0.8626114064215353,0.002081367720382095,200,-0.015267952799305595,-7.335538381705431,1.0181062321698882,,,
1052,S_fin,agents composite,Q3 patrons distincts,469.4,575.2669999999999,567.9475,581.8075,3.515698605315461,200,-105.86699999999996,-30.11264954280704,1.2255368555602897,,,
1052,S_fin,agents composite,Q4 correlation inter items,0.16433696110471846,0.09193640913858593,0.0899669086669463,0.0936345998340512,0.0009334562291669819,200,0.07240055196613253,77.56180708199132,0.5594384155613198,0.06459063779826785,0.0773198628025986,0.001
1052,S_fin,agents composite,Q5 correlation residualisee,0.11329945201804023,0.025279488734060326,0.024891377556022155,0.025667332218647962,0.00019919733066389966,200,0.0880199632839799,441.873206787563,0.22312101500751452,0.07664235713498473,0.08710869781807012,0.001
1052,S_fin,agents composite,Q6 rapport groupe sur personne,1.6219024975276797,12.436753579457024,6.033572695381916,34.70342476658784,7.64840636794528,50,-10.814851081929344,-1.4140005854362991,7.668003223630757,,,
1052,S_fin,agents composite,Q7 rappel des cellules rares,0.3068838675775092,0.11129444736381153,0.10574093536521281,0.11950867052023122,0.003390038869894316,50,0.19558942021369766,57.695332626022406,0.3626598173515982,,,
1052,S_ideo,agents composite,"Q1 ratio inter, axe du nul",2.1563345653257056,2.244864879018757,2.2074938007652976,2.289983940495947,0.023879358951833893,200,-0.08853031369305153,-3.70739909189449,1.0410559266250408,-0.27740264472716836,0.08753120961748176,0.374
1052,S_ideo,agents composite,"Q2 ratio intra, axe du nul",0.8432429594433889,0.8375529973627767,0.8338230899393526,0.8412562743407618,0.001988653228721231,200,0.005689962080612232,2.861213809644964,0.9932522862872545,-0.005808065214253877,0.01892058949737414,0.382
1052,S_ideo,agents composite,"Q1b ratio inter, axe ideologie",2.1563345653257056,2.244864879018757,2.2074938007652976,2.289983940495947,0.023879358951833893,200,-0.08853031369305153,-3.70739909189449,1.0410559266250408,-0.27740264472716836,0.08753120961748176,0.374
1052,S_ideo,agents composite,"Q2b ratio intra, axe ideologie",0.8432429594433889,0.8375529973627767,0.8338230899393526,0.8412562743407618,0.001988653228721231,200,0.005689962080612232,2.861213809644964,0.9932522862872545,,,
1052,S_ideo,agents composite,Q3 patrons distincts,469.4,573.52725,566.73875,579.7537500000001,3.787292948384692,200,-104.12725,-27.493846242977067,1.2218305283340434,,,
1052,S_ideo,agents composite,Q4 correlation inter items,0.16433696110471846,0.09368138880682704,0.09152394415733293,0.09567781947664933,0.001121440662741575,200,0.07065557229789142,63.00428961186447,0.5700567186899091,0.06204290225555896,0.07494329372014602,0.001
1052,S_ideo,agents composite,Q5 correlation residualisee,0.10867301337846631,0.024837666235558994,0.02450818600734299,0.02517606388517306,0.00017982349306056708,200,0.08383534714290732,466.20909045888897,0.22855413191735977,0.07306822342353073,0.08263810779163568,0.001
1052,S_ideo,agents composite,Q6 rapport groupe sur personne,1.6219024975276797,6.599202583629229,4.943209422660359,9.055974406844712,1.1502541544106926,50,-4.9773000861015495,-4.327130718907561,4.0688035154324105,,,
1052,S_ideo,agents composite,Q7 rappel des cellules rares,0.3068838675775092,0.09589069889647923,0.08974426344368541,0.10324487651077247,0.003418414586379229,50,0.21099316868102996,61.72252175664658,0.31246575342465754,,,
1052,S_fin,agents entretien (v3),"Q1 ratio inter, axe du nul",2.2268747108013796,2.5780021982563204,2.5375654168537802,2.6200953969928293,0.019590480728271034,200,-0.3511274874549408,-17.9233726994881,1.1576772531260107,-0.35016025919129945,-0.09404953962201425,0.001
1052,S_fin,agents entretien (v3),"Q2 ratio intra, axe du nul",0.7673986235888555,0.7409036354340844,0.7370526936522065,0.7447329970582567,0.0020756507405244374,200,0.026494988154771026,12.764665864776825,0.9654742824128831,0.013197257935155225,0.04150959117456956,0.001
1052,S_fin,agents entretien (v3),"Q1b ratio inter, axe ideologie",2.8260881263351005,2.514956988808655,2.4740745614556756,2.5614101019856848,0.022819335176221117,200,0.3111311375264454,13.634539969010996,0.8899074892155173,0.03862186738790063,0.4705720806765733,0.026
1052,S_fin,agents entretien (v3),"Q2b ratio intra, axe ideologie",0.7640937301050416,0.7796116680116202,0.7760548031098509,0.7836433158977919,0.001940245450757606,200,-0.015517937906578627,-7.9979251596850025,1.0203089454803476,,,
1052,S_fin,agents entretien (v3),Q3 patrons distincts,394.85,498.17524999999995,492.6775,504.455,3.1588195011275206,200,-103.32524999999993,-32.710083612918886,1.2616822844118019,,,
1052,S_fin,agents entretien (v3),Q4 correlation inter items,0.18408984509792975,0.11550862271131283,0.11358344589593962,0.11783149033726197,0.0010771626008793443,200,0.06858122238661692,63.6684028303902,0.6274578733545353,0.06111400707698407,0.07421145508602456,0.001
1052,S_fin,agents entretien (v3),Q5 correlation residualisee,0.11911782992794473,0.025010668371532915,0.024358172912917288,0.02554627088102106,0.00031584425652580274,200,0.09410716155641181,297.954322777827,0.2099657825084797,0.08195679105716837,0.09379372078352602,0.001
1052,S_fin,agents entretien (v3),Q6 rapport groupe sur personne,3.651130002889351,21.01510801163064,9.42033952636346,95.07278218091801,22.460486944203645,49,-17.36397800874129,-0.7730900069921411,5.7557819072452,,,
1052,S_fin,agents entretien (v3),Q7 rappel des cellules rares,0.2953231739358907,0.1178279908915747,0.11161762129970222,0.12338850937116833,0.003309199239921897,50,0.177495183044316,53.636898287364886,0.39897983392645314,,,
