genre,m,rho,beta,A,B,C,ecart_A,ecart_B,ecart_C,critere_deux_cibles,critere_trois_cibles
A*,5.0,0.3,0.9,0.003326402047366117,0.0022082550692224916,0.029562737642585553,12.123946437941076,20.062444938227696,4.209589324343628,20.062444938227696,20.062444938227696
A*,20.0,0.4,0.8,-0.0017792570298463262,0.002108198215702989,0.025095057034220533,10.989791923591584,20.11912443369345,7.6945123793721155,20.11912443369345,20.11912443369345
A*,20.0,0.4,1.1,0.0019056637670356036,0.0020985531144046624,0.03645437262357414,11.808348253656172,20.124588122147323,1.1660898562854198,20.124588122147323,20.124588122147323
A*,5.0,0.3,1.1,0.0014533100470041083,0.002068229137467216,0.03445817490494296,11.70786386840877,20.141765833147346,0.3910034236209271,20.141765833147346,20.141765833147346
A*,20.0,0.4,0.9,-0.002532938758405656,0.0019418881873927013,0.02785171102661597,10.82237151382639,20.213334556877914,5.544240707120495,20.213334556877914,20.213334556877914
A*,8.0,0.3,1.2,0.0070924664098908075,0.0017355778347943086,0.0403041825095057,12.960527735966194,20.330203779557994,4.169055467533373,20.330203779557994,20.330203779557994
A*,8.0,0.3,1.0,0.0033995030390292502,0.001723213613473662,0.032271863117870725,12.140184854655619,20.337207775802433,2.0963913016135862,20.337207775802433,20.337207775802433
A*,8.0,0.3,1.1,-0.0008738478386759452,0.0016945886766780924,0.034648288973384025,11.190916578796736,20.353423026614767,0.24270882553460937,20.353423026614767,20.353423026614767
A*,8.0,0.3,0.8,0.0013769215518915079,0.0015481208416310045,0.025237642585551327,11.690895176362137,20.436393085140665,7.58329143080738,20.436393085140665,20.436393085140665
A**,,0.3,1.2,0.004033269958312213,0.0015448225662101946,0.03479087452471483,12.280967778403552,20.438261468766402,0.13148787696986838,20.438261468766402,20.438261468766402
A*,8.0,0.3,0.9,0.001587373312121887,0.0013989170626421375,0.028612167300380225,11.737644246425075,20.520912981751486,4.951062314775224,20.520912981751486,20.520912981751486
A*,12.0,0.3,1.1,0.004629920266495446,0.0013920377500073536,0.03431558935361216,12.413505738788382,20.524809925894495,0.5022243721856681,20.524809925894495,20.524809925894495
A*,12.0,0.3,0.9,0.0017756084153787155,0.0013629488440453016,0.0279467680608365,11.779458180510609,20.541288002663705,5.470093408077339,20.541288002663705,20.541288002663705
A*,3.0,0.2,1.0,0.002823596383695448,0.0012413228157066893,0.03065589353612168,12.012254821899228,20.610185851029406,3.3568953853472925,20.610185851029406,20.610185851029406
A**,,0.3,1.1,-0.00282601393425308,0.0012364918747500703,0.03236692015209125,10.757268746739049,20.612922448138097,2.022244002570433,20.612922448138097,20.612922448138097
A*,12.0,0.3,1.2,0.005544073772403402,0.0011510509806316321,0.038640684410646386,12.61657282765088,20.661322398770483,2.8714777342780846,20.661322398770483,20.661322398770483
A*,12.0,0.3,1.0,0.007740500573432452,0.0010864172311363107,0.031606463878326996,13.104479938986128,20.69793566595403,2.615422394915704,20.69793566595403,20.69793566595403
A**,,0.3,1.0,-0.00238225746694376,0.001008020279013904,0.03046577946768061,10.855843366207264,20.742345414372558,3.505189983433613,20.742345414372558,20.742345414372558
A*,3.0,0.2,0.9,0.003622449507140857,0.0010037166857485603,0.0280893536121673,12.1897094585203,20.744783283307967,5.3588724595125985,20.744783283307967,20.744783283307967
A*,2.0,0.2,0.9,0.0031662883736346403,0.0009797305637283468,0.02865969581749049,12.08837930681747,20.758370771285694,4.913988665253645,20.758370771285694,20.758370771285694
A*,20.0,0.3,1.1,0.0024675045801437756,0.000905715350887161,0.03521863117870723,11.93315374593364,20.800298383168982,0.20217496872435461,20.800298383168982,20.800298383168982
A*,2.0,0.2,1.0,0.0016247835482963158,0.0008992305397366486,0.03231939163498099,11.74595443470801,20.803971852914163,2.05931765209201,20.803971852914163,20.803971852914163
A*,2.0,0.2,1.2,0.006737978063679817,0.0008788868321821415,0.038355513307984784,12.881782846803132,20.81549601182515,2.6490358371486025,20.81549601182515,20.81549601182515
A*,20.0,0.3,0.8,0.004131334521765839,0.0008680949578352172,0.025285171102661597,12.30275152182564,20.82160931612763,7.546217781285798,20.82160931612763,20.82160931612763
A**,,0.3,0.9,-0.0002841618301639426,0.0008666338134617618,0.02903992395437262,11.321907512286124,20.8224370148107,4.617399469081007,20.8224370148107,20.8224370148107
A*,3.0,0.2,0.8,0.005262367837235438,0.0008564496083429685,0.02561787072243346,12.553995586738777,20.82820609096639,7.286702234634739,20.82820609096639,20.82820609096639
A**,,0.3,0.8,-0.0010283623101064454,0.0008335859040002093,0.02609315589353612,11.156593236275226,20.841157759753113,6.915965739418945,20.841157759753113,20.841157759753113
A*,3.0,0.2,1.2,0.002760667974970321,0.0008305093264632385,0.03992395437262357,11.998276109698295,20.842900557536797,3.872466271360732,20.842900557536797,20.842900557536797
A*,8.0,0.2,1.0,-0.0017001106896598062,0.0007961876986214492,0.03003802281368822,11.00737323438012,20.862342829417322,3.838852829127828,20.862342829417322,20.862342829417322
A*,12.0,0.2,1.2,0.004875975028552859,0.0007370318687983449,0.03716730038022814,12.46816354396972,20.895853003586232,1.7221945991091194,20.895853003586232,20.895853003586232
A*,12.0,0.3,0.8,0.0028420693921847873,0.0007256164904048019,0.02552281368821293,12.016358355968965,20.90231950603097,7.360849533677898,20.90231950603097,20.90231950603097
A*,12.0,0.2,1.1,0.003426429770053141,0.0007097815454378611,0.033935361216730034,12.146166271175128,20.911289573146654,0.7988135683583035,20.911289573146654,20.911289573146654
A*,8.0,0.2,1.2,0.007143460636868659,0.000684704691228926,0.03854562737642585,12.971855427819108,20.925494931344865,2.79733043523492,20.925494931344865,20.925494931344865
A*,20.0,0.3,0.9,0.0007066490426343996,0.0006243238421601745,0.02804182509505703,11.542003019498159,20.959699045712142,5.39594610903418,20.959699045712142,20.959699045712142
A*,2.0,0.2,0.8,0.004344877561065941,0.0006075126373058515,0.025903041825095056,12.350187278574667,20.969222137592386,7.064260337505263,20.969222137592386,20.969222137592386
A**,,0.2,1.1,-0.0018916080157463377,0.0005837044562654187,0.03288973384030418,10.964834640717209,20.982708826828183,1.6144338578330566,20.982708826828183,20.982708826828183
A*,5.0,0.2,1.1,0.004542479467230076,0.0005820164173848362,0.03483840304182509,12.394081923816527,20.983665055099532,0.09441422744829166,20.983665055099532,20.983665055099532
A*,3.0,0.2,1.1,0.0004661100823663,0.0005681087792489443,0.0346958174904943,11.488570476600298,20.991543355135317,0.20563517601302184,20.991543355135317,20.991543355135317
