condition,item,n_cellules,distance,entropie_humaine,entropie_simulee,ratio_entropie,ecart_desirabilite,perimetre,camp,n_personnes,classe_norc,type,classe_comportement,pole_endogroupe
B0 mode,natfare/y,63,0.111111,0.849180,0.000000,0.000000,0.111111,150,gauche,63,mixte,ordinal 3 et plus,attitude,droite_bas
B0 tirage,natfare/y,63,0.142857,0.849180,1.322253,1.557093,-0.142857,150,gauche,63,mixte,ordinal 3 et plus,attitude,droite_bas
B1 argmax,natfare/y,63,0.095238,0.849180,0.214524,0.252625,0.095238,150,gauche,63,mixte,ordinal 3 et plus,attitude,droite_bas
B2 argmax,natfare/y,63,0.103175,0.849180,0.129045,0.151964,0.103175,150,gauche,63,mixte,ordinal 3 et plus,attitude,droite_bas
B3 foret,natfare/y,63,0.111111,0.849180,0.000000,0.000000,0.111111,150,gauche,63,mixte,ordinal 3 et plus,attitude,droite_bas
humains vague 2,natfare/y,63,0.023810,0.849180,0.679577,0.800274,0.023810,150,gauche,63,mixte,ordinal 3 et plus,attitude,droite_bas
agents composite,natroad,63,0.039683,1.244595,1.192538,0.958174,-0.023810,150,gauche,63,sensible,ordinal 3 et plus,attitude,droite_bas
agents entretien (v3),natroad,63,0.142857,1.244595,1.153682,0.926954,-0.142857,150,gauche,63,sensible,ordinal 3 et plus,attitude,droite_bas
agents enquete,natroad,63,0.047619,1.244595,1.009814,0.811359,0.000000,150,gauche,63,sensible,ordinal 3 et plus,attitude,droite_bas
agents demographiques (v6),natroad,63,0.142857,1.244595,1.029809,0.827425,-0.126984,150,gauche,63,sensible,ordinal 3 et plus,attitude,droite_bas
agents v7,natroad,63,0.055556,1.244595,1.185010,0.952125,-0.039683,150,gauche,63,sensible,ordinal 3 et plus,attitude,droite_bas
agents v8,natroad,63,0.087302,1.244595,0.944807,0.759128,0.087302,150,gauche,63,sensible,ordinal 3 et plus,attitude,droite_bas
C2,natroad,63,0.023810,1.244595,1.009814,0.811359,0.023810,150,gauche,63,sensible,ordinal 3 et plus,attitude,droite_bas
C3,natroad,63,0.190476,1.244595,0.641033,0.515053,0.190476,150,gauche,63,sensible,ordinal 3 et plus,attitude,droite_bas
B0 mode,natroad,63,0.261905,1.244595,0.000000,0.000000,0.261905,150,gauche,63,sensible,ordinal 3 et plus,attitude,droite_bas
B0 tirage,natroad,63,0.031746,1.244595,1.394491,1.120437,-0.031746,150,gauche,63,sensible,ordinal 3 et plus,attitude,droite_bas
B1 argmax,natroad,63,0.126984,1.244595,0.852687,0.685112,0.126984,150,gauche,63,sensible,ordinal 3 et plus,attitude,droite_bas
B2 argmax,natroad,63,0.206349,1.244595,0.514708,0.413555,0.206349,150,gauche,63,sensible,ordinal 3 et plus,attitude,droite_bas
B3 foret,natroad,63,0.158730,1.244595,0.745896,0.599308,0.158730,150,gauche,63,sensible,ordinal 3 et plus,attitude,droite_bas
humains vague 2,natroad,63,0.063492,1.244595,1.291030,1.037309,-0.063492,150,gauche,63,sensible,ordinal 3 et plus,attitude,droite_bas
agents composite,natsoc,63,0.015873,0.874571,0.951230,1.087654,-0.000000,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
agents entretien (v3),natsoc,63,0.055556,0.874571,0.980513,1.121137,-0.055556,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
agents enquete,natsoc,63,0.031746,0.874571,1.033261,1.181449,-0.031746,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
agents demographiques (v6),natsoc,63,0.015873,0.874571,0.995836,1.138658,-0.015873,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
agents v7,natsoc,63,0.071429,0.874571,1.097860,1.255313,-0.071429,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
agents v8,natsoc,63,0.015873,0.874571,0.828957,0.947845,0.015873,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
C2,natsoc,63,0.349206,0.874571,1.334300,1.525663,-0.349206,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
C3,natsoc,63,0.087302,0.874571,0.723745,0.827543,0.055556,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
B0 mode,natsoc,63,0.142857,0.874571,0.000000,0.000000,0.142857,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
B0 tirage,natsoc,63,0.039683,0.874571,1.017223,1.163111,-0.007937,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
B1 argmax,natsoc,63,0.055556,0.874571,0.679577,0.777041,0.055556,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
B2 argmax,natsoc,63,0.119048,0.874571,0.287645,0.328899,0.119048,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
B3 foret,natsoc,63,0.142857,0.874571,0.000000,0.000000,0.142857,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
humains vague 2,natsoc,63,0.039683,0.874571,1.049413,1.199918,-0.039683,150,gauche,63,temoin,ordinal 3 et plus,attitude,droite_bas
