condition,item,n_cellules,distance,entropie_humaine,entropie_simulee,ratio_entropie,ecart_desirabilite,perimetre,camp,n_personnes,classe_norc,type,classe_comportement,pole_endogroupe
agents entretien (v3),finalter,416,0.052867,1.575899,1.500942,0.952435,-0.052867,1052,gauche,417,temoin,ordinal 3 et plus,auto evaluation,
agents enquete,finalter,417,0.092326,1.575899,1.416038,0.898559,-0.092326,1052,gauche,417,temoin,ordinal 3 et plus,auto evaluation,
agents demographiques (v6),finalter,417,0.201439,1.575899,0.910745,0.577921,-0.043165,1052,gauche,417,temoin,ordinal 3 et plus,auto evaluation,
agents v7,finalter,417,0.201439,1.575899,0.898850,0.570373,0.038369,1052,gauche,417,temoin,ordinal 3 et plus,auto evaluation,
agents v8,finalter,417,0.231415,1.575899,0.665923,0.422567,0.046763,1052,gauche,417,temoin,ordinal 3 et plus,auto evaluation,
B0 mode,finalter,417,0.302158,1.575899,0.000000,0.000000,-0.007194,1052,gauche,417,temoin,ordinal 3 et plus,auto evaluation,
B0 tirage,finalter,417,0.039568,1.575899,1.568117,0.995062,-0.039568,1052,gauche,417,temoin,ordinal 3 et plus,auto evaluation,
B1 argmax,finalter,417,0.049161,1.575899,1.500386,0.952083,0.032374,1052,gauche,417,temoin,ordinal 3 et plus,auto evaluation,
B2 argmax,finalter,417,0.191847,1.575899,0.977806,0.620475,-0.031175,1052,gauche,417,temoin,ordinal 3 et plus,auto evaluation,
B3 foret,finalter,417,0.133094,1.575899,1.256898,0.797576,0.022782,1052,gauche,417,temoin,ordinal 3 et plus,auto evaluation,
humains vague 2,finalter,417,0.022782,1.575899,1.586998,1.007043,0.003597,1052,gauche,417,temoin,ordinal 3 et plus,auto evaluation,
agents composite,finrela,417,0.032374,2.000655,2.045948,1.022639,0.032374,1052,gauche,417,temoin,ordinal 3 et plus,auto evaluation,
agents entretien (v3),finrela,417,0.032974,2.000655,2.144327,1.071812,0.014988,1052,gauche,417,temoin,ordinal 3 et plus,auto evaluation,
agents enquete,finrela,417,0.042566,2.000655,1.713156,0.856297,-0.004197,1052,gauche,417,temoin,ordinal 3 et plus,auto evaluation,
agents demographiques (v6),finrela,417,0.112110,2.000655,1.802144,0.900777,-0.112110,1052,gauche,417,temoin,ordinal 3 et plus,auto evaluation,
agents v7,finrela,417,0.139089,2.000655,1.048012,0.523835,0.088729,1052,gauche,417,temoin,ordinal 3 et plus,auto evaluation,
agents v8,finrela,416,0.166595,2.000655,0.572738,0.286275,0.116370,1052,gauche,417,temoin,ordinal 3 et plus,auto evaluation,
B0 mode,finrela,417,0.196643,2.000655,0.000000,0.000000,0.089928,1052,gauche,417,temoin,ordinal 3 et plus,auto evaluation,
B0 tirage,finrela,417,0.014388,2.000655,2.028606,1.013971,-0.008393,1052,gauche,417,temoin,ordinal 3 et plus,auto evaluation,
B1 argmax,finrela,417,0.035971,2.000655,1.781616,0.890517,0.008393,1052,gauche,417,temoin,ordinal 3 et plus,auto evaluation,
B2 argmax,finrela,417,0.080935,2.000655,1.237878,0.618736,-0.017386,1052,gauche,417,temoin,ordinal 3 et plus,auto evaluation,
B3 foret,finrela,417,0.091727,2.000655,1.413537,0.706537,0.020983,1052,gauche,417,temoin,ordinal 3 et plus,auto evaluation,
humains vague 2,finrela,417,0.011990,2.000655,2.008343,1.003843,-0.008393,1052,gauche,417,temoin,ordinal 3 et plus,auto evaluation,
agents composite,racdif1,417,0.019185,0.702046,0.740592,1.054905,-0.019185,1052,gauche,417,temoin,binaire,attitude,droite_bas
agents entretien (v3),racdif1,416,0.069256,0.702046,0.531647,0.757283,0.069256,1052,gauche,417,temoin,binaire,attitude,droite_bas
agents enquete,racdif1,417,0.009592,0.702046,0.721735,1.028046,-0.009592,1052,gauche,417,temoin,binaire,attitude,droite_bas
agents demographiques (v6),racdif1,417,0.081535,0.702046,0.495321,0.705539,0.081535,1052,gauche,417,temoin,binaire,attitude,droite_bas
agents v7,racdif1,417,0.141487,0.702046,0.279404,0.397985,0.141487,1052,gauche,417,temoin,binaire,attitude,droite_bas
agents v8,racdif1,417,0.184652,0.702046,0.045582,0.064927,0.184652,1052,gauche,417,temoin,binaire,attitude,droite_bas
B0 mode,racdif1,417,0.189448,0.702046,0.000000,0.000000,0.189448,1052,gauche,417,temoin,binaire,attitude,droite_bas
B0 tirage,racdif1,417,0.302158,0.702046,1.001527,1.426582,-0.302158,1052,gauche,417,temoin,binaire,attitude,droite_bas
B1 argmax,racdif1,417,0.160671,0.702046,0.189951,0.270567,0.160671,1052,gauche,417,temoin,binaire,attitude,droite_bas
B2 argmax,racdif1,417,0.115108,0.702046,0.383647,0.546469,0.115108,1052,gauche,417,temoin,binaire,attitude,droite_bas
B3 foret,racdif1,417,0.177458,0.702046,0.095447,0.135955,0.177458,1052,gauche,417,temoin,binaire,attitude,droite_bas
humains vague 2,racdif1,417,0.023981,0.702046,0.749717,1.067902,-0.023981,1052,gauche,417,temoin,binaire,attitude,droite_bas
agents composite,racdif2,417,0.052758,0.319387,0.045582,0.142716,0.052758,1052,gauche,417,temoin,binaire,attitude,droite_bas
agents entretien (v3),racdif2,416,0.057554,0.319387,0.000000,0.000000,0.057554,1052,gauche,417,temoin,binaire,attitude,droite_bas
agents enquete,racdif2,417,0.047962,0.319387,0.079808,0.249879,0.047962,1052,gauche,417,temoin,binaire,attitude,droite_bas
agents demographiques (v6),racdif2,417,0.057554,0.319387,0.000000,0.000000,0.057554,1052,gauche,417,temoin,binaire,attitude,droite_bas
agents v7,racdif2,417,0.052758,0.319387,0.045582,0.142716,0.052758,1052,gauche,417,temoin,binaire,attitude,droite_bas
agents v8,racdif2,417,0.057554,0.319387,0.000000,0.000000,0.057554,1052,gauche,417,temoin,binaire,attitude,droite_bas
B0 mode,racdif2,417,0.057554,0.319387,0.000000,0.000000,0.057554,1052,gauche,417,temoin,binaire,attitude,droite_bas
B0 tirage,racdif2,417,0.004796,0.319387,0.299728,0.938447,0.004796,1052,gauche,417,temoin,binaire,attitude,droite_bas
B1 argmax,racdif2,417,0.057554,0.319387,0.000000,0.000000,0.057554,1052,gauche,417,temoin,binaire,attitude,droite_bas
B2 argmax,racdif2,417,0.057554,0.319387,0.000000,0.000000,0.057554,1052,gauche,417,temoin,binaire,attitude,droite_bas
B3 foret,racdif2,417,0.057554,0.319387,0.000000,0.000000,0.057554,1052,gauche,417,temoin,binaire,attitude,droite_bas
humains vague 2,racdif2,417,0.000000,0.319387,0.319387,1.000000,0.000000,1052,gauche,417,temoin,binaire,attitude,droite_bas
agents composite,racdif3,417,0.045564,0.857964,0.912663,1.063755,-0.045564,1052,gauche,417,temoin,binaire,attitude,droite_bas
agents entretien (v3),racdif3,416,0.085864,0.857964,0.712958,0.830989,0.085864,1052,gauche,417,temoin,binaire,attitude,droite_bas
agents enquete,racdif3,416,0.189229,0.857964,0.442681,0.515967,0.189229,1052,gauche,417,temoin,binaire,attitude,droite_bas
agents demographiques (v6),racdif3,417,0.273381,0.857964,0.063287,0.073764,0.273381,1052,gauche,417,temoin,binaire,attitude,droite_bas
agents v7,racdif3,417,0.258993,0.857964,0.151967,0.177125,0.258993,1052,gauche,417,temoin,binaire,attitude,droite_bas
agents v8,racdif3,415,0.278166,0.857964,0.026167,0.030499,0.278166,1052,gauche,417,temoin,binaire,attitude,droite_bas
B0 mode,racdif3,417,0.532374,0.857964,0.696990,0.812377,-0.532374,1052,gauche,417,temoin,binaire,attitude,droite_bas
B0 tirage,racdif3,417,0.215827,0.857964,1.001693,1.167523,-0.215827,1052,gauche,417,temoin,binaire,attitude,droite_bas
B1 argmax,racdif3,417,0.167866,0.857964,0.509766,0.594158,0.167866,1052,gauche,417,temoin,binaire,attitude,droite_bas
B2 argmax,racdif3,417,0.165468,0.857964,0.516863,0.602430,0.165468,1052,gauche,417,temoin,binaire,attitude,droite_bas
B3 foret,racdif3,417,0.239808,0.857964,0.247529,0.288508,0.239808,1052,gauche,417,temoin,binaire,attitude,droite_bas
humains vague 2,racdif3,417,0.004796,0.857964,0.864397,1.007499,-0.004796,1052,gauche,417,temoin,binaire,attitude,droite_bas
agents composite,racdif4,417,0.088729,0.530815,0.201981,0.380511,0.088729,1052,gauche,417,temoin,binaire,attitude,droite_bas
agents entretien (v3),racdif4,416,0.083846,0.530815,0.225649,0.425100,0.083846,1052,gauche,417,temoin,binaire,attitude,droite_bas
agents enquete,racdif4,416,0.059808,0.530815,0.329561,0.620858,0.059808,1052,gauche,417,temoin,binaire,attitude,droite_bas
agents demographiques (v6),racdif4,417,0.119904,0.530815,0.000000,0.000000,0.119904,1052,gauche,417,temoin,binaire,attitude,droite_bas
agents v7,racdif4,417,0.105516,0.530815,0.110380,0.207945,0.105516,1052,gauche,417,temoin,binaire,attitude,droite_bas
agents v8,racdif4,415,0.117494,0.530815,0.026167,0.049296,0.117494,1052,gauche,417,temoin,binaire,attitude,droite_bas
B0 mode,racdif4,417,0.119904,0.530815,0.000000,0.000000,0.119904,1052,gauche,417,temoin,binaire,attitude,droite_bas
B0 tirage,racdif4,417,0.165468,0.530815,0.864397,1.628434,-0.165468,1052,gauche,417,temoin,binaire,attitude,droite_bas
B1 argmax,racdif4,417,0.117506,0.530815,0.026058,0.049091,0.117506,1052,gauche,417,temoin,binaire,attitude,droite_bas
B2 argmax,racdif4,417,0.110312,0.530815,0.079808,0.150350,0.110312,1052,gauche,417,temoin,binaire,attitude,droite_bas
B3 foret,racdif4,417,0.117506,0.530815,0.026058,0.049091,0.117506,1052,gauche,417,temoin,binaire,attitude,droite_bas
humains vague 2,racdif4,417,0.019185,0.530815,0.583577,1.099399,-0.019185,1052,gauche,417,temoin,binaire,attitude,droite_bas
agents composite,wlthwhts,416,0.062245,1.806986,0.881777,0.487982,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
agents entretien (v3),wlthwhts,416,0.105907,1.806986,1.200628,0.664437,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
agents enquete,wlthwhts,416,0.091422,1.806986,1.044859,0.578233,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
agents demographiques (v6),wlthwhts,417,0.104716,1.806986,0.912216,0.504827,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
agents v7,wlthwhts,416,0.109913,1.806986,1.005333,0.556359,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
agents v8,wlthwhts,415,0.136822,1.806986,1.203158,0.665837,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
B0 mode,wlthwhts,417,0.105915,1.806986,0.000000,0.000000,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
B0 tirage,wlthwhts,417,0.023181,1.806986,1.722092,0.953019,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
B1 argmax,wlthwhts,417,0.041966,1.806986,1.217456,0.673749,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
B2 argmax,wlthwhts,417,0.084333,1.806986,0.557785,0.308683,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
B3 foret,wlthwhts,417,0.089528,1.806986,0.465382,0.257546,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
humains vague 2,wlthwhts,417,0.015987,1.806986,1.928593,1.067298,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
agents composite,wlthblks,416,0.141767,1.737850,1.347131,0.775171,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
agents entretien (v3),wlthblks,399,0.200219,1.737850,0.886093,0.509879,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
agents enquete,wlthblks,415,0.185824,1.737850,0.821915,0.472949,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
agents demographiques (v6),wlthblks,412,0.185379,1.737850,0.473733,0.272597,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
agents v7,wlthblks,411,0.186928,1.737850,0.317723,0.182825,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
agents v8,wlthblks,375,0.199447,1.737850,0.561311,0.322992,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
B0 mode,wlthblks,417,0.089528,1.737850,0.000000,0.000000,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
B0 tirage,wlthblks,417,0.023981,1.737850,1.798903,1.035131,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
B1 argmax,wlthblks,417,0.064748,1.737850,0.745378,0.428908,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
B2 argmax,wlthblks,417,0.077138,1.737850,0.383647,0.220759,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
B3 foret,wlthblks,417,0.086731,1.737850,0.124726,0.071770,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
humains vague 2,wlthblks,417,0.011191,1.737850,1.871642,1.076987,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
agents composite,wlthhsps,417,0.092326,1.927388,1.435903,0.744999,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
agents entretien (v3),wlthhsps,417,0.111111,1.927388,1.577224,0.818322,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
agents enquete,wlthhsps,416,0.063180,1.927388,1.500056,0.778284,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
agents demographiques (v6),wlthhsps,417,0.032774,1.927388,1.605399,0.832940,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
agents v7,wlthhsps,416,0.049312,1.927388,1.463557,0.759347,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
agents v8,wlthhsps,417,0.142686,1.927388,1.365345,0.708391,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
B0 mode,wlthhsps,417,0.055556,1.927388,0.980716,0.508832,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
B0 tirage,wlthhsps,417,0.023181,1.927388,1.842503,0.955958,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
B1 argmax,wlthhsps,417,0.052358,1.927388,1.258486,0.652949,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
B2 argmax,wlthhsps,417,0.081535,1.927388,0.720441,0.373791,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
B3 foret,wlthhsps,417,0.067946,1.927388,0.834140,0.432783,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
humains vague 2,wlthhsps,417,0.005596,1.927388,1.965437,1.019741,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
agents composite,racwork,417,0.182254,2.178999,1.942016,0.891243,,1052,gauche,417,temoin,nominal,comportement,
agents entretien (v3),racwork,417,0.191847,2.178999,2.012518,0.923597,,1052,gauche,417,temoin,nominal,comportement,
agents enquete,racwork,416,0.111551,2.178999,1.839898,0.844378,,1052,gauche,417,temoin,nominal,comportement,
agents demographiques (v6),racwork,417,0.302158,2.178999,1.356941,0.622736,,1052,gauche,417,temoin,nominal,comportement,
agents v7,racwork,416,0.162678,2.178999,1.966198,0.902340,,1052,gauche,417,temoin,nominal,comportement,
agents v8,racwork,417,0.179856,2.178999,1.747404,0.801930,,1052,gauche,417,temoin,nominal,comportement,
B0 mode,racwork,417,0.623501,2.178999,0.000000,0.000000,,1052,gauche,417,temoin,nominal,comportement,
B0 tirage,racwork,417,0.045564,2.178999,2.144051,0.983962,,1052,gauche,417,temoin,nominal,comportement,
B1 argmax,racwork,417,0.187050,2.178999,1.686308,0.773891,,1052,gauche,417,temoin,nominal,comportement,
B2 argmax,racwork,417,0.311751,2.178999,1.257043,0.576890,,1052,gauche,417,temoin,nominal,comportement,
B3 foret,racwork,417,0.326139,2.178999,1.135845,0.521269,,1052,gauche,417,temoin,nominal,comportement,
humains vague 2,racwork,417,0.043165,2.178999,2.133856,0.979283,,1052,gauche,417,temoin,nominal,comportement,
agents composite,letin1a,417,0.106115,2.095859,1.376668,0.656851,-0.004197,1052,gauche,417,temoin,ordinal 3 et plus,attitude,droite_bas
agents entretien (v3),letin1a,417,0.091127,2.095859,1.847903,0.881692,0.091127,1052,gauche,417,temoin,ordinal 3 et plus,attitude,droite_bas
agents enquete,letin1a,417,0.161871,2.095859,1.445713,0.689795,0.135492,1052,gauche,417,temoin,ordinal 3 et plus,attitude,droite_bas
agents demographiques (v6),letin1a,417,0.160072,2.095859,0.806845,0.384971,-0.060552,1052,gauche,417,temoin,ordinal 3 et plus,attitude,droite_bas
agents v7,letin1a,414,0.106115,2.095859,1.598840,0.762857,0.064375,1052,gauche,417,temoin,ordinal 3 et plus,attitude,droite_bas
agents v8,letin1a,417,0.282374,2.095859,1.289430,0.615228,0.282374,1052,gauche,417,temoin,ordinal 3 et plus,attitude,droite_bas
B0 mode,letin1a,417,0.200240,2.095859,0.000000,0.000000,-0.050360,1052,gauche,417,temoin,ordinal 3 et plus,attitude,droite_bas
B0 tirage,letin1a,417,0.188249,2.095859,2.130106,1.016340,-0.188249,1052,gauche,417,temoin,ordinal 3 et plus,attitude,droite_bas
B1 argmax,letin1a,417,0.088729,2.095859,1.519731,0.725112,-0.013189,1052,gauche,417,temoin,ordinal 3 et plus,attitude,droite_bas
B2 argmax,letin1a,417,0.131295,2.095859,0.982080,0.468581,-0.004197,1052,gauche,417,temoin,ordinal 3 et plus,attitude,droite_bas
B3 foret,letin1a,417,0.185252,2.095859,0.260406,0.124248,-0.056954,1052,gauche,417,temoin,ordinal 3 et plus,attitude,droite_bas
humains vague 2,letin1a,417,0.018585,2.095859,2.005529,0.956901,-0.001799,1052,gauche,417,temoin,ordinal 3 et plus,attitude,droite_bas
agents composite,getahead,417,0.091127,1.309661,0.818055,0.624631,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
agents entretien (v3),getahead,417,0.142686,1.309661,0.614627,0.469302,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
agents enquete,getahead,416,0.176207,1.309661,0.303823,0.231986,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
agents demographiques (v6),getahead,417,0.171463,1.309661,0.299728,0.228859,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
agents v7,getahead,416,0.156976,1.309661,0.479861,0.366401,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
agents v8,getahead,417,0.177458,1.309661,0.736045,0.562012,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
B0 mode,getahead,417,0.197842,1.309661,0.000000,0.000000,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
B0 tirage,getahead,417,0.087530,1.309661,1.320405,1.008204,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
B1 argmax,getahead,417,0.122302,1.309661,0.739502,0.564652,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
B2 argmax,getahead,417,0.141487,1.309661,0.528239,0.403340,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
B3 foret,getahead,417,0.179856,1.309661,0.225235,0.171980,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
humains vague 2,getahead,417,0.009592,1.309661,1.287508,0.983085,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
agents composite,aged,417,0.053957,1.198060,1.286041,1.073437,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
agents entretien (v3),aged,417,0.053957,1.198060,0.962310,0.803224,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
agents enquete,aged,416,0.099298,1.198060,0.692834,0.578296,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
agents demographiques (v6),aged,417,0.136691,1.198060,0.502585,0.419499,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
agents v7,aged,416,0.075260,1.198060,0.882766,0.736830,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
agents v8,aged,417,0.134293,1.198060,0.516863,0.431417,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
B0 mode,aged,417,0.191847,1.198060,0.000000,0.000000,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
B0 tirage,aged,417,0.025180,1.198060,1.208336,1.008578,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
B1 argmax,aged,417,0.112710,1.198060,0.631893,0.527430,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
B2 argmax,aged,417,0.176259,1.198060,0.201981,0.168590,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
B3 foret,aged,417,0.182254,1.198060,0.138568,0.115660,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
humains vague 2,aged,417,0.005995,1.198060,1.174469,0.980309,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
agents composite,parsol,417,0.056355,2.249286,2.074057,0.922096,-0.056355,1052,gauche,417,temoin,ordinal 3 et plus,auto evaluation,
agents entretien (v3),parsol,416,0.044775,2.249286,2.058976,0.915391,-0.012000,1052,gauche,417,temoin,ordinal 3 et plus,auto evaluation,
agents enquete,parsol,417,0.059353,2.249286,1.855645,0.824993,-0.001799,1052,gauche,417,temoin,ordinal 3 et plus,auto evaluation,
agents demographiques (v6),parsol,417,0.146283,2.249286,1.466433,0.651955,0.080336,1052,gauche,417,temoin,ordinal 3 et plus,auto evaluation,
agents v7,parsol,416,0.222814,2.249286,1.165623,0.518219,0.162879,1052,gauche,417,temoin,ordinal 3 et plus,auto evaluation,
agents v8,parsol,417,0.282374,2.249286,0.427153,0.189906,0.217626,1052,gauche,417,temoin,ordinal 3 et plus,auto evaluation,
B0 mode,parsol,417,0.248801,2.249286,0.000000,0.000000,-0.007794,1052,gauche,417,temoin,ordinal 3 et plus,auto evaluation,
B0 tirage,parsol,417,0.021583,2.249286,2.248772,0.999772,0.017986,1052,gauche,417,temoin,ordinal 3 et plus,auto evaluation,
B1 argmax,parsol,417,0.025779,2.249286,2.132559,0.948105,0.000600,1052,gauche,417,temoin,ordinal 3 et plus,auto evaluation,
B2 argmax,parsol,417,0.094125,2.249286,1.749502,0.777803,-0.040168,1052,gauche,417,temoin,ordinal 3 et plus,auto evaluation,
B3 foret,parsol,417,0.092326,2.249286,1.716149,0.762975,0.026379,1052,gauche,417,temoin,ordinal 3 et plus,auto evaluation,
humains vague 2,parsol,417,0.007794,2.249286,2.278102,1.012811,-0.006595,1052,gauche,417,temoin,ordinal 3 et plus,auto evaluation,
agents composite,kidssol,417,0.251799,2.293743,1.666292,0.726451,,1052,gauche,417,non teste,nominal,auto evaluation,
agents entretien (v3),kidssol,416,0.268441,2.293743,1.673720,0.729689,,1052,gauche,417,non teste,nominal,auto evaluation,
agents enquete,kidssol,417,0.366906,2.293743,1.192810,0.520028,,1052,gauche,417,non teste,nominal,auto evaluation,
agents demographiques (v6),kidssol,417,0.386091,2.293743,1.137433,0.495885,,1052,gauche,417,non teste,nominal,auto evaluation,
agents v7,kidssol,416,0.514925,2.293743,1.119816,0.488204,,1052,gauche,417,non teste,nominal,auto evaluation,
agents v8,kidssol,417,0.671463,2.293743,0.742558,0.323732,,1052,gauche,417,non teste,nominal,auto evaluation,
B0 mode,kidssol,417,0.628297,2.293743,0.000000,0.000000,,1052,gauche,417,non teste,nominal,auto evaluation,
B0 tirage,kidssol,417,0.122302,2.293743,2.427355,1.058250,,1052,gauche,417,non teste,nominal,auto evaluation,
B1 argmax,kidssol,417,0.199041,2.293743,1.728021,0.753363,,1052,gauche,417,non teste,nominal,auto evaluation,
B2 argmax,kidssol,417,0.467626,2.293743,0.951287,0.414731,,1052,gauche,417,non teste,nominal,auto evaluation,
B3 foret,kidssol,417,0.374101,2.293743,1.087920,0.474299,,1052,gauche,417,non teste,nominal,auto evaluation,
humains vague 2,kidssol,417,0.033573,2.293743,2.351407,1.025140,,1052,gauche,417,non teste,nominal,auto evaluation,
agents composite,spanking,417,0.080735,1.794711,1.427496,0.795391,0.075939,1052,gauche,417,temoin,ordinal 3 et plus,attitude,
agents entretien (v3),spanking,416,0.160297,1.794711,1.256196,0.699944,0.160297,1052,gauche,417,temoin,ordinal 3 et plus,attitude,
agents enquete,spanking,417,0.111910,1.794711,1.329268,0.740659,0.111910,1052,gauche,417,temoin,ordinal 3 et plus,attitude,
agents demographiques (v6),spanking,417,0.147082,1.794711,1.125652,0.627205,-0.097522,1052,gauche,417,temoin,ordinal 3 et plus,attitude,
agents v7,spanking,416,0.109151,1.794711,1.428995,0.796226,0.020072,1052,gauche,417,temoin,ordinal 3 et plus,attitude,
agents v8,spanking,417,0.214229,1.794711,0.958241,0.533925,0.214229,1052,gauche,417,temoin,ordinal 3 et plus,attitude,
B0 mode,spanking,417,0.393285,1.794711,0.000000,0.000000,-0.350120,1052,gauche,417,temoin,ordinal 3 et plus,attitude,
B0 tirage,spanking,417,0.143885,1.794711,1.964057,1.094359,-0.143885,1052,gauche,417,temoin,ordinal 3 et plus,attitude,
B1 argmax,spanking,417,0.076739,1.794711,1.555514,0.866722,0.076739,1052,gauche,417,temoin,ordinal 3 et plus,attitude,
B2 argmax,spanking,417,0.179856,1.794711,1.079138,0.601288,0.179856,1052,gauche,417,temoin,ordinal 3 et plus,attitude,
B3 foret,spanking,417,0.075939,1.794711,1.397931,0.778917,0.075939,1052,gauche,417,temoin,ordinal 3 et plus,attitude,
humains vague 2,spanking,417,0.007994,1.794711,1.793315,0.999222,-0.006395,1052,gauche,417,temoin,ordinal 3 et plus,attitude,
agents composite,divlaw,417,0.062350,1.284724,1.068526,0.831717,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
agents entretien (v3),divlaw,417,0.091127,1.284724,1.081133,0.841530,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
agents enquete,divlaw,417,0.068345,1.284724,1.086746,0.845899,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
agents demographiques (v6),divlaw,417,0.185851,1.284724,0.918969,0.715305,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
agents v7,divlaw,415,0.095103,1.284724,1.118030,0.870250,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
agents v8,divlaw,417,0.143885,1.284724,0.925836,0.720650,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
B0 mode,divlaw,417,0.266187,1.284724,0.000000,0.000000,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
B0 tirage,divlaw,417,0.080336,1.284724,1.443102,1.123278,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
B1 argmax,divlaw,417,0.032374,1.284724,1.022127,0.795601,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
B2 argmax,divlaw,417,0.061151,1.284724,0.999900,0.778300,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
B3 foret,divlaw,417,0.058753,1.284724,0.980716,0.763367,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
humains vague 2,divlaw,417,0.013189,1.284724,1.328473,1.034053,,1052,gauche,417,non teste,ordinal 3 et plus,attitude,
agents composite,sexeduc,417,0.031175,0.268973,0.110380,0.410376,0.031175,1052,gauche,417,temoin,binaire,attitude,
agents entretien (v3),sexeduc,417,0.023981,0.268973,0.151967,0.564989,0.023981,1052,gauche,417,temoin,binaire,attitude,
agents enquete,sexeduc,417,0.038369,0.268973,0.063287,0.235291,0.038369,1052,gauche,417,temoin,binaire,attitude,
agents demographiques (v6),sexeduc,417,0.004796,0.268973,0.247529,0.920275,0.004796,1052,gauche,417,temoin,binaire,attitude,
agents v7,sexeduc,415,0.016648,0.268973,0.190663,0.708853,0.016648,1052,gauche,417,temoin,binaire,attitude,
agents v8,sexeduc,417,0.040767,0.268973,0.045582,0.169466,0.040767,1052,gauche,417,temoin,binaire,attitude,
B0 mode,sexeduc,417,0.045564,0.268973,0.000000,0.000000,0.045564,1052,gauche,417,temoin,binaire,attitude,
B0 tirage,sexeduc,417,0.079137,0.268973,0.544452,2.024186,-0.079137,1052,gauche,417,temoin,binaire,attitude,
B1 argmax,sexeduc,417,0.043165,0.268973,0.026058,0.096880,0.043165,1052,gauche,417,temoin,binaire,attitude,
B2 argmax,sexeduc,417,0.045564,0.268973,0.000000,0.000000,0.045564,1052,gauche,417,temoin,binaire,attitude,
