modele,cle_modele,identite,camp,item,famille,n_modalites,tv_decrit_reel,tv_plancher_w1_w2,part_modale_reelle,modalite_modale_reelle,part_decrite_de_cette_modalite,part_modale_decrite,gs_decrit,gs_reel_w1,pos_decrit,pos_reel_w1,derive_agregee,exces_de_variete,deficit_sur_la_modale
Qwen3-4B-Instruct-2507,q4,adversaire,droite,nataid/y,depenses publiques (nat*),3,0.7584337349397592,0.018072289156626453,0.858433734939759,Too much,0.1,0.65,0.5049999999999999,0.2487117143271882,0.225,0.9171686746987951,0.317966,0.2562882856728117,-0.7584337349397591
Qwen3-4B-Instruct-2507,q4,adversaire,droite,hunt1,hors famille,4,0.7572289156626507,0.012048192771084362,0.8072289156626506,"Neither hunt (you don't hunt, if you don't have a spouse/partner)",0.05,0.45,0.6499999999999999,0.33306720859340977,,,,0.31693279140659014,-0.7572289156626506
gpt-oss-20b,oss20,adversaire,gauche,spjew,hors famille,5,0.7520383693045565,0.011990407673860878,0.7817745803357314,Inapplicable (I currently do not have a spouse OR my spouse is not Jewish),0.1,0.6,0.595,0.3590451379903271,,,,0.23595486200967286,-0.6817745803357315
gpt-oss-20b,oss20,journaliste,gauche,spjew,hors famille,5,0.7520383693045565,0.011990407673860878,0.7817745803357314,Inapplicable (I currently do not have a spouse OR my spouse is not Jewish),0.1,0.6,0.595,0.3590451379903271,,,,0.23595486200967286,-0.6817745803357315
Qwen3-30B-A3B-Instruct-2507,q30,journaliste,gauche,jew,hors famille,5,0.738968824940048,0.021582733812949624,0.7889688249400479,Inapplicable (not Jewish),0.05,0.35,0.7382,0.35444450195239496,,,,0.383755498047605,-0.7389688249400479
Qwen3-30B-A3B-Instruct-2507,q30,adversaire,gauche,jew,hors famille,5,0.738968824940048,0.021582733812949624,0.7889688249400479,Inapplicable (not Jewish),0.05,0.4,0.7282,0.35444450195239496,,,,0.373755498047605,-0.7389688249400479
gpt-oss-20b,oss20,journaliste,gauche,jew,hors famille,5,0.7389688249400479,0.021582733812949624,0.7889688249400479,Inapplicable (not Jewish),0.05,0.6,0.59,0.35444450195239496,,,,0.235555498047605,-0.7389688249400479
gpt-oss-20b,oss20,adversaire,gauche,jew,hors famille,5,0.7389688249400479,0.021582733812949624,0.7889688249400479,Inapplicable (not Jewish),0.05,0.6,0.59,0.35444450195239496,,,,0.235555498047605,-0.7389688249400479
Qwen3-4B-Instruct-2507,q4,adversaire,droite,jew16*,hors famille,5,0.7253012048192771,0.01807228915662649,0.6987951807228916,Inapplicable (not raised as a Jew),0.05,0.4,0.69,0.4750870953694295,,,,0.21491290463057044,-0.6487951807228916
Qwen3-4B-Instruct-2507,q4,journaliste,droite,jew16*,hors famille,5,0.7253012048192771,0.01807228915662649,0.6987951807228916,Inapplicable (not raised as a Jew),0.05,0.45,0.6799999999999999,0.4750870953694295,,,,0.20491290463057044,-0.6487951807228916
Qwen3-4B-Instruct-2507,q4,adversaire,centre,union1,hors famille,4,0.7108910891089109,0.01980198019801975,0.9108910891089108,"Neither belongs (You don't belong, if you don't have a spouse/partner)",0.2,0.45,0.695,0.1669553093923255,,,,0.5280446906076744,-0.7108910891089109
Qwen3-4B-Instruct-2507,q4,journaliste,centre,union1,hors famille,4,0.7108910891089109,0.01980198019801975,0.9108910891089108,"Neither belongs (You don't belong, if you don't have a spouse/partner)",0.2,0.45,0.695,0.1669553093923255,,,,0.5280446906076744,-0.7108910891089109
Qwen3-4B-Instruct-2507,q4,journaliste,droite,hunt1,hors famille,4,0.7072289156626508,0.012048192771084362,0.8072289156626506,"Neither hunt (you don't hunt, if you don't have a spouse/partner)",0.1,0.45,0.675,0.33306720859340977,,,,0.3419327914065903,-0.7072289156626507
