retrait,condition,metrique,moyenne_groupe,moyenne_temoin,n_groupe,n_temoin,difference,ic_items_bas,ic_items_haut,p_permutation
polattak/y,B0 tirage,distance,0.032753,0.045479,11,65,-0.012726,-0.025278,-0.000267,0.216878
polattak/y,B0 tirage,ratio_entropie,0.972273,0.982040,11,65,-0.009767,-0.059959,0.044738,0.768823
polattak/y,B1 argmax,distance,0.097247,0.104308,11,65,-0.007060,-0.035433,0.023906,0.659034
polattak/y,B1 argmax,ratio_entropie,0.691450,0.689480,11,65,0.001970,-0.181720,0.161194,0.979202
polattak/y,B2 argmax,distance,0.132096,0.135744,11,65,-0.003648,-0.045993,0.048540,0.880112
polattak/y,B2 argmax,ratio_entropie,0.576325,0.564591,11,65,0.011734,-0.182611,0.195373,0.899210
polattak/y,B3 foret,distance,0.142323,0.158846,11,65,-0.016523,-0.060160,0.028662,0.507349
polattak/y,B3 foret,ratio_entropie,0.534266,0.455807,11,65,0.078459,-0.129127,0.273412,0.452855
polattak/y,C2,distance,0.246187,0.210103,11,65,0.036084,-0.056026,0.139912,0.477652
polattak/y,C2,ratio_entropie,0.805281,0.653068,11,65,0.152214,-0.217904,0.669474,0.289171
polattak/y,C3,distance,0.238611,0.210308,11,65,0.028303,-0.065199,0.137711,0.611639
polattak/y,C3,ratio_entropie,0.851749,0.693007,11,65,0.158743,-0.157691,0.600944,0.273273
polattak/y,agents composite,distance,0.104114,0.074561,11,65,0.029553,-0.007155,0.065104,0.108989
polattak/y,agents composite,ratio_entropie,0.947569,0.918357,11,65,0.029212,-0.205598,0.328946,0.679232
polattak/y,agents demographiques (v6),distance,0.177804,0.151278,11,65,0.026527,-0.037914,0.098691,0.432557
polattak/y,agents demographiques (v6),ratio_entropie,0.488226,0.594463,11,65,-0.106237,-0.299779,0.078431,0.322068
polattak/y,agents enquete,distance,0.121566,0.094807,11,65,0.026759,-0.008278,0.063167,0.163684
polattak/y,agents enquete,ratio_entropie,0.714255,0.886792,11,65,-0.172537,-0.293490,-0.064164,0.025397
polattak/y,agents entretien (v3),distance,0.144610,0.091066,11,65,0.053544,-0.000056,0.119920,0.020398
polattak/y,agents entretien (v3),ratio_entropie,0.655462,0.884885,11,65,-0.229423,-0.450088,-0.027237,0.006699
polattak/y,agents v7,distance,0.185907,0.165317,11,65,0.020589,-0.039362,0.088709,0.487251
polattak/y,agents v7,ratio_entropie,0.510756,0.607700,11,65,-0.096943,-0.253508,0.048810,0.237876
polattak/y,agents v8,distance,0.156667,0.117462,11,65,0.039205,-0.022935,0.112331,0.201680
polattak/y,agents v8,ratio_entropie,0.591037,0.819892,11,65,-0.228856,-0.469480,-0.003390,0.036796
polattak/y,humains vague 2,distance,0.018056,0.026735,11,65,-0.008679,-0.015531,-0.001658,0.130687
polattak/y,humains vague 2,ratio_entropie,0.983971,1.003578,11,65,-0.019608,-0.049401,0.009355,0.391061
vote16,B0 mode,distance,0.254747,0.284026,11,65,-0.029278,-0.098111,0.039190,0.519148
vote16,B0 mode,ratio_entropie,0.092728,0.018466,11,65,0.074262,-0.025804,0.206862,0.069193
vote16,B0 tirage,distance,0.036389,0.045479,11,65,-0.009090,-0.024540,0.008346,0.389261
vote16,B0 tirage,ratio_entropie,0.976199,0.982040,11,65,-0.005841,-0.052765,0.043013,0.852615
vote16,B1 argmax,distance,0.116641,0.104308,11,65,0.012334,-0.029642,0.061646,0.490551
vote16,B1 argmax,ratio_entropie,0.654821,0.689480,11,65,-0.034658,-0.219785,0.129506,0.677232
vote16,B2 argmax,distance,0.132096,0.135744,11,65,-0.003648,-0.045538,0.048312,0.888511
vote16,B2 argmax,ratio_entropie,0.594461,0.564591,11,65,0.029871,-0.155687,0.201064,0.739526
vote16,B3 foret,distance,0.159899,0.158846,11,65,0.001053,-0.054872,0.063706,0.968703
vote16,B3 foret,ratio_entropie,0.489012,0.455807,11,65,0.033204,-0.178289,0.236654,0.746725
vote16,C2,distance,0.215278,0.210103,11,65,0.005175,-0.068443,0.084118,0.917408
vote16,C2,ratio_entropie,0.846957,0.653068,11,65,0.193889,-0.179831,0.698810,0.183382
vote16,C3,distance,0.218005,0.210308,11,65,0.007697,-0.066671,0.084372,0.884612
vote16,C3,ratio_entropie,0.880936,0.693007,11,65,0.187929,-0.115459,0.629927,0.200980
vote16,agents composite,distance,0.136841,0.074561,11,65,0.062280,0.005477,0.130857,0.006999
vote16,agents composite,ratio_entropie,0.918808,0.918357,11,65,0.000452,-0.232051,0.300728,0.994801
vote16,agents demographiques (v6),distance,0.208140,0.151278,11,65,0.056862,-0.015063,0.132765,0.090991
vote16,agents demographiques (v6),ratio_entropie,0.409663,0.594463,11,65,-0.184799,-0.379944,0.008243,0.082392
vote16,agents enquete,distance,0.147626,0.094807,11,65,0.052819,-0.000247,0.117081,0.014099
vote16,agents enquete,ratio_entropie,0.640677,0.886792,11,65,-0.246115,-0.421857,-0.095995,0.002500
vote16,agents entretien (v3),distance,0.172071,0.091066,11,65,0.081005,0.012225,0.158803,0.003300
vote16,agents entretien (v3),ratio_entropie,0.572929,0.884885,11,65,-0.311956,-0.537105,-0.088933,0.000900
vote16,agents v7,distance,0.206513,0.165317,11,65,0.041195,-0.027371,0.118835,0.181882
vote16,agents v7,ratio_entropie,0.447599,0.607700,11,65,-0.160101,-0.324776,0.004235,0.059194
vote16,agents v8,distance,0.170602,0.117462,11,65,0.053140,-0.020086,0.137787,0.090291
vote16,agents v8,ratio_entropie,0.553680,0.819892,11,65,-0.266212,-0.521959,-0.021500,0.016798
vote16,humains vague 2,distance,0.023510,0.026735,11,65,-0.003225,-0.012437,0.007903,0.589441
