source,camp,mode,lecture,statistique,taux_total,valeur_moyenne,reference,s0,z,p_bilateral,puissance_empirique,n_tirages,tau_etoile_holm3,courbe_a,courbe_b,courbe_r2
B0 segment,gauche,concentre,global,C,0.05,0.02678231939163498,0.0272338403041825,0.0009241516858999,-0.48857879008016797,0.6251399320541093,0.0,10,,-0.00913529603740734,0.007993976455706165,0.9960498089322675
B0 segment,gauche,concentre,global,C,0.1,0.026444866920152094,0.0272338403041825,0.0009241516858999,-0.8537271489821906,0.3932561878132305,0.0,10,,-0.00913529603740734,0.007993976455706165,0.9960498089322675
B0 segment,gauche,concentre,global,C,0.2,0.025736692015209128,0.0272338403041825,0.0009241516858999,-1.6200244092132052,0.10522703361659892,0.1,10,,-0.00913529603740734,0.007993976455706165,0.9960498089322675
B0 segment,gauche,concentre,global,C,0.3,0.02520437262357414,0.0272338403041825,0.0009241516858999,-2.196033088044579,0.02808957516996404,0.3,10,,-0.00913529603740734,0.007993976455706165,0.9960498089322675
B0 segment,gauche,concentre,camp,A,0.02,-0.059884973117294585,-0.06641698872465052,0.006870305986010267,0.9507605077061804,0.3417259644736473,0.0,10,0.08225,0.29420517532958695,-0.2902997201756248,0.999863698850324
B0 segment,gauche,concentre,camp,A,0.05,-0.05241268539213921,-0.06641698872465052,0.006870305986010267,2.0383813124230152,0.04151181370819031,0.2,10,0.08225,0.29420517532958695,-0.2902997201756248,0.999863698850324
B0 segment,gauche,concentre,camp,A,0.1,-0.03961802831964238,-0.06641698872465052,0.006870305986010267,3.900693864229308,9.591738087449412e-05,1.0,10,0.08225,0.29420517532958695,-0.2902997201756248,0.999863698850324
B0 segment,gauche,concentre,camp,A,0.2,-0.01969568266298185,-0.06641698872465052,0.006870305986010267,6.8004694633405585,1.0427877382273483e-11,1.0,10,0.08225,0.29420517532958695,-0.2902997201756248,0.999863698850324
B0 segment,gauche,concentre,camp,A,0.3,-0.004091965278367559,-0.06641698872465052,0.006870305986010267,9.071651768231712,1.1722623008090126e-19,1.0,10,0.08225,0.29420517532958695,-0.2902997201756248,0.999863698850324
B0 segment,gauche,concentre,camp,B,0.02,0.04104244158678309,0.04486270517831272,0.003097012554661067,-1.2335318388619554,0.21737740551467383,0.0,10,0.06225,-0.16838603432888857,0.11774124242496951,0.9997195119149054
B0 segment,gauche,concentre,camp,B,0.05,0.03614524231389023,0.04486270517831272,0.003097012554661067,-2.8147973928302403,0.0048807994515585925,0.9,10,0.06225,-0.16838603432888857,0.11774124242496951,0.9997195119149054
B0 segment,gauche,concentre,camp,B,0.1,0.029590669175640683,0.04486270517831272,0.003097012554661067,-4.931215399720389,8.171956221317128e-07,1.0,10,0.06225,-0.16838603432888857,0.11774124242496951,0.9997195119149054
B0 segment,gauche,concentre,camp,B,0.2,0.016016213444880086,0.04486270517831272,0.003097012554661067,-9.314296026994814,1.2276391715988186e-20,1.0,10,0.06225,-0.16838603432888857,0.11774124242496951,0.9997195119149054
B0 segment,gauche,concentre,camp,B,0.3,0.004865239741475041,0.04486270517831272,0.003097012554661067,-12.914854147633557,3.7114665498686703e-38,1.0,10,0.06225,-0.16838603432888857,0.11774124242496951,0.9997195119149054
B0 segment,gauche,concentre,camp,C,0.02,0.033908872901678655,0.03477218225419664,0.0018824072242574841,-0.45861986789735104,0.6465071667332871,0.0,10,0.41500000000000004,-0.023046358348567626,0.020167058108881173,0.9960498089322671
B0 segment,gauche,concentre,camp,C,0.05,0.033633093525179854,0.03477218225419664,0.0018824072242574841,-0.6051234368090048,0.5450969828465303,0.0,10,0.41500000000000004,-0.023046358348567626,0.020167058108881173,0.9960498089322671
B0 segment,gauche,concentre,camp,C,0.1,0.03278177458033574,0.03477218225419664,0.0018824072242574841,-1.0573735843188876,0.2903411223601012,0.0,10,0.41500000000000004,-0.023046358348567626,0.020167058108881173,0.9960498089322671
B0 segment,gauche,concentre,camp,C,0.2,0.03099520383693045,0.03477218225419664,0.0018824072242574841,-2.0064619220509106,0.0448069874505033,0.2,10,0.41500000000000004,-0.023046358348567626,0.020167058108881173,0.9960498089322671
