statistique,source_evaluee,calibration,source_calibration,taux_vrai,taux_estime_median,erreur_absolue_mediane,erreur_quadratique_moyenne,n_tirages
A,IM m=10 mode des m,croisee,PMM k=10,0.5,1.0,0.5,0.5,20
A,IM m=10 mode des m,croisee,agents composite,0.05,0.048875,0.00835,0.01582172556960839,20
A,IM m=10 mode des m,croisee,agents composite,0.1,0.094475,0.00945,0.01775802987383454,20
A,IM m=10 mode des m,croisee,agents composite,0.25,0.210875,0.03912499999999999,0.048261839221065736,20
A,IM m=10 mode des m,croisee,agents composite,0.5,0.35905000000000004,0.14094999999999996,0.14824006880732346,20
A,IM m=10 mode des m,croisee,agents demographiques (v6),0.05,0.024625,0.025375,0.02685221592345779,20
A,IM m=10 mode des m,croisee,agents demographiques (v6),0.1,0.049,0.051000000000000004,0.04982300046163418,20
A,IM m=10 mode des m,croisee,agents demographiques (v6),0.25,0.117125,0.132875,0.13493199259256494,20
A,IM m=10 mode des m,croisee,agents demographiques (v6),0.5,0.2158,0.2842,0.2881127973554802,20
A,IM m=10 mode des m,croisee,agents v8,0.05,0.011925000000000002,0.038075000000000005,0.038365669875554106,20
A,IM m=10 mode des m,croisee,agents v8,0.1,0.0238,0.07620000000000002,0.07527534041769589,20
A,IM m=10 mode des m,croisee,agents v8,0.25,0.057425000000000004,0.192575,0.19331051672115512,20
A,IM m=10 mode des m,croisee,agents v8,0.5,0.10705,0.39295,0.39474525947121897,20
A,IM m=10 mode des m,croisee,humains vague 2,0.05,0.297725,0.24772500000000003,0.2784816329221732,20
A,IM m=10 mode des m,croisee,humains vague 2,0.1,0.799775,0.699775,0.732074473329046,20
A,IM m=10 mode des m,croisee,humains vague 2,0.25,1.0,0.75,0.75,20
A,IM m=10 mode des m,croisee,humains vague 2,0.5,1.0,0.5,0.5,20
A,IM m=10 mode des m,agnostique,moyenne des sources a modele de langage,0.05,0.02075,0.02925,0.030252855237150756,20
A,IM m=10 mode des m,agnostique,moyenne des sources a modele de langage,0.1,0.039625,0.060375000000000005,0.059329326643743394,20
A,IM m=10 mode des m,agnostique,moyenne des sources a modele de langage,0.25,0.08625,0.16375,0.16494036611757595,20
A,IM m=10 mode des m,agnostique,moyenne des sources a modele de langage,0.5,0.143625,0.356375,0.3584497438623719,20
A,PMM k=10,propre,PMM k=10,0.05,0.06180000000000001,0.02545,0.036810435001504674,20
A,PMM k=10,propre,PMM k=10,0.1,0.0887,0.043325,0.04157036654878088,20
A,PMM k=10,propre,PMM k=10,0.25,0.225225,0.038325,0.0767126749631376,20
A,PMM k=10,propre,PMM k=10,0.5,0.49140000000000006,0.07082499999999997,0.09448393514243572,20
A,PMM k=10,croisee,B0 segment,0.05,0.0,0.05,0.04962640929988791,20
A,PMM k=10,croisee,B0 segment,0.1,0.0,0.1,0.10000000000000002,20
A,PMM k=10,croisee,B0 segment,0.25,0.0,0.25,0.25,20
A,PMM k=10,croisee,B0 segment,0.5,0.0,0.5,0.5,20
A,PMM k=10,croisee,C2,0.05,0.009174999999999999,0.040825,0.04156139284239642,20
A,PMM k=10,croisee,C2,0.1,0.0128,0.0872,0.08629804096849476,20
A,PMM k=10,croisee,C2,0.25,0.028725,0.221275,0.219230736896084,20
A,PMM k=10,croisee,C2,0.5,0.05065,0.44935,0.4488766247533948,20
A,PMM k=10,croisee,C3,0.05,0.0204,0.0296,0.0326313116500088,20
A,PMM k=10,croisee,C3,0.1,0.0271,0.0729,0.07206209648629437,20
A,PMM k=10,croisee,C3,0.25,0.052375000000000005,0.197625,0.1950529610772418,20
A,PMM k=10,croisee,C3,0.5,0.08177500000000001,0.41822499999999996,0.4177521247701799,20
A,PMM k=10,croisee,E2 regression contexte tirage,0.05,0.0,0.05,0.04891590871076608,20
A,PMM k=10,croisee,E2 regression contexte tirage,0.1,0.0,0.1,0.10000000000000002,20
A,PMM k=10,croisee,E2 regression contexte tirage,0.25,0.0,0.25,0.25,20
A,PMM k=10,croisee,E2 regression contexte tirage,0.5,0.0,0.5,0.5,20
A,PMM k=10,croisee,IM m=10 mode des m,0.05,0.02875,0.02125,0.027531420686190532,20
A,PMM k=10,croisee,IM m=10 mode des m,0.1,0.04095,0.059050000000000005,0.057965482185521416,20
A,PMM k=10,croisee,IM m=10 mode des m,0.25,0.099575,0.15042499999999998,0.14387830838941634,20
A,PMM k=10,croisee,IM m=10 mode des m,0.5,0.1962,0.30379999999999996,0.3019565877324089,20
A,PMM k=10,croisee,agents composite,0.05,0.0293,0.020700000000000003,0.027226336055371097,20
A,PMM k=10,croisee,agents composite,0.1,0.041225,0.05877500000000001,0.05789257832399591,20
A,PMM k=10,croisee,agents composite,0.25,0.09485,0.15515,0.14953022687737755,20
A,PMM k=10,croisee,agents composite,0.5,0.17220000000000002,0.3278,0.3265699098202405,20
A,PMM k=10,croisee,agents demographiques (v6),0.05,0.014575000000000001,0.035425,0.03688459705622389,20
A,PMM k=10,croisee,agents demographiques (v6),0.1,0.02065,0.07935,0.077895916934073,20
A,PMM k=10,croisee,agents demographiques (v6),0.25,0.049174999999999996,0.200825,0.1969074265359232,20
A,PMM k=10,croisee,agents demographiques (v6),0.5,0.09355,0.40645,0.4053771529390871,20
A,PMM k=10,croisee,agents v8,0.05,0.0070750000000000006,0.042925000000000005,0.04338729220635923,20
A,PMM k=10,croisee,agents v8,0.1,0.010025,0.089975,0.08913078312233098,20
A,PMM k=10,croisee,agents v8,0.25,0.0239,0.2261,0.22402794942819076,20
A,PMM k=10,croisee,agents v8,0.5,0.045725,0.454275,0.4536789984394252,20
A,PMM k=10,croisee,humains vague 2,0.05,0.1648,0.11480000000000001,0.15126936446286804,20
A,PMM k=10,croisee,humains vague 2,0.1,0.243025,0.143025,0.22313006352797915,20
A,PMM k=10,croisee,humains vague 2,0.25,0.8071,0.5571,0.5806010945563227,20
A,PMM k=10,croisee,humains vague 2,0.5,1.0,0.5,0.5,20
A,PMM k=10,agnostique,moyenne des sources a modele de langage,0.05,0.0125,0.037500000000000006,0.038666393677197264,20
A,PMM k=10,agnostique,moyenne des sources a modele de langage,0.1,0.017525,0.082475,0.08131677717420926,20
A,PMM k=10,agnostique,moyenne des sources a modele de langage,0.25,0.03975,0.21025,0.20742216401580618,20
A,PMM k=10,agnostique,moyenne des sources a modele de langage,0.5,0.07095000000000001,0.42905,0.42841625071301864,20
A,agents composite,propre,agents composite,0.05,0.050175000000000004,0.009475,0.011457606643623268,20
A,agents composite,propre,agents composite,0.1,0.09055,0.015299999999999994,0.02242865633514411,20
A,agents composite,propre,agents composite,0.25,0.258875,0.015674999999999994,0.022156717378709338,20
A,agents composite,propre,agents composite,0.5,0.499725,0.01067499999999999,0.017150699694181575,20
A,agents composite,croisee,B0 segment,0.05,0.0,0.05,0.05000000000000001,20
A,agents composite,croisee,B0 segment,0.1,0.0,0.1,0.10000000000000002,20
A,agents composite,croisee,B0 segment,0.25,0.0,0.25,0.25,20
A,agents composite,croisee,B0 segment,0.5,0.0,0.5,0.5,20
A,agents composite,croisee,C2,0.05,0.015525,0.034475,0.03519632438195784,20
A,agents composite,croisee,C2,0.1,0.027475,0.072525,0.07305746453990859,20
A,agents composite,croisee,C2,0.25,0.07427500000000001,0.175725,0.17672404689232304,20
A,agents composite,croisee,C2,0.5,0.13677499999999998,0.363225,0.3634508890483004,20
A,agents composite,croisee,C3,0.05,0.031825000000000006,0.018175,0.020132802835174244,20
A,agents composite,croisee,C3,0.1,0.05055,0.04945000000000001,0.050850655108857744,20
A,agents composite,croisee,C3,0.25,0.11030000000000001,0.1397,0.14097819246252236,20
A,agents composite,croisee,C3,0.5,0.1791,0.3209,0.3211378356718498,20
A,agents composite,croisee,E2 regression contexte tirage,0.05,0.0,0.05,0.05000000000000001,20
A,agents composite,croisee,E2 regression contexte tirage,0.1,0.0,0.1,0.10000000000000002,20
A,agents composite,croisee,E2 regression contexte tirage,0.25,0.0,0.25,0.25,20
A,agents composite,croisee,E2 regression contexte tirage,0.5,0.0,0.5,0.5,20
