condition,perimetre,segmentation,exactitude_vraie,exactitude_permutee,permutee_bas,permutee_haut,chute,chute_relative,exactitude_reassignation_optimale,part_recuperee_par_reassignation,permutations
agents v8,1052,S_fin,0.559145890218695,0.549256290351392,0.5474199032842524,0.551095069793554,0.009889599867302978,0.01768697586856075,0.5990060479240564,5.030512684051779,200
agents v8,1052,S_ideo,0.559145890218695,0.5451470832163727,0.5431263875775129,0.5469741240717585,0.013998807002322255,0.02503605453819395,0.6139344680633884,4.913803357357847,200
C2,150,S_fin,0.5263087248322148,0.5163275167785235,0.5117561521252797,0.520407158836689,0.009981208053691293,0.018964549859729694,0.5439077417525285,2.7632151164112035,200
C2,150,S_ideo,0.5263087248322148,0.5135545861297539,0.5098355704697988,0.5167964205816555,0.012754138702460893,0.024233188812377876,0.5529306487695751,3.087316482784026,200
C3,150,S_fin,0.5817002237136465,0.5168841163310962,0.5091689038031321,0.5258624161073825,0.06481610738255028,0.11142527497884769,0.5846488325928727,1.0454919154867364,200
C3,150,S_ideo,0.5817002237136465,0.4947212527964206,0.4870693512304251,0.501387024608501,0.0869789709172259,0.14952542112145212,0.585413870246085,1.0426959125093889,200
B1 argmax,1052,S_fin,0.6208564064613266,0.5974436356444739,0.5949857414448669,0.5999644333580014,0.023412770816852668,0.03771044411105881,0.6688378799091536,3.04937185022499,200
B1 argmax,1052,S_ideo,0.6208564064613266,0.5830354135299972,0.5807070903615995,0.5851548345114451,0.037820992931329345,0.060917456174602966,0.6844106463878327,2.6803958595666697,200
B2 argmax,1052,S_fin,0.6717087299359481,0.5959925804475974,0.593032925459974,0.5986684040625718,0.0757161494883507,0.11272169932281621,0.6818396406971702,1.1338011881174803,200
B2 argmax,1052,S_ideo,0.6717087299359481,0.5885839691734503,0.586189137979432,0.5910518794498175,0.08312476076249775,0.12375119908062569,0.6931954474698242,1.2584875714140997,200
PMM k=10,1052,S_fin,0.6684040625717712,0.5440651874346084,0.5406793069130068,0.5476444675530151,0.1243388751371628,0.1860235179582136,0.6718746012708295,1.0279119357902333,200
PMM k=10,1052,S_ideo,0.6684040625717712,0.5301491566080588,0.5274150228392069,0.5336806530226861,0.13825490596371237,0.20684330587662605,0.6766529716487611,1.0596644945037612,200
B0 mode,1052,S_fin,0.5933855615382653,0.5943329101487738,0.5939063018347922,0.5947514481843468,-0.0009473486105084916,-0.0015965144282456569,0.6024893459565672,-8.609751170073997,200
B0 mode,1052,S_ideo,0.5933855615382653,0.5944495623548626,0.5940035917523668,0.5948847832189246,-0.0010640008165972992,-0.0017931019653377354,0.6032868042973434,-8.305672142943019,200
B0 tirage,1052,S_fin,0.4918276469237247,0.49329666088243557,0.491562890754587,0.49510185137928386,-0.001469013958710852,-0.0029868470548559353,0.5515732258146835,-39.670531778601415,200
B0 tirage,1052,S_ideo,0.4918276469237247,0.4929138808788629,0.4909078584734734,0.4947544785260418,-0.0010862339551381828,-0.002208566277093898,0.5749100466991603,-75.48665315831201,200
B3 foret,1052,S_fin,0.633979380917141,0.6172045257355755,0.6154080115854748,0.6192149182126726,0.016774855181565518,0.02645962264150975,0.6739479929568479,3.382650199187999,200
B3 foret,1052,S_ideo,0.633979380917141,0.6054872789445479,0.6038710222777962,0.6074409242861152,0.02849210197259311,0.044941685534591436,0.6842256360527728,2.763515207967605,200
humains vague 1 (150),150,S_fin,1.0,0.652420134228188,0.6128434004474274,0.6865178970917227,0.347579865771812,0.347579865771812,1.0,1.0,200
humains vague 1 (150),150,S_ideo,1.0,0.5380700223713647,0.5218310961968681,0.5549742729306488,0.4619299776286353,0.4619299776286353,1.0,1.0,200
humains vague 2 (150),150,S_fin,0.7914988814317674,0.5970583892617449,0.5778076062639822,0.6178534675615214,0.19444049217002246,0.24566110797060495,0.7917572549390304,1.001328805046621,200
humains vague 2 (150),150,S_ideo,0.7914988814317674,0.528024832214765,0.5169787472035794,0.5414340044742729,0.26347404921700235,0.3328798756359526,0.7914988814317674,1.0,200
