perimetre,condition,metrique,groupe,n_items_groupe,n_items_temoin,moyenne_groupe,moyenne_temoin,difference,ic_items_bas,ic_items_haut,p_permutation
1052,B0 mode,exactitude,sensible,12,65,0.566144,0.586604,-0.020460,-0.105586,0.073216,0.686100
1052,B0 mode,exactitude,investiguer,13,65,0.527566,0.586604,-0.059038,-0.155119,0.046709,0.238800
1052,B0 mode,exactitude,sensible+investiguer,25,65,0.546084,0.586604,-0.040521,-0.112864,0.034402,0.289800
1052,B0 tirage,distance,sensible,12,65,0.007182,0.011331,-0.004149,-0.007458,-0.000720,0.067000
1052,B0 tirage,distance,investiguer,13,65,0.011373,0.011331,0.000041,-0.004287,0.005063,0.985400
1052,B0 tirage,distance,sensible+investiguer,25,65,0.009361,0.011331,-0.001970,-0.005111,0.001342,0.260700
1052,B0 tirage,ecart_desirabilite,sensible,10,46,-0.001980,0.000985,-0.002965,-0.007637,0.001642,0.364400
1052,B0 tirage,ecart_desirabilite,investiguer,7,46,-0.001604,0.000985,-0.002589,-0.010399,0.004591,0.517100
1052,B0 tirage,ecart_desirabilite,sensible+investiguer,17,46,-0.001825,0.000985,-0.002810,-0.007396,0.001698,0.295800
1052,B0 tirage,exactitude,sensible,12,65,0.473859,0.481413,-0.007553,-0.088900,0.091528,0.882600
1052,B0 tirage,exactitude,investiguer,13,65,0.428122,0.481413,-0.053290,-0.146285,0.045659,0.285500
1052,B0 tirage,exactitude,sensible+investiguer,25,65,0.450076,0.481413,-0.031337,-0.101273,0.043051,0.399900
1052,B1 argmax,distance,sensible,12,65,0.092578,0.093277,-0.000698,-0.029417,0.031597,0.962900
1052,B1 argmax,distance,investiguer,13,65,0.072912,0.093277,-0.020364,-0.041472,0.001755,0.149500
1052,B1 argmax,distance,sensible+investiguer,25,65,0.082352,0.093277,-0.010925,-0.031124,0.009761,0.320500
1052,B1 argmax,ecart_desirabilite,sensible,10,46,0.026517,0.024681,0.001836,-0.054774,0.051399,0.944800
1052,B1 argmax,ecart_desirabilite,investiguer,7,46,-0.026984,0.024681,-0.051666,-0.102578,0.001531,0.098900
1052,B1 argmax,ecart_desirabilite,sensible+investiguer,17,46,0.004487,0.024681,-0.020194,-0.063770,0.021707,0.369200
1052,B1 argmax,exactitude,sensible,12,65,0.592681,0.619801,-0.027120,-0.099740,0.059385,0.546100
1052,B1 argmax,exactitude,investiguer,13,65,0.590231,0.619801,-0.029570,-0.135976,0.077275,0.530800
1052,B1 argmax,exactitude,sensible+investiguer,25,65,0.591407,0.619801,-0.028394,-0.099808,0.043358,0.411600
1052,B2 argmax,distance,sensible,12,65,0.140678,0.137237,0.003441,-0.037089,0.047051,0.868900
1052,B2 argmax,distance,investiguer,13,65,0.127692,0.137237,-0.009545,-0.039349,0.020069,0.622700
1052,B2 argmax,distance,sensible+investiguer,25,65,0.133925,0.137237,-0.003312,-0.030501,0.025358,0.832700
1052,B2 argmax,ecart_desirabilite,sensible,10,46,0.061922,0.037178,0.024744,-0.057019,0.106104,0.535600
1052,B2 argmax,ecart_desirabilite,investiguer,7,46,-0.065102,0.037178,-0.102279,-0.196801,-0.000530,0.032400
1052,B2 argmax,ecart_desirabilite,sensible+investiguer,17,46,0.009618,0.037178,-0.027560,-0.098749,0.044830,0.434400
1052,B2 argmax,exactitude,sensible,12,65,0.637357,0.671585,-0.034228,-0.096175,0.038006,0.393800
1052,B2 argmax,exactitude,investiguer,13,65,0.651872,0.671585,-0.019713,-0.119173,0.079339,0.635900
1052,B2 argmax,exactitude,sensible+investiguer,25,65,0.644905,0.671585,-0.026680,-0.088974,0.039793,0.397900
1052,agents composite,distance,sensible,12,65,0.133397,0.074647,0.058750,-0.000636,0.141701,0.011200
1052,agents composite,distance,investiguer,13,65,0.054808,0.074647,-0.019840,-0.046240,0.007025,0.188200
1052,agents composite,distance,sensible+investiguer,25,65,0.092531,0.074647,0.017883,-0.017798,0.063743,0.273100
1052,agents composite,ecart_desirabilite,sensible,10,46,-0.041315,-0.024152,-0.017163,-0.076188,0.046996,0.502800
1052,agents composite,ecart_desirabilite,investiguer,7,46,-0.033305,-0.024152,-0.009153,-0.058021,0.037550,0.744900
1052,agents composite,ecart_desirabilite,sensible+investiguer,17,46,-0.038017,-0.024152,-0.013865,-0.056185,0.031581,0.508900
1052,agents composite,exactitude,sensible,12,65,0.614385,0.690333,-0.075948,-0.147849,0.000094,0.082200
1052,agents composite,exactitude,investiguer,13,65,0.679512,0.690333,-0.010822,-0.122847,0.096871,0.816400
1052,agents composite,exactitude,sensible+investiguer,25,65,0.648251,0.690333,-0.042082,-0.114349,0.031379,0.234400
1052,agents demographiques (v6),distance,sensible,12,65,0.189120,0.156803,0.032317,-0.032765,0.101021,0.325400
1052,agents demographiques (v6),distance,investiguer,13,65,0.141731,0.156803,-0.015073,-0.057664,0.025732,0.605400
1052,agents demographiques (v6),distance,sensible+investiguer,25,65,0.164478,0.156803,0.007674,-0.035448,0.050847,0.750400
1052,agents demographiques (v6),ecart_desirabilite,sensible,10,46,0.021293,0.029714,-0.008421,-0.101313,0.084759,0.871100
1052,agents demographiques (v6),ecart_desirabilite,investiguer,7,46,-0.082939,0.029714,-0.112653,-0.196137,-0.023532,0.057600
1052,agents demographiques (v6),ecart_desirabilite,sensible+investiguer,17,46,-0.021626,0.029714,-0.051340,-0.126990,0.025493,0.219300
1052,agents demographiques (v6),exactitude,sensible,12,65,0.553123,0.573459,-0.020335,-0.105635,0.077537,0.710300
1052,agents demographiques (v6),exactitude,investiguer,13,65,0.534633,0.573459,-0.038826,-0.149689,0.070864,0.502000
1052,agents demographiques (v6),exactitude,sensible+investiguer,25,65,0.543508,0.573459,-0.029951,-0.108160,0.051375,0.482100
1052,agents enquete,distance,sensible,12,65,0.124551,0.085365,0.039186,-0.004649,0.091976,0.041300
1052,agents enquete,distance,investiguer,13,65,0.104225,0.085365,0.018860,-0.023513,0.063574,0.301300
1052,agents enquete,distance,sensible+investiguer,25,65,0.113981,0.085365,0.028617,-0.004979,0.063559,0.061700
1052,agents enquete,ecart_desirabilite,sensible,10,46,0.004350,0.004888,-0.000539,-0.052821,0.049399,0.985300
1052,agents enquete,ecart_desirabilite,investiguer,7,46,-0.062580,0.004888,-0.067468,-0.173051,0.043313,0.097700
1052,agents enquete,ecart_desirabilite,sensible+investiguer,17,46,-0.023210,0.004888,-0.028098,-0.089278,0.029788,0.309100
1052,agents enquete,exactitude,sensible,12,65,0.650674,0.665916,-0.015243,-0.091423,0.065734,0.743600
1052,agents enquete,exactitude,investiguer,13,65,0.634442,0.665916,-0.031474,-0.163485,0.091881,0.523300
1052,agents enquete,exactitude,sensible+investiguer,25,65,0.642233,0.665916,-0.023683,-0.104557,0.056345,0.532000
1052,agents entretien (v3),distance,sensible,12,65,0.155124,0.085630,0.069494,0.008789,0.140185,0.003500
1052,agents entretien (v3),distance,investiguer,13,65,0.063826,0.085630,-0.021805,-0.047164,0.004393,0.208000
1052,agents entretien (v3),distance,sensible+investiguer,25,65,0.107649,0.085630,0.022019,-0.014943,0.065159,0.197200
1052,agents entretien (v3),ecart_desirabilite,sensible,10,46,-0.040998,-0.046031,0.005033,-0.065845,0.076379,0.871700
1052,agents entretien (v3),ecart_desirabilite,investiguer,7,46,-0.043255,-0.046031,0.002776,-0.047448,0.054481,0.935800
1052,agents entretien (v3),ecart_desirabilite,sensible+investiguer,17,46,-0.041927,-0.046031,0.004103,-0.045815,0.054342,0.863800
1052,agents entretien (v3),exactitude,sensible,12,65,0.623848,0.663744,-0.039896,-0.114730,0.046772,0.362200
1052,agents entretien (v3),exactitude,investiguer,13,65,0.632454,0.663744,-0.031291,-0.143598,0.078947,0.499500
1052,agents entretien (v3),exactitude,sensible+investiguer,25,65,0.628323,0.663744,-0.035421,-0.107689,0.036149,0.315000
1052,agents v7,distance,sensible,12,65,0.187347,0.171596,0.015750,-0.047338,0.086355,0.604200
1052,agents v7,distance,investiguer,13,65,0.193099,0.171596,0.021503,-0.023257,0.066906,0.429600
1052,agents v7,distance,sensible+investiguer,25,65,0.190338,0.171596,0.018742,-0.023706,0.062380,0.391200
1052,agents v7,ecart_desirabilite,sensible,10,46,0.033732,0.097919,-0.064187,-0.158361,0.034933,0.170500
1052,agents v7,ecart_desirabilite,investiguer,7,46,-0.070291,0.097919,-0.168210,-0.307328,-0.026658,0.006100
1052,agents v7,ecart_desirabilite,sensible+investiguer,17,46,-0.009101,0.097919,-0.107020,-0.192348,-0.019710,0.009400
1052,agents v7,exactitude,sensible,12,65,0.550980,0.564432,-0.013451,-0.095248,0.082751,0.783100
1052,agents v7,exactitude,investiguer,13,65,0.521893,0.564432,-0.042539,-0.153922,0.069113,0.404200
1052,agents v7,exactitude,sensible+investiguer,25,65,0.535855,0.564432,-0.028577,-0.105332,0.048505,0.456400
1052,agents v8,distance,sensible,12,65,0.163173,0.124910,0.038263,-0.026557,0.112601,0.199300
1052,agents v8,distance,investiguer,13,65,0.093355,0.124910,-0.031555,-0.084386,0.029928,0.254400
1052,agents v8,distance,sensible+investiguer,25,65,0.126868,0.124910,0.001957,-0.044592,0.053744,0.929600
1052,agents v8,ecart_desirabilite,sensible,10,46,-0.028887,0.009968,-0.038855,-0.107359,0.041452,0.327500
1052,agents v8,ecart_desirabilite,investiguer,7,46,-0.032460,0.009968,-0.042428,-0.149756,0.092812,0.390200
1052,agents v8,ecart_desirabilite,sensible+investiguer,17,46,-0.030358,0.009968,-0.040326,-0.109238,0.032744,0.237400
1052,agents v8,exactitude,sensible,12,65,0.554220,0.565328,-0.011108,-0.099688,0.088326,0.815000
1052,agents v8,exactitude,investiguer,13,65,0.550019,0.565328,-0.015308,-0.133684,0.102335,0.763600
1052,agents v8,exactitude,sensible+investiguer,25,65,0.552036,0.565328,-0.013292,-0.094132,0.067462,0.734500
1052,humains vague 2,distance,sensible,12,65,0.013945,0.013591,0.000354,-0.005016,0.006416,0.919100
1052,humains vague 2,distance,investiguer,13,65,0.010807,0.013591,-0.002783,-0.007949,0.002733,0.409800
1052,humains vague 2,distance,sensible+investiguer,25,65,0.012313,0.013591,-0.001277,-0.005487,0.003069,0.616600
1052,humains vague 2,ecart_desirabilite,sensible,10,46,0.001849,-0.004830,0.006679,0.000077,0.013284,0.188200
1052,humains vague 2,ecart_desirabilite,investiguer,7,46,0.000562,-0.004830,0.005392,-0.003914,0.016058,0.377000
1052,humains vague 2,ecart_desirabilite,sensible+investiguer,17,46,0.001319,-0.004830,0.006149,-0.000042,0.012726,0.129900
1052,humains vague 2,exactitude,sensible,12,65,0.769566,0.795233,-0.025667,-0.070778,0.027380,0.373300
1052,humains vague 2,exactitude,investiguer,13,65,0.800819,0.795233,0.005586,-0.057255,0.068208,0.849600
1052,humains vague 2,exactitude,sensible+investiguer,25,65,0.785817,0.795233,-0.009415,-0.052946,0.035888,0.672000
