condition,axe_transport,variante,axe_mesure,mesure,ratio_inter,inter_ic_bas,inter_ic_haut,ratio_intra,intra_ic_bas,intra_ic_haut,ratio_global,exactitude,exact_ic_bas,exact_ic_haut,delta_exactitude,delta_ic_bas,delta_ic_haut,diversite_conservee,accord_paires,part_changee
agents enquete,political_ideology,dilatation,political_ideology,entropie,1.3487,1.2603,1.4261,0.9902,0.9810,1.0000,1.0068,0.6259,0.6220,0.6297,-0.0251,-0.0266,-0.0236,1.0069,0.4865,0.0748
agents enquete,political_ideology,dilatation,political_ideology,gini_simpson,1.5592,1.4627,1.6480,0.9833,0.9724,0.9946,1.0120,0.6259,0.6220,0.6297,-0.0251,-0.0266,-0.0236,1.0069,0.4865,0.0748
agents enquete,political_ideology,dilatation,profil croise,entropie,1.2637,1.1992,1.3333,0.9917,0.9815,1.0019,1.0068,0.6259,0.6220,0.6297,-0.0251,-0.0266,-0.0236,1.0069,0.4865,0.0748
agents enquete,political_ideology,dilatation,profil croise,gini_simpson,1.4683,1.3808,1.5545,0.9859,0.9753,0.9976,1.0120,0.6259,0.6220,0.6297,-0.0251,-0.0266,-0.0236,1.0069,0.4865,0.0748
agents enquete,political_ideology,dilatation,_tous_axes,entropie,1.1857,1.1289,1.2430,1.0024,0.9950,1.0108,1.0068,0.6259,0.6220,0.6297,-0.0251,-0.0266,-0.0236,1.0069,0.4865,0.0748
agents enquete,political_ideology,dilatation,_tous_axes,gini_simpson,1.3668,1.2912,1.4384,1.0033,0.9946,1.0130,1.0120,0.6259,0.6220,0.6297,-0.0251,-0.0266,-0.0236,1.0069,0.4865,0.0748
agents enquete,profil croise,dilatation,political_ideology,entropie,1.6984,1.6154,1.7849,0.9650,0.9554,0.9746,0.9991,0.6270,0.6232,0.6307,-0.0240,-0.0257,-0.0224,0.9991,0.4903,0.0695
agents enquete,profil croise,dilatation,political_ideology,gini_simpson,1.8585,1.7626,1.9519,0.9597,0.9489,0.9712,1.0045,0.6270,0.6232,0.6307,-0.0240,-0.0257,-0.0224,0.9991,0.4903,0.0695
agents enquete,profil croise,dilatation,profil croise,entropie,1.0739,1.0029,1.1500,0.9947,0.9839,1.0055,0.9991,0.6270,0.6232,0.6307,-0.0240,-0.0257,-0.0224,0.9991,0.4903,0.0695
agents enquete,profil croise,dilatation,profil croise,gini_simpson,1.3386,1.2450,1.4240,0.9854,0.9734,0.9974,1.0045,0.6270,0.6232,0.6307,-0.0240,-0.0257,-0.0224,0.9991,0.4903,0.0695
agents enquete,profil croise,dilatation,_tous_axes,entropie,1.1938,1.1348,1.2539,0.9943,0.9872,1.0025,0.9991,0.6270,0.6232,0.6307,-0.0240,-0.0257,-0.0224,0.9991,0.4903,0.0695
agents enquete,profil croise,dilatation,_tous_axes,gini_simpson,1.3936,1.3198,1.4628,0.9950,0.9868,1.0040,1.0045,0.6270,0.6232,0.6307,-0.0240,-0.0257,-0.0224,0.9991,0.4903,0.0695
agents entretien (v3),political_ideology,dilatation,political_ideology,entropie,1.5047,1.3733,1.6474,0.9952,0.9828,1.0073,1.0188,0.6244,0.6203,0.6282,-0.0321,-0.0340,-0.0304,1.0189,0.4876,0.0774
agents entretien (v3),political_ideology,dilatation,political_ideology,gini_simpson,1.7580,1.6028,1.9180,0.9707,0.9559,0.9849,1.0100,0.6244,0.6203,0.6282,-0.0321,-0.0340,-0.0304,1.0189,0.4876,0.0774
agents entretien (v3),political_ideology,dilatation,profil croise,entropie,1.5238,1.4242,1.6303,0.9890,0.9764,1.0016,1.0188,0.6244,0.6203,0.6282,-0.0321,-0.0340,-0.0304,1.0189,0.4876,0.0774
agents entretien (v3),political_ideology,dilatation,profil croise,gini_simpson,1.7883,1.6542,1.9214,0.9654,0.9518,0.9792,1.0100,0.6244,0.6203,0.6282,-0.0321,-0.0340,-0.0304,1.0189,0.4876,0.0774
agents entretien (v3),political_ideology,dilatation,_tous_axes,entropie,1.4600,1.3767,1.5448,1.0080,0.9992,1.0159,1.0188,0.6244,0.6203,0.6282,-0.0321,-0.0340,-0.0304,1.0189,0.4876,0.0774
agents entretien (v3),political_ideology,dilatation,_tous_axes,gini_simpson,1.6592,1.5497,1.7709,0.9940,0.9842,1.0032,1.0100,0.6244,0.6203,0.6282,-0.0321,-0.0340,-0.0304,1.0189,0.4876,0.0774
agents entretien (v3),profil croise,dilatation,political_ideology,entropie,1.8290,1.7009,1.9735,0.9710,0.9571,0.9825,1.0108,0.6258,0.6216,0.6297,-0.0307,-0.0326,-0.0289,1.0109,0.4917,0.0731
agents entretien (v3),profil croise,dilatation,political_ideology,gini_simpson,2.0341,1.8880,2.2010,0.9477,0.9324,0.9612,1.0019,0.6258,0.6216,0.6297,-0.0307,-0.0326,-0.0289,1.0109,0.4917,0.0731
agents entretien (v3),profil croise,dilatation,profil croise,entropie,1.3079,1.2017,1.4115,0.9933,0.9783,1.0050,1.0108,0.6258,0.6216,0.6297,-0.0307,-0.0326,-0.0289,1.0109,0.4917,0.0731
agents entretien (v3),profil croise,dilatation,profil croise,gini_simpson,1.6243,1.4849,1.7563,0.9662,0.9516,0.9794,1.0019,0.6258,0.6216,0.6297,-0.0307,-0.0326,-0.0289,1.0109,0.4917,0.0731
agents entretien (v3),profil croise,dilatation,_tous_axes,entropie,1.4384,1.3511,1.5203,1.0003,0.9907,1.0085,1.0108,0.6258,0.6216,0.6297,-0.0307,-0.0326,-0.0289,1.0109,0.4917,0.0731
agents entretien (v3),profil croise,dilatation,_tous_axes,gini_simpson,1.6548,1.5518,1.7631,0.9858,0.9753,0.9950,1.0019,0.6258,0.6216,0.6297,-0.0307,-0.0326,-0.0289,1.0109,0.4917,0.0731
agents demographiques (v8),political_ideology,dilatation,political_ideology,entropie,2.2815,2.0672,2.5004,0.9825,0.9703,0.9950,1.0428,0.4888,0.4844,0.4933,-0.0704,-0.0737,-0.0669,1.0431,0.4527,0.1977
agents demographiques (v8),political_ideology,dilatation,political_ideology,gini_simpson,2.6858,2.4202,2.9584,0.9944,0.9800,1.0074,1.0787,0.4888,0.4844,0.4933,-0.0704,-0.0737,-0.0669,1.0431,0.4527,0.1977
agents demographiques (v8),political_ideology,dilatation,profil croise,entropie,2.1606,2.0096,2.3170,0.9769,0.9649,0.9910,1.0428,0.4888,0.4844,0.4933,-0.0704,-0.0737,-0.0669,1.0431,0.4527,0.1977
agents demographiques (v8),political_ideology,dilatation,profil croise,gini_simpson,2.6175,2.4210,2.8206,0.9906,0.9765,1.0061,1.0787,0.4888,0.4844,0.4933,-0.0704,-0.0737,-0.0669,1.0431,0.4527,0.1977
agents demographiques (v8),political_ideology,dilatation,_tous_axes,entropie,2.2343,2.0975,2.3617,1.0136,1.0058,1.0220,1.0428,0.4888,0.4844,0.4933,-0.0704,-0.0737,-0.0669,1.0431,0.4527,0.1977
agents demographiques (v8),political_ideology,dilatation,_tous_axes,gini_simpson,2.6357,2.4624,2.8026,1.0405,1.0314,1.0494,1.0787,0.4888,0.4844,0.4933,-0.0704,-0.0737,-0.0669,1.0431,0.4527,0.1977
agents demographiques (v8),profil croise,dilatation,political_ideology,entropie,3.9815,3.6490,4.3030,0.8980,0.8851,0.9113,1.0412,0.4933,0.4887,0.4978,-0.0658,-0.0691,-0.0624,1.0415,0.4538,0.1887
agents demographiques (v8),profil croise,dilatation,political_ideology,gini_simpson,4.3283,3.9592,4.7034,0.9060,0.8915,0.9216,1.0766,0.4933,0.4887,0.4978,-0.0658,-0.0691,-0.0624,1.0415,0.4538,0.1887
agents demographiques (v8),profil croise,dilatation,profil croise,entropie,1.7948,1.6504,1.9290,0.9968,0.9833,1.0128,1.0412,0.4933,0.4887,0.4978,-0.0658,-0.0691,-0.0624,1.0415,0.4538,0.1887
agents demographiques (v8),profil croise,dilatation,profil croise,gini_simpson,2.2205,2.0317,2.4046,1.0111,0.9965,1.0274,1.0766,0.4933,0.4887,0.4978,-0.0658,-0.0691,-0.0624,1.0415,0.4538,0.1887
