condition,axe_transport,variante,axe_mesure,mesure,ratio_inter_avant,ratio_inter_apres
agents entretien (v3),profil croise,dilatation,race,gini_simpson,1.7149,1.0432
agents entretien (v3),profil croise,dilatation,political_ideology,gini_simpson,2.8239,1.9837
agents entretien (v3),profil croise,dilatation,age,gini_simpson,1.1822,1.2737
agents entretien (v3),profil croise,dilatation,education,gini_simpson,1.2411,1.3504
agents entretien (v3),profil croise,dilatation,profil croise,gini_simpson,2.6128,1.5622
agents demographiques (v8),political_ideology,naive,gender,gini_simpson,0.9809,0.3383
agents demographiques (v8),political_ideology,naive,race,gini_simpson,3.9503,2.1342
agents demographiques (v8),political_ideology,naive,political_ideology,gini_simpson,8.1162,0.9774
agents demographiques (v8),political_ideology,naive,age,gini_simpson,3.3261,2.2314
agents demographiques (v8),political_ideology,naive,education,gini_simpson,0.4237,0.1443
agents demographiques (v8),political_ideology,naive,profil croise,gini_simpson,6.5102,0.9788
agents demographiques (v8),political_ideology,informee,gender,gini_simpson,0.9809,0.4683
agents demographiques (v8),political_ideology,informee,race,gini_simpson,3.9503,3.3627
agents demographiques (v8),political_ideology,informee,political_ideology,gini_simpson,8.1162,0.9774
agents demographiques (v8),political_ideology,informee,age,gini_simpson,3.3261,3.1722
agents demographiques (v8),political_ideology,informee,education,gini_simpson,0.4237,0.2221
agents demographiques (v8),political_ideology,informee,profil croise,gini_simpson,6.5102,1.1727
agents demographiques (v8),political_ideology,dilatation,gender,gini_simpson,0.9809,0.8686
agents demographiques (v8),political_ideology,dilatation,race,gini_simpson,3.9503,4.1850
agents demographiques (v8),political_ideology,dilatation,political_ideology,gini_simpson,8.1162,2.6805
agents demographiques (v8),political_ideology,dilatation,age,gini_simpson,3.3261,3.5796
agents demographiques (v8),political_ideology,dilatation,education,gini_simpson,0.4237,0.3150
agents demographiques (v8),political_ideology,dilatation,profil croise,gini_simpson,6.5102,2.6018
agents demographiques (v8),profil croise,naive,gender,gini_simpson,0.9809,0.0043
agents demographiques (v8),profil croise,naive,race,gini_simpson,3.9503,0.2201
agents demographiques (v8),profil croise,naive,political_ideology,gini_simpson,8.1162,1.5571
agents demographiques (v8),profil croise,naive,age,gini_simpson,3.3261,2.0957
agents demographiques (v8),profil croise,naive,education,gini_simpson,0.4237,0.1910
agents demographiques (v8),profil croise,naive,profil croise,gini_simpson,6.5102,0.9795
agents demographiques (v8),profil croise,informee,gender,gini_simpson,0.9809,-0.0246
agents demographiques (v8),profil croise,informee,race,gini_simpson,3.9503,0.2051
agents demographiques (v8),profil croise,informee,political_ideology,gini_simpson,8.1162,2.4213
agents demographiques (v8),profil croise,informee,age,gini_simpson,3.3261,2.8355
agents demographiques (v8),profil croise,informee,education,gini_simpson,0.4237,0.2136
agents demographiques (v8),profil croise,informee,profil croise,gini_simpson,6.5102,0.9795
agents demographiques (v8),profil croise,dilatation,gender,gini_simpson,0.9809,0.1994
agents demographiques (v8),profil croise,dilatation,race,gini_simpson,3.9503,1.1782
agents demographiques (v8),profil croise,dilatation,political_ideology,gini_simpson,8.1162,4.4547
agents demographiques (v8),profil croise,dilatation,age,gini_simpson,3.3261,3.3048
agents demographiques (v8),profil croise,dilatation,education,gini_simpson,0.4237,0.2858
agents demographiques (v8),profil croise,dilatation,profil croise,gini_simpson,6.5102,2.3380
