bloc,cle,quantite,valeur,reference,ecart,n,note
"explications alternatives, par condition",complexask | rep_south,perception moyenne,60.90196078431372,35.7,25.20196078431372,51.0,"conditions : simpleask demande standard, complexask somme a 100 imposee, incentive prime a l'exactitude, baserates_given taux de base de la population fournis"
"explications alternatives, par condition",incentive | dem_black,perception moyenne,38.527472527472526,24.0,14.527472527472526,91.0,"conditions : simpleask demande standard, complexask somme a 100 imposee, incentive prime a l'exactitude, baserates_given taux de base de la population fournis"
"explications alternatives, par condition",incentive | dem_union,perception moyenne,35.582417582417584,10.5,25.082417582417584,91.0,"conditions : simpleask demande standard, complexask somme a 100 imposee, incentive prime a l'exactitude, baserates_given taux de base de la population fournis"
"explications alternatives, par condition",incentive | dem_aa,perception moyenne,29.505494505494507,8.7,20.805494505494508,91.0,"conditions : simpleask demande standard, complexask somme a 100 imposee, incentive prime a l'exactitude, baserates_given taux de base de la population fournis"
"explications alternatives, par condition",incentive | dem_lgb,perception moyenne,27.714285714285715,6.3,21.414285714285715,91.0,"conditions : simpleask demande standard, complexask somme a 100 imposee, incentive prime a l'exactitude, baserates_given taux de base de la population fournis"
"explications alternatives, par condition",incentive | rep_evang,perception moyenne,48.89010989010989,34.3,14.590109890109893,91.0,"conditions : simpleask demande standard, complexask somme a 100 imposee, incentive prime a l'exactitude, baserates_given taux de base de la population fournis"
"explications alternatives, par condition",incentive | rep_rich,perception moyenne,34.92307692307692,2.2,32.72307692307692,91.0,"conditions : simpleask demande standard, complexask somme a 100 imposee, incentive prime a l'exactitude, baserates_given taux de base de la population fournis"
"explications alternatives, par condition",incentive | rep_old,perception moyenne,45.48351648351648,21.3,24.18351648351648,91.0,"conditions : simpleask demande standard, complexask somme a 100 imposee, incentive prime a l'exactitude, baserates_given taux de base de la population fournis"
"explications alternatives, par condition",incentive | rep_south,perception moyenne,40.879120879120876,35.7,5.179120879120873,91.0,"conditions : simpleask demande standard, complexask somme a 100 imposee, incentive prime a l'exactitude, baserates_given taux de base de la population fournis"
"explications alternatives, par condition",simpleask | dem_black,perception moyenne,36.16326530612245,24.0,12.163265306122447,98.0,"conditions : simpleask demande standard, complexask somme a 100 imposee, incentive prime a l'exactitude, baserates_given taux de base de la population fournis"
"explications alternatives, par condition",simpleask | dem_union,perception moyenne,36.54081632653061,10.5,26.04081632653061,98.0,"conditions : simpleask demande standard, complexask somme a 100 imposee, incentive prime a l'exactitude, baserates_given taux de base de la population fournis"
"explications alternatives, par condition",simpleask | dem_aa,perception moyenne,29.56122448979592,8.7,20.86122448979592,98.0,"conditions : simpleask demande standard, complexask somme a 100 imposee, incentive prime a l'exactitude, baserates_given taux de base de la population fournis"
"explications alternatives, par condition",simpleask | dem_lgb,perception moyenne,26.989795918367346,6.3,20.689795918367345,98.0,"conditions : simpleask demande standard, complexask somme a 100 imposee, incentive prime a l'exactitude, baserates_given taux de base de la population fournis"
"explications alternatives, par condition",simpleask | rep_evang,perception moyenne,46.59183673469388,34.3,12.29183673469388,98.0,"conditions : simpleask demande standard, complexask somme a 100 imposee, incentive prime a l'exactitude, baserates_given taux de base de la population fournis"
"explications alternatives, par condition",simpleask | rep_rich,perception moyenne,31.540816326530614,2.2,29.340816326530614,98.0,"conditions : simpleask demande standard, complexask somme a 100 imposee, incentive prime a l'exactitude, baserates_given taux de base de la population fournis"
"explications alternatives, par condition",simpleask | rep_old,perception moyenne,44.69387755102041,21.3,23.393877551020406,98.0,"conditions : simpleask demande standard, complexask somme a 100 imposee, incentive prime a l'exactitude, baserates_given taux de base de la population fournis"
"explications alternatives, par condition",simpleask | rep_south,perception moyenne,42.295918367346935,35.7,6.595918367346933,98.0,"conditions : simpleask demande standard, complexask somme a 100 imposee, incentive prime a l'exactitude, baserates_given taux de base de la population fournis"
